variableMetadata	gene	condition_ttest_patient.control_dif	condition_ttest_patient.control_BY	condition_ttest_patient.control_sig
hsa-let-7a	hsa-let-7a	-0.0140251111111112	1	0
hsa-let-7b	hsa-let-7b	-0.0100316666666669	1	0
hsa-let-7b*	hsa-let-7b*	-0.0218888888888891	1	0
hsa-let-7c	hsa-let-7c	-0.0108208888888888	1	0
hsa-let-7d	hsa-let-7d	-0.0191622222222221	0.643301801497805	0
hsa-let-7d*	hsa-let-7d*	-0.00861444444444448	1	0
hsa-let-7e	hsa-let-7e	-0.0118182222222223	0.643301801497805	0
hsa-let-7f	hsa-let-7f	-0.0134462222222222	1	0
hsa-let-7g	hsa-let-7g	-0.0190842222222223	0.58005185151778	0
hsa-let-7i	hsa-let-7i	-0.0143305555555557	0.662008624740654	0
hsa-let-7i*	hsa-let-7i*	-0.00887244444444457	1	0
hsa-miR-1	hsa-miR-1	-0.0106725555555556	1	0
hsa-miR-101	hsa-miR-101	-0.0103387777777779	1	0
hsa-miR-103	hsa-miR-103	-0.0250431111111111	0.58005185151778	0
hsa-miR-103-2*	hsa-miR-103-2*	-0.0119228888888889	0.958205105452492	0
hsa-miR-106a	hsa-miR-106a	-0.0217615555555555	0.58005185151778	0
hsa-miR-106b	hsa-miR-106b	-0.00693999999999995	1	0
hsa-miR-106b*	hsa-miR-106b*	-0.0154924305555555	0.58005185151778	0
hsa-miR-107	hsa-miR-107	-0.0241286666666667	0.58005185151778	0
hsa-miR-10a	hsa-miR-10a	0.00950568055555556	1	0
hsa-miR-10b	hsa-miR-10b	-0.00579811111111117	1	0
hsa-miR-122	hsa-miR-122	-0.00528311111111113	1	0
hsa-miR-125a-5p	hsa-miR-125a-5p	-0.00642188888888895	1	0
hsa-miR-125b	hsa-miR-125b	-0.0127286666666666	0.958205105452492	0
hsa-miR-126	hsa-miR-126	-0.0112674444444445	1	0
hsa-miR-127-3p	hsa-miR-127-3p	-0.0101560000000001	1	0
hsa-miR-128	hsa-miR-128	-0.0155078888888889	0.58005185151778	0
hsa-miR-130a	hsa-miR-130a	-0.0289674444444445	0.58005185151778	0
hsa-miR-132	hsa-miR-132	-0.0234554444444446	1	0
hsa-miR-133a	hsa-miR-133a	-0.0115544444444444	1	0
hsa-miR-133b	hsa-miR-133b	-0.00641877777777777	1	0
hsa-miR-136	hsa-miR-136	0.0262462916666666	1	0
hsa-miR-139-5p	hsa-miR-139-5p	-0.00348766666666656	1	0
hsa-miR-140-3p	hsa-miR-140-3p	-0.011821888888889	0.958205105452492	0
hsa-miR-140-5p	hsa-miR-140-5p	-0.00421644444444436	1	0
hsa-miR-142-3p	hsa-miR-142-3p	4.99999999998835e-05	1	0
hsa-miR-142-5p	hsa-miR-142-5p	-0.01868	1	0
hsa-miR-143	hsa-miR-143	-0.00645111111111119	1	0
hsa-miR-144	hsa-miR-144	-0.00675733333333328	1	0
hsa-miR-144*	hsa-miR-144*	-0.00353122222222213	1	0
hsa-miR-145	hsa-miR-145	-0.0121735555555555	1	0
hsa-miR-146a	hsa-miR-146a	-0.00850922222222228	1	0
hsa-miR-148a	hsa-miR-148a	-0.00940822222222226	1	0
hsa-miR-148b	hsa-miR-148b	-0.00831822222222223	1	0
hsa-miR-150	hsa-miR-150	0.00235300000000005	1	0
hsa-miR-151-3p	hsa-miR-151-3p	-0.0007830000000002	1	0
hsa-miR-151-5p	hsa-miR-151-5p	-0.0105933333333335	1	0
hsa-miR-152	hsa-miR-152	-0.00401022222222225	1	0
hsa-miR-154	hsa-miR-154	-0.0047962222222222	1	0
