rank	sheet	celltype	cytokine	cytokine_str	direction	query_n	candidate_n	overlap	jaccard	lcs	rank_correlation	prefix	exact_set	exact_order	first_genes
1	cDC2	cDC2	LIF	LIF	up	112	94	84	0.688524590	39	0.990923716	0	false	false	Fabp5;Ifitm1;Tgfbi;Ifitm2;Tspo;Cdk2ap2;Lgmn;Mafb;Vcam1;Mt1;Ptpn1;Rnh1
2	cDC2	cDC2	LIF	LIF	down	112	29	28	0.247787611	5	-0.920789514	0	false	false	Fosb;Fos;Klf2;Zfp36;Hspa1a;Cybb;Btg2;Prkcd;Nr4a1;Neat1;Txnip;Mcemp1
3	cDC2	cDC2	IL-10	IL10	up	112	182	50	0.204918033	13	0.372691624	0	false	false	Fabp5;Ifitm1;Ccl12;Ifitm2;Tspo;Tgfbi;Wfdc17;Hspa5;Manf;Socs3;Ffar2;Pdia3
4	cDC2	cDC2	OSM	OSM	up	112	111	37	0.198924731	12	0.498822241	1	false	false	Ifitm1;Mt1;Tgfbi;Id2;Fabp5;Fkbp5;Sept3;Fyn;Tspan13;Bcl11a;Naaa;Ifitm2
5	cDC2	cDC2	CT-1	Cardiotrophin-1	up	112	65	29	0.195945946	9	0.591719902	0	false	false	Fabp5;Tspo;Tgfbi;Ifitm1;Cdk2ap2;Ifitm2;Cd53;Smdt1;Olfm1;Ccnd3;Ddr1;Ms4a6d
6	cDC2	cDC2	IL-2	IL2	up	112	304	46	0.124324324	17	0.316649728	0	false	false	Cxcl9;Ccl17;Fabp5;Cxcl10;Serpina3g;Cd209e;Cdkn1a;Il4i1;Gbp2;Dok2;Irf1;Sdc4
7	cDC2	cDC2	OSM	OSM	down	112	40	16	0.117647059	4	-0.804993743	0	false	false	Klf2;Fos;Fosb;Atf3;Klf6;Cybb;Jund;Jun;Btg2;Ier2;Junb;Mcemp1
8	Monocyte	Monocyte	IL-1α	IL1a	up	112	136	25	0.112107623	9	0.386993524	0	false	false	Ccl24;Fabp5;Sdc4;Dab2;Thbs1;Bcl2a1b;Srgn;Ccl2;Ccr1;Ms4a6d;Mafb;Jaml
9	Monocyte	Monocyte	IL-1β	IL1b	up	112	217	33	0.111486486	11	0.406347078	0	false	false	Fabp5;Sdc4;Ccl24;Saa3;Dab2;Thbs1;Dmkn;Srgn;Vcan;Ms4a6d;Ccr1;Jaml
10	cDC2	cDC2	IL-33	IL33	up	112	207	32	0.111498258	11	0.196636539	0	false	false	Fabp5;Ccl17;Cdkn1a;Il4i1;Sdc4;Ccl12;Clec4n;Cd209e;Nr4a3;Irf4;Lgmn;Prkcd
11	Macrophage	Macrophage	IL-1β	IL1b	up	112	172	27	0.105058366	10	0.427697624	0	false	false	Ccl9;Ccl6;Ccl12;Wfdc17;Ccl7;Sdc4;Cd209e;Ccl2;Mt1;Serpina3g;Dab2;Mt2
12	cDC1	cDC1	IL-10	IL10	up	112	92	19	0.102702703	7	0.668966530	0	false	false	Wfdc17;Ifitm2;Tspo;Il1b;Gatm;Ptpn1;Baz1a;Ifi205;Plac8;Tax1bp1;Rrbp1;Atp8a1
13	cDC2	cDC2	IL-7	IL7	up	112	146	24	0.102564103	9	0.318681563	0	false	false	Ccl17;Fabp5;Sdc4;Cdkn1a;Prkcd;Bcl2a1d;Bcl2a1b;Hspa5;Ly6a;Il4i1;Isg15;Ms4a4c
14	cDC1	cDC1	IL-1β	IL1b	up	112	294	38	0.103260870	13	0.457903241	0	false	false	Ccl17;Wfdc17;Serpina3g;Ifitm2;Mkrn1;Mt1;Kmo;Xbp1;Ifi205;Cytip;Fth1;Ccnd2
15	cDC2	cDC2	CT-1	Cardiotrophin-1	down	112	29	13	0.101562500	3	-0.887532177	0	false	false	Fos;Atf3;Egr1;Fosb;Klf2;Dusp1;Btg2;Tbc1d4;Pmaip1;Zfp36;Klf6;Ccrl2
16	cDC2	cDC2	IL-10	IL10	down	112	128	21	0.095890411	5	-0.669841993	0	false	false	Klf2;Fos;Atf3;Dusp1;Tsc22d3;Btg2;Fosb;Cybb;Hspa1b;Nr4a1;Jun;Cox7a2l
17	cDC1	cDC1	IL-1α	IL1a	up	112	338	39	0.094890511	15	0.441970388	0	false	false	Ccl17;Serpina3g;Wfdc17;Ifitm2;Mkrn1;Mt1;Cytip;Kmo;Cdkn1a;Ifi205;Xbp1;Plet1
18	cDC2	cDC2	IL-3	IL3	up	112	363	41	0.094470046	13	0.215379079	0	false	false	Fabp5;Ccl17;Clec4n;Naaa;Cdk2ap2;Bcl2a1d;Dok2;Plet1;Eif5a;Bcl2a1b;S100a6;AA467197
19	Macrophage	Macrophage	IL-1α	IL1a	up	112	177	23	0.086466165	7	0.096033106	0	false	false	Ccl9;Ccl6;Ccl7;Ccl12;Wfdc17;Ccl2;Sdc4;Serpina3g;Mt1;Cd209e;Dab2;Ptpn1
20	cDC1	cDC1	TL1A	TL1A	down	112	41	12	0.085106383	4	-0.630322471	0	false	false	Fos;Dusp1;Klf2;Pmaip1;Btg2;Jun;Kctd12;Zfp36l2;Tsc22d3;Zfp36;Neat1;Klf4
