## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --TAGGING_POLICY All --INPUT BAM_filter_on_dataset_21 --OUTPUT /corral4/main/jobs/079/404/79404872/outputs/dataset_d525f437-aea8-4428-ad46-b871aa81dad0.dat --METRICS_FILE /corral4/main/jobs/079/404/79404872/outputs/dataset_3a87b5fe-0806-4b5e-8d2a-837914d54e10.dat --REMOVE_DUPLICATES true --ASSUME_SORTED true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --VERBOSITY ERROR --QUIET true --VALIDATION_STRINGENCY LENIENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Aug 27 22:14:22 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	16301622	0	0	0	4119521	0	0.252706	26554111

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	8976128	8976128
2.0	1.541235	2539189	2539189
3.0	1.83417	550085	550085
4.0	1.992717	97469	97469
5.0	2.078528	14989	14989
6.0	2.124972	2200	2200
7.0	2.150109	394	394
8.0	2.163714	132	132
9.0	2.171077	97	97
10.0	2.175063	75	75
11.0	2.17722	64	64
12.0	2.178387	64	64
13.0	2.179019	48	48
14.0	2.179361	51	51
15.0	2.179546	42	42
16.0	2.179646	31	31
17.0	2.179701	30	30
18.0	2.17973	26	26
19.0	2.179746	19	19
20.0	2.179754	22	22
21.0	2.179759	23	23
22.0	2.179762	26	26
23.0	2.179763	27	27
24.0	2.179764	24	24
25.0	2.179764	20	20
26.0	2.179764	10	10
27.0	2.179764	21	21
28.0	2.179764	21	21
29.0	2.179764	18	18
30.0	2.179764	23	23
31.0	2.179764	20	20
32.0	2.179764	11	11
33.0	2.179764	15	15
34.0	2.179764	11	11
35.0	2.179764	13	13
36.0	2.179764	2	2
37.0	2.179764	12	12
38.0	2.179764	9	9
39.0	2.179764	9	9
40.0	2.179764	8	8
41.0	2.179764	11	11
42.0	2.179764	9	9
43.0	2.179764	13	13
44.0	2.179764	14	14
45.0	2.179764	7	7
46.0	2.179764	12	12
47.0	2.179764	9	9
48.0	2.179764	10	10
49.0	2.179764	7	7
50.0	2.179764	6	6
51.0	2.179764	6	6
52.0	2.179764	7	7
53.0	2.179764	11	11
54.0	2.179764	3	3
55.0	2.179764	12	12
56.0	2.179764	6	6
57.0	2.179764	11	11
58.0	2.179764	3	3
59.0	2.179764	6	6
60.0	2.179764	8	8
61.0	2.179764	6	6
62.0	2.179764	5	5
63.0	2.179764	7	7
64.0	2.179764	3	3
65.0	2.179764	8	8
66.0	2.179764	4	4
67.0	2.179764	7	7
68.0	2.179764	3	3
69.0	2.179764	7	7
70.0	2.179764	6	6
71.0	2.179764	3	3
72.0	2.179764	6	6
73.0	2.179764	2	2
74.0	2.179764	6	6
75.0	2.179764	1	1
76.0	2.179764	2	2
77.0	2.179764	2	2
78.0	2.179764	4	4
79.0	2.179764	4	4
80.0	2.179764	7	7
81.0	2.179764	4	4
82.0	2.179764	6	6
83.0	2.179764	2	2
84.0	2.179764	2	2
85.0	2.179764	8	8
86.0	2.179764	5	5
87.0	2.179764	5	5
88.0	2.179764	5	5
89.0	2.179764	3	3
90.0	2.179764	4	4
91.0	2.179764	5	5
92.0	2.179764	3	3
