TraesCS1A03G0062800	9.41	2.42	14.29	19.18	10.45	3.62	6.16	203.92	24.74	1043.18
TraesCS1A03G0190000	25.19	20.04	17.65	18.6	200.78	43.5	84.64	102.91	22.62	34.55
TraesCS1A03G0258600	6.92	11.57	5.24	32.34	128.86	18.12	22.5	0.95	11.31	18.28
TraesCS1A03G0483700	249.94	621.69	167.64	233.54	693.08	275.48	829.15	454.53	239.88	888.22
TraesCS1A03G0531400	1.3	0.52	9.28	0.48	1.04	173.99	0.54	14.29	17.2	7.76
TraesCS1A03G0542400	97.08	43.01	393.77	43.79	36.57	62.83	17.41	262.05	330.36	91.12
TraesCS1A03G0542800	1.3	3.45	4.26	3.15	8.88	799.87	42.41	0.95	1.65	4.26
TraesCS1A03G0554700	415.99	14.68	21.24	115.05	17.94	14.5	11.96	5.72	35.58	40.81
TraesCS1A03G0644100	41.51	12.78	68.52	31.67	17.76	16.92	5.18	187.72	54.9	20.53
TraesCS1A03G0652600	1.3	0.52	2.02	1.24	1.04	486.93	8.84	0	0.71	7.26
TraesCS1A03G0676400	528.74	162.89	139.51	117.82	102.05	91.83	46.52	248.71	131.01	175.24
TraesCS1A03G0810300	22.81	41.46	229.35	56.57	20.37	13.29	11.61	46.69	20.26	118.91
TraesCS1A03G0817100	402.69	10.36	14.06	44.36	8.88	2.42	7.05	5.72	22.86	32.54
TraesCS1A03G0885900	8.11	33.51	8.38	12.02	117.54	12.08	58.84	45.74	11.78	25.53
TraesCS1A03G0916900	0.54	0	0.07	0.48	0	339.52	0.18	0.95	0	0.25
TraesCS1A03G1030600	29.19	58.56	17.13	22.8	55.38	26.58	61.43	30.49	21.21	39.05
TraesCS1A03G1045200	2.27	3.45	3.44	2.29	107.62	355.23	3.66	7.62	7.54	9.01
TraesCS1B03G0015300	0.32	0	1.05	0.1	0	225.95	0.18	0.95	0.47	1.75
TraesCS1B03G0050600	21.4	49.4	18.78	49.61	30.47	32.62	282.49	71.47	15.79	77.86
TraesCS1B03G0109800	64.75	110.21	117.52	86.62	612.1	381.81	242.31	379.25	215.14	1060.2
TraesCS1B03G0187300	6.92	8.46	2.17	7.16	185.46	6.04	8.3	2.86	7.3	5.51
TraesCS1B03G0257400	4	3.63	39.5	3.82	4.18	1.21	2.86	13.34	243.41	2.75
TraesCS1B03G0325900	1.19	1.21	1.72	1.05	1.04	2.42	1.43	32.4	2.12	146.2
TraesCS1B03G0368500	63.78	18.48	61.49	5.82	20.72	1.21	3.21	240.13	53.96	12.52
TraesCS1B03G0397800	28	34.38	55.5	19.94	43.54	227.15	53.3	116.25	142.8	309.92
