TraesCS1B03G0646400	749.27	28.33	46.45	229.92	38.83	24.17	25.0	11.43	93.08	69.34	2	TraesCS1B03G0646400
TraesCS2D03G0803000	8.22	8.98	25.51	21.66	31.17	54.37	31.61	1.91	82.47	3.5	12	TraesCS2D03G0803000
TraesCS3A03G0812200	149.29	88.27	74.13	118.97	80.98	83.37	42.94	154.37	111.46	90.87	0	TraesCS3A03G0812200
TraesCS3D03G0013700	29.51	180.51	19.45	77.85	90.73	43.5	327.3	54.32	27.8	101.64	4	TraesCS3D03G0013700
TraesCS3D03G0599200	0.86	0.17	0.45	0.48	2.61	1730.23	1.43	0.0	0.24	0.25	13	TraesCS3D03G0599200
TraesCS3D03G0697200	0.43	0.17	3.52	0.57	0.35	0.0	0.54	323.03	0.71	3.25	14	TraesCS3D03G0697200
TraesCS3D03G1015700	2.59	5.87	39.42	6.49	2.79	6.04	2.05	11.43	4.71	11.52	7	TraesCS3D03G1015700
TraesCS4B03G0721800	26.7	16.58	182.22	10.49	9.4	19.33	7.5	70.51	241.05	33.8	1	TraesCS4B03G0721800
TraesCS4B03G0840800	68.54	79.98	51.69	518.41	3230.83	1954.97	799.6	132.45	194.87	193.01	6	TraesCS4B03G0840800
TraesCS5A03G0602000	70.48	36.45	48.02	39.02	56.94	50.75	33.84	57.17	56.08	43.56	5	TraesCS5A03G0602000
TraesCS5A03G1092000	3.78	2.07	13.39	143.77	6.44	119.62	3.57	4.76	3.77	4.51	3	TraesCS5A03G1092000
TraesCS5D03G0377000	30.7	9.5	28.87	54.19	22.46	7.25	20.62	465.97	48.54	2557.75	10	TraesCS5D03G0377000
TraesCS6A03G0965900	2.27	1.9	1.35	8.01	3.48	26.58	4.64	0.0	2.59	2.25	11	TraesCS6A03G0965900
TraesCS6D03G0764800	1.3	50.61	2.47	4.1	2.26	1.21	0.54	0.0	2.83	0.75	9	TraesCS6D03G0764800
TraesCS7D03G0043000	1.08	2.25	2.99	1.24	2.26	1.21	1.61	5.72	230.22	1.25	8	TraesCS7D03G0043000
