Best marker	Cell type
TraesCS1A03G0554700	Cortex
TraesCS4D03G0434100	Xylem
TraesCS5D03G0377000	Xylem
TraesCS5A03G1115100	Xylem
TraesCS3D03G0867400	Xylem
TraesCS3A03G0429700	Endodermis
TraesCS4B03G0706600	Xylem
TraesCS2D03G0861600	Xylem
TraesCS7A03G0446200	Xylem
TraesCS2A03G0730800	Xylem
TraesCS5A03G0570800	Xylem
TraesCS3B03G1344800	Xylem
TraesCS2D03G0381300	Xylem
TraesCS2B03G0454200	Xylem
TraesCS1B03G0325900	Xylem
TraesCS1D03G0371000	Xylem
TraesCS5A03G1080200	Xylem
TraesCS3D03G0666000	Xylem
TraesCS7A03G0413900	Xylem
TraesCS3A03G0635100	Epidermis
.	Xylem
.	Xylem
TraesCS2D03G1242700	Epidermis
TraesCS2B03G0914600	Epidermis
TraesCS7B03G0675100	Cortex
TraesCS7A03G0607400	Epidermis
TraesCS2D03G0347500	Root cap
.	Root cap
TraesCS1D03G0080800	Xylem
TraesCS5D03G0906800	Epidermis
.	Epidermis
TraesCS3B03G0012900	Xylem
.	Cortex
TraesCS1D03G0186800	Xylem
TraesCS5A03G1247300	Xylem
TraesCS3A03G0077400	Xylem
TraesCS3A03G0974500	Cortex
TraesCS6D03G0082600	Xylem
TraesCS3A03G0987500	Xylem
TraesCS4B03G0109200	Xylem
TraesCS5A03G0684700	Root cap
TraesCS7A03G0475600	Endodermis
TraesCS2D03G0321600	Epidermis
TraesCS6D03G0538900	Phloem
.	Cortex
TraesCS6D03G0205200	Root cap
TraesCS7A03G0992800	Xylem
.	Xylem
.	Xylem
.	Cortex
TraesCS5D03G0341700	Xylem
TraesCS7B03G0299800	Epidermis
.	Xylem
.	Xylem
.	Xylem
TraesCS6B03G1184300	Epidermis
.	Xylem
TraesCSU03G0020100	Xylem
.	Epidermis
TraesCS3A03G0805600	Epidermis
TraesCS6D03G0538900	Xylem
TraesCS1B03G1166600	Epidermis
.	Cortex
TraesCS2B03G0719400	Endodermis
.	Xylem
.	Root cap
.	Xylem
TraesCS6D03G0538900	Endodermis
TraesCS2B03G1177400	Xylem
TraesCS7D03G0401600	Endodermis
.	Xylem
.	Xylem
.	Xylem
TraesCS6D03G0635000	Epidermis
TraesCS3B03G1515400	Epidermis
.	Xylem
TraesCS7B03G0805100	Root cap
.	Cortex
.	Epidermis
TraesCS5D03G0654200	Epidermis
TraesCS2A03G0508300	Epidermis
.	Epidermis
TraesCS3B03G1008200	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
TraesCS2D03G0971100	Root cap
.	Epidermis
.	Epidermis
.	Epidermis
.	Epidermis
TraesCS3B03G0439100	Epidermis
TraesCS1D03G0508600	Epidermis
TraesCS3B03G0268700	Epidermis
TraesCS1D03G0527600	Epidermis
.	Epidermis
