miRNA	p_value	p_bonferroni	p_by
hsa-let-7a	0.06605107	1	0.897357172
hsa-let-7b	0.0416025495	1	0.7211226765
hsa-let-7b*	0.1017153821	1	1
hsa-let-7c	0.080076123	1	0.9888195631
hsa-let-7d	0.0108749327	1	0.3416597339
hsa-let-7d*	0.0541963826	1	0.8132287016
hsa-let-7e	0.0099518608	1	0.3335033776
hsa-let-7f	0.0996288595	1	1
hsa-let-7g	0.0123643122	1	0.3551559698
hsa-let-7i	0.0090019445	1	0.312072524
hsa-let-7i*	0.1255630578	1	1
hsa-miR-1	0.2749358076	1	1
hsa-miR-101	0.1137239666	1	1
hsa-miR-103	0.0044986135	0.7872573711	0.2408475458
hsa-miR-103-2*	0.4946067038	1	1
hsa-miR-106a	0.0038777975	0.6786145566	0.2408475458
hsa-miR-106b	0.1701423357	1	1
hsa-miR-106b*	0.0016701973	0.2922845229	0.2023752632
hsa-miR-107	0.0029256145	0.5119825327	0.2408475458
hsa-miR-10a	0.0480130223	1	0.7795083364
hsa-miR-10b	0.4201361938	1	1
hsa-miR-122	0.5811653034	1	1
hsa-miR-125a-5p	0.0699394883	1	0.9251796231
hsa-miR-125b	0.016632159	1	0.3981223303
hsa-miR-126	0.0350176095	1	0.6642442853
hsa-miR-127-3p	0.0838481198	1	1
hsa-miR-128	0.0059095928	1	0.2475503315
hsa-miR-130a	0.0016072256	0.2812644782	0.2023752632
hsa-miR-132	0.1694432189	1	1
hsa-miR-133a	0.2434666546	1	1
hsa-miR-133b	0.3614472137	1	1
hsa-miR-136	0.2360460031	1	1
hsa-miR-139-5p	0.2081798936	1	1
hsa-miR-140-3p	0.0149544242	1	0.3796501076
hsa-miR-140-5p	0.2916008803	1	1
hsa-miR-142-3p	0.6742801235	1	1
hsa-miR-142-5p	0.0213946935	1	0.4888443429
hsa-miR-143	0.1890967167	1	1
hsa-miR-144	0.3419063888	1	1
hsa-miR-144*	0.6269105409	1	1
hsa-miR-145	0.0741416377	1	0.9556189919
hsa-miR-146a	0.0651665675	1	0.897357172
hsa-miR-148a	0.0578516446	1	0.8191709852
hsa-miR-148b	0.0740456622	1	0.9556189919
hsa-miR-150	0.7222220987	1	1
hsa-miR-151-3p	0.627065001	1	1
hsa-miR-151-5p	0.0378859448	1	0.7028614742
hsa-miR-152	0.2341650432	1	1
hsa-miR-154	0.4163202287	1	1
hsa-miR-155	0.1884580439	1	1
hsa-miR-15a	0.0104277115	1	0.338177348
hsa-miR-15b	0.1185201643	1	1
hsa-miR-15b*	0.0122886376	1	0.3551559698
hsa-miR-16	0.0070114459	1	0.2517484212
hsa-miR-16-2*	0.0669631827	1	0.8976189737
hsa-miR-17	0.0063460705	1	0.2517484212
hsa-miR-181a	0.0786210379	1	0.9880205694
hsa-miR-182	0.8685787231	1	1
hsa-miR-185	0.2483787254	1	1
hsa-miR-186	0.2611923638	1	1
hsa-miR-18a	0.0550215865	1	0.8134697295
hsa-miR-18a*	0.0153977559	1	0.3796501076
hsa-miR-18b	0.1409243409	1	1
hsa-miR-191	0.5257715847	1	1
hsa-miR-192	0.2380946848	1	1
hsa-miR-193b	0.255318431	1	1
hsa-miR-194	0.1340052377	1	1
hsa-miR-195	0.4909714986	1	1
hsa-miR-197	0.0574302464	1	0.8191709852
hsa-miR-1974	0.0009880307	0.1729053673	0.2023752632
hsa-miR-199a-3p	0.0118365689	1	0.3551559698
hsa-miR-199a-5p	0.0292929317	1	0.5889928669
hsa-miR-19a	0.2473611154	1	1
hsa-miR-19b	0.5976261318	1	1
hsa-miR-200c	0.7127756135	1	1
hsa-miR-205	0.8631991645	1	1
hsa-miR-20a	0.0065275473	1	0.2517484212
hsa-miR-20a*	0.0874525339	1	1
hsa-miR-20b	0.0004709548	0.0824170921	0.2023752632
hsa-miR-21	0.1940296763	1	1
hsa-miR-210	0.4315743166	1	1
hsa-miR-2110	0.1278348225	1	1
hsa-miR-215	0.2799941905	1	1
hsa-miR-22	0.3750535956	1	1
hsa-miR-22*	0.0142777093	1	0.3796501076
hsa-miR-221	0.0054065398	0.9461444629	0.2470665342
hsa-miR-222	0.0014027879	0.2454878768	0.2023752632
hsa-miR-223	0.2149783806	1	1
hsa-miR-223*	0.7408619482	1	1
hsa-miR-23a	0.0763196745	1	0.9712401304
hsa-miR-23b	0.0325379287	1	0.6414117734
hsa-miR-24	0.0395126549	1	0.7093578586
hsa-miR-25	0.0384516719	1	0.7028614742
hsa-miR-26a	0.045504527	1	0.7624661272
hsa-miR-26b	0.2814040981	1	1
hsa-miR-27a	0.0514342114	1	0.7931902329
hsa-miR-27b	0.0858944074	1	1
hsa-miR-28-3p	0.0806517327	1	0.9888195631
hsa-miR-28-5p	0.1644796054	1	1
hsa-miR-297	0.4017721436	1	1
hsa-miR-29a	0.6069679005	1	1
hsa-miR-29a*	0.5886862743	1	1
hsa-miR-29b	0.4725644019	1	1
hsa-miR-29b-2*	0.0254467938	1	0.5221005982
hsa-miR-29c	0.4443931838	1	1
hsa-miR-301a	0.0228642919	1	0.495334905
hsa-miR-30a	0.1911745989	1	1
hsa-miR-30b	0.0031017393	0.5428043786	0.2408475458
hsa-miR-30c	0.0047913183	0.8384806974	0.2408475458
hsa-miR-30d	0.0043374102	0.7590467792	0.2408475458
hsa-miR-30e	0.0017248007	0.3018401154	0.2023752632
hsa-miR-30e*	0.0403132888	1	0.7110343375
hsa-miR-32	0.0042936265	0.7513846458	0.2408475458
hsa-miR-320a	0.0344446464	1	0.6642442853
hsa-miR-320b	0.056515838	1	0.8191709852
hsa-miR-324-3p	0.5663974908	1	1
hsa-miR-324-5p	0.2180177197	1	1
hsa-miR-326	0.1682632841	1	1
hsa-miR-328	0.0231568557	1	0.495334905
hsa-miR-331-3p	0.0068312496	1	0.2517484212
hsa-miR-335	0.2928274375	1	1
hsa-miR-338-3p	0.624596081	1	1
hsa-miR-339-3p	0.1996628946	1	1
hsa-miR-339-5p	0.3868440182	1	1
hsa-miR-33a	0.2328012251	1	1
hsa-miR-342-3p	0.2505505914	1	1
hsa-miR-346	0.7588655063	1	1
hsa-miR-34a	0.0029345054	0.5135384484	0.2408475458
hsa-miR-361-3p	0.1796675518	1	1
hsa-miR-363	0.0192570574	1	0.4502343956
hsa-miR-365	0.0144164211	1	0.3796501076
hsa-miR-374a	0.6800682483	1	1
hsa-miR-374b	0.8966942641	1	1
hsa-miR-375	0.3596412603	1	1
hsa-miR-376a	0.9748502529	1	1
hsa-miR-378	0.4823000975	1	1
hsa-miR-382	0.6502526758	1	1
hsa-miR-409-3p	0.323274012	1	1
hsa-miR-421	0.0050310416	0.880432278	0.2408550813
hsa-miR-423-3p	0.0153868453	1	0.3796501076
hsa-miR-423-5p	0.0842884472	1	1
hsa-miR-424	0.7895922998	1	1
hsa-miR-425	0.2411917247	1	1
hsa-miR-425*	0.0222032406	1	0.495334905
hsa-miR-451	0.0480723389	1	0.7795083364
hsa-miR-484	0.0035182693	0.6156971255	0.2408475458
hsa-miR-485-3p	0.1871337703	1	1
hsa-miR-486-5p	0.0018116852	0.3170449094	0.2023752632
hsa-miR-495	0.0434077816	1	0.7396611021
hsa-miR-497	0.4121218303	1	1
hsa-miR-500a	0.3919783624	1	1
hsa-miR-501-3p	0.0253866267	1	0.5221005982
hsa-miR-502-3p	0.2273009872	1	1
hsa-miR-505	0.0616679203	1	0.8610809994
hsa-miR-532-3p	0.1264720272	1	1
hsa-miR-532-5p	0.0010597335	0.1854533593	0.2023752632
hsa-miR-543	0.1163774159	1	1
hsa-miR-551b	0.2187316385	1	1
hsa-miR-574-3p	0.0154828242	1	0.3796501076
hsa-miR-584	0.3309795151	1	1
hsa-miR-590-5p	0.608659417	1	1
hsa-miR-605	0.2031587173	1	1
hsa-miR-629	0.3099616733	1	1
hsa-miR-652	0.003613865	0.6324263816	0.2408475458
hsa-miR-660	0.1546438273	1	1
hsa-miR-720	0.3267181173	1	1
hsa-miR-766	0.0058895837	1	0.2475503315
hsa-miR-885-5p	0.0500362994	1	0.7859997518
hsa-miR-92a	0.0007176376	0.1255865879	0.2023752632
hsa-miR-92b	0.1828647905	1	1
hsa-miR-93	0.0047032903	0.8230758032	0.2408475458
hsa-miR-93*	0.5912315626	1	1
hsa-miR-95	0.6165188872	1	1
hsa-miR-99a	0.0494960985	1	0.7859997518
hsa-miR-99b	0.0520719801	1	0.7931902329
