group	member	parsimony_informative_sites	total_sites	n_sequences
animals	1001705at2759.faa.mafft	0	454	1
animals	1003258at2759.faa.mafft	0	441	3
animals	100698at2759.faa.mafft	0	806	3
animals	1010730at2759.faa.mafft	0	578	3
animals	1014314at2759.faa.mafft	9	357	4
animals	1018517at2759.faa.mafft	8	293	4
animals	1019762at2759.faa.mafft	0	684	3
animals	1025450at2759.faa.mafft	0	417	1
animals	1030907at2759.faa.mafft	0	362	1
animals	1032689at2759.faa.mafft	0	312	1
animals	1038775at2759.faa.mafft	0	383	3
animals	1041560at2759.faa.mafft	0	457	3
animals	1049599at2759.faa.mafft	0	506	2
animals	1051021at2759.faa.mafft	0	503	2
animals	1053181at2759.faa.mafft	0	291	2
animals	1065019at2759.faa.mafft	0	411	3
animals	1076134at2759.faa.mafft	0	270	1
animals	1079130at2759.faa.mafft	0	417	2
animals	1079827at2759.faa.mafft	0	260	3
animals	1085752at2759.faa.mafft	0	457	2
animals	1087488at2759.faa.mafft	0	428	1
animals	1090038at2759.faa.mafft	0	289	1
animals	1094121at2759.faa.mafft	0	183	3
animals	1096688at2759.faa.mafft	0	483	3
animals	1106766at2759.faa.mafft	0	609	1
animals	1107630at2759.faa.mafft	0	339	1
animals	1108845at2759.faa.mafft	0	495	1
animals	1111142at2759.faa.mafft	0	531	2
animals	1112002at2759.faa.mafft	0	864	3
animals	1128607at2759.faa.mafft	0	337	2
animals	1129824at2759.faa.mafft	0	269	3
animals	1138059at2759.faa.mafft	0	285	3
animals	1157302at2759.faa.mafft	0	246	3
animals	1161199at2759.faa.mafft	0	309	3
animals	1173229at2759.faa.mafft	12	446	4
animals	1178688at2759.faa.mafft	0	239	2
animals	1182451at2759.faa.mafft	0	329	1
animals	1193442at2759.faa.mafft	12	460	4
animals	1194691at2759.faa.mafft	0	412	3
animals	1194797at2759.faa.mafft	0	853	2
animals	1197019at2759.faa.mafft	0	203	1
animals	1200489at2759.faa.mafft	0	210	3
animals	1217666at2759.faa.mafft	0	253	3
animals	1220881at2759.faa.mafft	0	332	2
