target	Spot_710-1
metadata_cell_column	
metadata_type_column	cell_type
single_cell_genes	1000
reference_cells	1200
spatial_features	1000
spatial_barcodes	900
common_genes	1000
marker_genes_used	1000
relative_residual	0.309632
cell_type	reference_cells	weight	weight_fraction	marker_support
B_Cell	200	0.43967037	0.31732421	0.78001684
Endothelial	200	0.43638436	0.31495259	0.8004469
Macrophage	200	0.42280618	0.30515279	0.78122661
Fibroblast_Stroma	200	0.031741377	0.022908771	0.45724927
T_Cell	200	0.029403776	0.021221649	0.49644244
Tumor_Core	200	0.025549623	0.018439983	0.45207522
subset_size	residual	cell_types	weights
4	0.31036366	B_Cell,Endothelial,Fibroblast_Stroma,Macrophage	0.45113186,0.44744324,0.045543982,0.43565394
4	0.31047604	B_Cell,Endothelial,Macrophage,T_Cell	0.45247293,0.44660562,0.43738269,0.042978663
4	0.31057944	B_Cell,Endothelial,Macrophage,Tumor_Core	0.45386452,0.44819511,0.43758092,0.03974347
3	0.31128627	B_Cell,Endothelial,Macrophage	0.46493692,0.45815585,0.45056605
4	0.38000048	B_Cell,Endothelial,Fibroblast_Stroma,Tumor_Core	0.51644712,0.53343272,0.14483261,0.13586612
4	0.3804024	B_Cell,Endothelial,Fibroblast_Stroma,T_Cell	0.51599876,0.53223301,0.14673901,0.13363123
4	0.38053706	B_Cell,Endothelial,T_Cell,Tumor_Core	0.51856481,0.5289551,0.13959874,0.14338679
4	0.38403338	Endothelial,Fibroblast_Stroma,Macrophage,T_Cell	0.55415392,0.13987969,0.50155581,0.13073009
4	0.38482794	Endothelial,Fibroblast_Stroma,Macrophage,Tumor_Core	0.55962192,0.14315109,0.50226468,0.12083436
4	0.38484353	B_Cell,Macrophage,T_Cell,Tumor_Core	0.56041865,0.52109929,0.13382934,0.11767147
selected	B_Cell,Endothelial,Macrophage
