target	Spot_710-1
metadata_cell_column	
metadata_type_column	cell_type
single_cell_genes	1000
reference_cells	1200
spatial_features	1000
spatial_barcodes	900
common_genes	1000
marker_genes_used	1000
relative_residual	0.309632
cell_type	reference_cells	weight	weight_fraction	marker_support
B_Cell	200	0.43967037	0.31732421	0.78001684
Endothelial	200	0.43638436	0.31495259	0.8004469
Macrophage	200	0.42280618	0.30515279	0.78122661
Fibroblast_Stroma	200	0.031741377	0.022908771	0.45724927
T_Cell	200	0.029403776	0.021221649	0.49644244
Tumor_Core	200	0.025549623	0.018439983	0.45207522
selected	B_Cell,Endothelial,Macrophage
