accession	dataset	biological_replicates	preferred_default	peak_count	peak_bins	weighted_binary_signal	signal_sum_correlation	signal_max_correlation	qvalue_sum_correlation	signal_sum	qvalue_sum	binary_correlation	status
ENCFF510PLK	/experiments/ENCSR208DMX/	[1]		405936	172169	866033.6679999714	0.863117	0.842677	0.000000	314376.780497	0.000000	0.217274	ok
ENCFF955RAI	/experiments/ENCSR374VQC/	[1]		437321	160622	821080.2309999594	0.837632	0.823782	0.000000	386713.494339	0.000000	0.210712	ok
ENCFF798RJT	/experiments/ENCSR485UQY/	[1]		501606	179161	853693.7889999592	0.828947	0.812921	0.000000	451533.686930	0.000000	0.193871	ok
ENCFF851JIG	/experiments/ENCSR148VUP/	[2]		345197	155639	839692.5329999805	0.826692	0.799336	0.000000	400281.207952	0.000000	0.234855	ok
ENCFF407WZV	/experiments/ENCSR206OJJ/	[1]		473272	153164	801177.9099999685	0.807229	0.844620	0.000000	253315.844306	0.000000	0.213520	ok
ENCFF991SBA	/experiments/ENCSR774RCO/	[1]		381205	170274	852114.8489999736	0.795198	0.792521	0.000000	326646.085903	0.000000	0.211508	ok
ENCFF058HYK	/experiments/ENCSR097BWW/	[2]	True	277981	138154	802442.7409999875	0.792738	0.786347	0.000000	291357.227188	0.000000	0.249783	ok
ENCFF844EYN	/experiments/ENCSR475VQD/	[1]		377907	181713	847761.7739999552	0.792431	0.788729	0.000000	325538.604194	0.000000	0.184339	ok
ENCFF293UPP	/experiments/ENCSR468ZXN/	[1]		328118	143855	823782.7349999859	0.792241	0.751034	0.000000	467368.414736	0.000000	0.250997	ok
ENCFF222BPQ	/experiments/ENCSR097BWW/	[2]		426246	180474	871056.6109999643	0.790819	0.787451	0.000000	314757.161300	0.000000	0.203454	ok
ENCFF361XWV	/experiments/ENCSR909YET/	[1]		389952	164824	839388.4149999733	0.788660	0.740779	0.000000	492746.093605	0.000000	0.214319	ok
ENCFF895XYT	/experiments/ENCSR564JUY/	[2]		305524	135296	806756.1859999899	0.787165	0.750491	0.000000	342842.531127	0.000000	0.259885	ok
ENCFF826MXH	/experiments/ENCSR059ETS/	[1]		886147	221686	909412.9789999373	0.785802	0.804527	0.000000	346444.020518	0.000000	0.148895	ok
ENCFF263JBT	/experiments/ENCSR595CSH/	[1]		318346	157540	808667.0469999721	0.776990	0.774695	0.000000	316750.544080	0.000000	0.208883	ok
ENCFF920YQB	/experiments/ENCSR678PDD/	[1]		364297	169813	836380.591999974	0.772165	0.781687	0.000000	237828.676432	0.000000	0.201431	ok
ENCFF036TOU	/experiments/ENCSR367FKP/	[3]		315519	137921	810522.5009999913	0.764034	0.760173	0.000000	485701.831126	0.000000	0.256039	ok
ENCFF011GBP	/experiments/ENCSR559WMK/	[1]		342446	158103	831601.3599999782	0.763615	0.773990	0.000000	250196.443770	0.000000	0.223671	ok
ENCFF094EVW	/experiments/ENCSR066WZJ/	[1]		299270	145779	806603.3459999756	0.760510	0.774806	0.000000	234832.471549	0.000000	0.234401	ok
ENCFF008PEX	/experiments/ENCSR678ILN/	[2]		297176	142539	814336.5239999922	0.753920	0.746281	0.000000	287805.749982	0.000000	0.247515	ok
ENCFF041JKB	/experiments/ENCSR910OQF/	[1]		456522	194623	868688.5149999529	0.753023	0.764081	0.000000	257208.756054	0.000000	0.172794	ok
ENCFF158GLW	/experiments/ENCSR723VNG/	[1]		484863	172066	817076.1939999554	0.749373	0.772290	0.000000	274821.773721	0.000000	0.183021	ok
ENCFF784FBQ	/experiments/ENCSR759UNY/	[1]		343502	157528	829873.9119999786	0.749174	0.762191	0.000000	230486.119380	0.000000	0.223747	ok
ENCFF760FHN	/experiments/ENCSR782XFY/	[1]		362266	160441	823940.4259999784	0.737885	0.749639	0.000000	249210.338883	0.000000	0.213115	ok
ENCFF166OXX	/experiments/ENCSR782XFY/	[2]		383848	165998	832706.9649999773	0.733434	0.765435	0.000000	224470.201087	0.000000	0.207082	ok
ENCFF047NAF	/experiments/ENCSR317SIH/	[1]		379433	160074	826164.0669999765	0.732936	0.770039	0.000000	242758.857210	0.000000	0.215484	ok
ENCFF297LEM	/experiments/ENCSR440FZS/	[1]		381279	165813	838611.4679999743	0.731061	0.747278	0.000000	279577.082784	0.000000	0.211625	ok
ENCFF801NDS	/experiments/ENCSR272RQX/	[1]		433025	178977	858161.9129999698	0.725661	0.734554	0.000000	360312.100996	0.000000	0.197421	ok
ENCFF379JXW	/experiments/ENCSR000ENA/	[1]		360795	166031	838074.3369999649	0.721539	0.723278	0.000000	326204.574933	0.000000	0.210775	ok
ENCFF890WAD	/experiments/ENCSR964MZQ/	[2]		377316	149580	810179.557999983	0.718412	0.733727	0.000000	286549.110213	0.000000	0.228039	ok
ENCFF048LQP	/experiments/ENCSR166KPV/	[2]		509892	162891	841515.7539999876	0.716379	0.724616	0.000000	267113.875702	0.000000	0.220029	ok
ENCFF924FQS	/experiments/ENCSR690CVL/	[1]		733321	177945	836333.3059999509	0.707381	0.756851	0.000000	254353.926945	0.000000	0.184126	ok
ENCFF628AIR	/experiments/ENCSR857AEB/	[1]		327376	148910	816442.1399999813	0.707210	0.726247	0.000000	228274.177519	0.000000	0.233974	ok
ENCFF055CUO	/experiments/ENCSR433NEX/	[1]		609567	188054	836063.4219999455	0.704460	0.783924	0.000000	256504.643537	0.000000	0.162801	ok
ENCFF685DKC	/experiments/ENCSR405TXU/	[1]		333793	152789	803496.1429999629	0.703037	0.678555	0.000000	356946.287939	0.000000	0.215996	ok
ENCFF476ZZV	/experiments/ENCSR714DIF/	[1]	True	284012	150843	801962.4319999815	0.702005	0.690752	0.000000	293130.857946	0.000000	0.219377	ok
ENCFF577EFB	/experiments/ENCSR714DIF/	[1]		407286	188213	867403.4039999607	0.700357	0.692212	0.000000	315446.450162	0.000000	0.184937	ok
ENCFF807DUQ	/experiments/ENCSR000EPL/	[1]		281895	137541	806206.3099999805	0.698726	0.687582	0.000000	367326.558955	0.000000	0.253936	ok
ENCFF697QUV	/experiments/ENCSR000ENH/	[1]		309201	146754	808890.7149999782	0.697640	0.696580	0.000000	452917.074295	0.000000	0.233714	ok
ENCFF657QZH	/experiments/ENCSR705CNJ/	[2]		345052	155728	825569.84999997	0.693632	0.706588	0.000000	264980.946144	0.000000	0.224775	ok
ENCFF022MNE	/experiments/ENCSR141VGA/	[1]		414146	180846	862664.6519999718	0.690954	0.693997	0.000000	411269.325947	0.000000	0.196727	ok
ENCFF399PDQ	/experiments/ENCSR537BGX/	[1]		435009	169155	852695.8559999728	0.690885	0.744756	0.000000	478475.702619	0.000000	0.214309	ok
ENCFF870EKF	/experiments/ENCSR000ENJ/	[1]		332799	153597	824151.8489999782	0.690205	0.683818	0.000000	475716.344128	0.000000	0.228605	ok
ENCFF652CEJ	/experiments/ENCSR153LHP/	[1]		422107	169306	846027.6759999688	0.687488	0.684573	0.000000	471387.431029	0.000000	0.209299	ok
ENCFF718GEK	/experiments/ENCSR224FOA/	[2]		475652	151632	821720.0479999788	0.687350	0.699129	0.000000	240637.230598	0.000000	0.231389	ok
ENCFF023HLZ	/experiments/ENCSR004SUL/	[2]		373998	174896	847428.7289999647	0.683759	0.664481	0.000000	264491.980082	0.000000	0.198396	ok
ENCFF231HIA	/experiments/ENCSR582IPV/	[2]		329838	152074	813077.533999976	0.674243	0.680087	0.000000	270738.291382	0.000000	0.224331	ok
ENCFF058IME	/experiments/ENCSR383SNM/	[1]		289480	156867	816955.2319999769	0.672784	0.661981	0.000000	240546.784780	0.000000	0.216189	ok
ENCFF676GEH	/experiments/ENCSR512CWR/	[1]		337644	157313	818046.5089999657	0.665419	0.694259	0.000000	224605.246107	0.000000	0.215953	ok
ENCFF940SNI	/experiments/ENCSR911LTI/	[1]		318597	147511	806381.1819999819	0.656180	0.659723	0.000000	336273.829509	0.000000	0.230186	ok
ENCFF164KPC	/experiments/ENCSR217TAW/	[1]		432646	167468	849597.3649999825	0.644994	0.614800	0.000000	528351.833706	0.000000	0.215756	ok
ENCFF909IHM	/experiments/ENCSR649KBB/	[1]		351825	174767	824904.7449999633	0.638323	0.646550	0.000000	457570.715464	0.000000	0.182774	ok
ENCFF057USZ	/experiments/ENCSR000EOH/	[1]		301726	149940	807166.9359999729	0.636699	0.626245	0.000000	440137.325190	0.000000	0.225099	ok
ENCFF729IFN	/experiments/ENCSR000EJO/	[1]		387519	132750	804656.1169999801	0.631891	0.661794	0.000000	285367.526895	0.000000	0.264802	ok
