dataset	peak_accessions	peak_file_count	peak_count	peak_bins	weighted_binary_signal	signal_sum_correlation	signal_max_correlation	binary_correlation	status
/experiments/ENCSR597URK/	ENCFF445VWR,ENCFF561HFN	2	128035	43621	641748.494000	0.967173	0.927356	0.502625	ok
/experiments/ENCSR342OGI/	ENCFF808RJY,ENCFF003KOY	2	130461	44786	644267.794000	0.963067	0.926273	0.495893	ok
/experiments/ENCSR497NLU/	ENCFF265ZRC,ENCFF177RAQ	2	146570	49201	656714.861000	0.961412	0.921771	0.475360	ok
/experiments/ENCSR496UER/	ENCFF549IFG,ENCFF047DVX	2	109375	39144	626579.723000	0.961158	0.921875	0.525460	ok
/experiments/ENCSR111LTT/	ENCFF833QKZ,ENCFF839QLN	2	130851	45075	645275.179000	0.961047	0.920885	0.494642	ok
/experiments/ENCSR785RIM/	ENCFF575LVU,ENCFF025ORJ	2	115779	40158	632929.032000	0.961030	0.921457	0.522950	ok
/experiments/ENCSR305WLF/	ENCFF835CVY,ENCFF211KOG	2	102109	37573	622248.507000	0.960934	0.921351	0.535586	ok
/experiments/ENCSR217PZP/	ENCFF624RAE,ENCFF156CAM	2	104690	38270	624862.057000	0.960678	0.922574	0.531748	ok
/experiments/ENCSR186NTL/	ENCFF298AXR,ENCFF635AQA	2	101699	36623	620279.429000	0.960538	0.921140	0.542739	ok
/experiments/ENCSR863LZT/	ENCFF221ZMU,ENCFF616TIS	2	93036	34341	610678.000000	0.960516	0.922912	0.555685	ok
/experiments/ENCSR803JVQ/	ENCFF662FOW,ENCFF151TWM	2	103858	37574	622910.746000	0.960050	0.920671	0.536285	ok
/experiments/ENCSR541PUY/	ENCFF089TRW,ENCFF683EJR	2	98624	35626	611074.883000	0.958577	0.921236	0.542732	ok
/experiments/ENCSR419OAR/	ENCFF082UVI,ENCFF217AIR	2	114235	40569	632726.578000	0.958514	0.919770	0.519106	ok
/experiments/ENCSR631XIF/	ENCFF067OGX,ENCFF533WKA	2	175756	56960	677978.480000	0.958502	0.916591	0.445071	ok
/experiments/ENCSR627QIA/	ENCFF277YPZ,ENCFF291UBK	2	126246	43477	641679.263000	0.958257	0.917299	0.503719	ok
/experiments/ENCSR410IYF/	ENCFF014HBS,ENCFF776FXT	2	124413	43343	638970.592000	0.957963	0.921488	0.502079	ok
/experiments/ENCSR507XBY/	ENCFF378ICB,ENCFF478ZZJ	2	132072	44909	646198.869000	0.957716	0.914402	0.496849	ok
/experiments/ENCSR363BTB/	ENCFF139HDN,ENCFF897CGH	2	212968	72109	682352.396000	0.957693	0.919773	0.371091	ok
/experiments/ENCSR815DWW/	ENCFF237YDB,ENCFF480EAH	2	108654	38798	627321.294000	0.957688	0.916131	0.529425	ok
/experiments/ENCSR299BQG/	ENCFF863XOL,ENCFF842BPR	2	101560	36569	613372.988000	0.957007	0.922166	0.535798	ok
/experiments/ENCSR581RSO/	ENCFF624WGG,ENCFF063HRQ	2	125998	44548	641827.349000	0.956917	0.918264	0.495329	ok
/experiments/ENCSR878ITC/	ENCFF458UYZ,ENCFF309IOG	2	114167	39499	627828.919000	0.956866	0.916434	0.523543	ok
/experiments/ENCSR025EYJ/	ENCFF065MPZ,ENCFF022CDR	2	94214	34231	611296.946000	0.955819	0.913481	0.557552	ok
/experiments/ENCSR376DAE/	ENCFF896EFL,ENCFF675SRX	2	127219	43235	631073.586000	0.955657	0.920175	0.494996	ok
/experiments/ENCSR332HAD/	ENCFF324ZSV,ENCFF528BVP	2	100910	34403	609958.646000	0.955524	0.917590	0.554224	ok
/experiments/ENCSR251INE/	ENCFF978APK,ENCFF049LAH	2	156304	47708	656556.379000	0.955483	0.910252	0.485883	ok
/experiments/ENCSR965JHW/	ENCFF845LLN,ENCFF488EGS	2	120380	42169	638177.497000	0.955037	0.911155	0.510963	ok
/experiments/ENCSR715TMH/	ENCFF220XPZ,ENCFF620ISY	2	115128	40222	632836.858000	0.954937	0.911995	0.522285	ok
/experiments/ENCSR473LSX/	ENCFF790QFB,ENCFF541EUP	2	78588	30013	592799.805000	0.954807	0.916269	0.585208	ok
/experiments/ENCSR467MSP/	ENCFF147CYP,ENCFF562ZSS	2	115736	40343	633098.228000	0.954484	0.913322	0.521484	ok
