accession	dataset	biological_replicates	preferred_default	peak_count	peak_bins	top_overlap	weighted_signal_in_peak_bins	status
ENCFF222BPQ	/experiments/ENCSR097BWW/	[2]		426246	180474	1000	871056.611000	ok
ENCFF023HLZ	/experiments/ENCSR004SUL/	[2]		373998	174896	999	847428.729000	ok
ENCFF851JIG	/experiments/ENCSR148VUP/	[2]		345197	155639	1000	839692.533000	ok
ENCFF150UXC	/experiments/ENCSR052AWE/	[1]		358903	167458	995	824709.032000	ok
ENCFF198RRD	/experiments/ENCSR000EPP/	[1]		361815	158748	997	821557.459000	ok
ENCFF834PPH	/experiments/ENCSR217TAW/	[1]	True	324177	139037	998	799760.386000	ok
ENCFF182NCZ	/experiments/ENCSR052AWE/	[2]		302125	155416	994	799037.992000	ok
ENCFF766VCS	/experiments/ENCSR127PWK/	[1]		321149	145145	999	798311.532000	ok
ENCFF519HDZ	/experiments/ENCSR000ENQ/	[1]		286992	139643	998	795930.588000	ok
ENCFF192FLE	/experiments/ENCSR085MZL/	[1]		389945	155561	1000	789564.522000	ok
ENCFF618RZR	/experiments/ENCSR148VUP/	[2]	True	244722	124373	1000	787609.015000	ok
ENCFF421QJF	/experiments/ENCSR004SUL/	[1]		231908	132390	999	779187.585000	ok
ENCFF533JJY	/experiments/ENCSR095GWE/	[2]		283583	130718	999	776987.150000	ok
ENCFF224LZZ	/experiments/ENCSR475VQD/	[1]	True	245926	138952	995	770343.836000	ok
ENCFF065RCP	/experiments/ENCSR000FJL/	[1]		278385	139989	997	767942.419000	ok
ENCFF329LWP	/experiments/ENCSR000ENZ/	[1]		258366	117973	998	767495.236000	ok
ENCFF058FXW	/experiments/ENCSR385SZQ/	[1]	True	236598	132893	995	764723.554000	ok
ENCFF243WOG	/experiments/ENCSR038XTK/	[2]		280178	134924	998	763270.924000	ok
ENCFF617YMX	/experiments/ENCSR224IYD/	[2]		237047	113420	999	753149.815000	ok
ENCFF440SUU	/experiments/ENCSR217SET/	[2]		205351	111933	999	748501.783000	ok
ENCFF212CJT	/experiments/ENCSR678ILN/	[2]	True	194463	106236	998	744487.793000	ok
ENCFF148ZHS	/experiments/ENCSR083STA/	[1]	True	224178	127987	992	740804.952000	ok
ENCFF565UOG	/experiments/ENCSR754LIN/	[1]		202820	113999	997	738418.073000	ok
ENCFF385NWO	/experiments/ENCSR000FDI/	[2]	True	196767	123496	992	738326.959000	ok
ENCFF174OWC	/experiments/ENCSR000ENZ/	[1]	True	200247	98775	997	729975.102000	ok
ENCFF976TBD	/experiments/ENCSR885WWJ/	[1]		169412	88897	997	717186.030000	ok
ENCFF459MDW	/experiments/ENCSR373BIX/	[1]	True	161117	79553	1000	710425.729000	ok
ENCFF930BVE	/experiments/ENCSR620WAR/	[2]		201292	99813	994	706306.790000	ok
ENCFF457XQZ	/experiments/ENCSR412NMI/	[1]		183466	97139	995	703533.782000	ok
ENCFF459HMK	/experiments/ENCSR004SUL/	[1]		150559	95608	997	701597.386000	ok
ENCFF413XHJ	/experiments/ENCSR098PTC/	[2]		126434	78513	1000	696810.579000	ok
ENCFF458RQN	/experiments/ENCSR038XTK/	[2]	True	190356	102245	995	695564.359000	ok
ENCFF997WFL	/experiments/ENCSR943SYS/	[1]		153473	91098	996	692953.834000	ok
