# This file was produced by bcftools (1.24+htslib-1.24), the command line was:
# 	 bcftools gtcheck  input.bcf
# and the working directory was:
# 	 /jetstream2/scratch/main/jobs/79332274/working
#
INFO	Time required to process one record .. 0.000010 seconds
INFO	sites-compared	153107
INFO	sites-skipped-no-match	0
INFO	sites-skipped-multiallelic	1015
INFO	sites-skipped-monoallelic	0
INFO	sites-skipped-no-data	0
INFO	sites-skipped-GT-not-diploid	0
INFO	sites-skipped-PL-not-diploid	0
INFO	sites-skipped-filtering-expression	0
INFO	sites-used-PL-vs-PL	0
INFO	sites-used-PL-vs-GT	0
INFO	sites-used-GT-vs-PL	0
INFO	sites-used-GT-vs-GT	153107
# DCv2, discordance version 2:
#     - Query sample
#     - Genotyped sample
#     - Discordance, given either as an abstract score or number of mismatches, see the options -E/-u
#       in man page for details. Note that samples with high missingness have fewer sites compared,
#       which results in lower overall discordance. Therefore it is advisable to use the average score
#       per site rather than the absolute value, i.e. divide the value by the number of sites compared
#       (smaller value = better match)
#     - Average negative log of HWE probability at matching sites, attempts to quantify the following
#       intuition: rare genotype matches are more informative than common genotype matches, hence two
#       samples with similar discordance can be further stratified by the HWE score (bigger value = better
#       match, the observed concordance was less likely to occur by chance)
#     - Number of sites compared for this pair of samples (bigger = more informative)
#     - Number of matching genotypes
#DCv2	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]Average -log P(HWE)	[6]Number of sites compared	[7]Number of matching genotypes
DCv2	HG03861	unknown	2.818364e+03	4.541370e-01	5854	5555
DCv2	HG03727	unknown	2.951914e+04	2.196247e-01	5854	3013
DCv2	HG03727	HG03861	5.708569e+04	7.159182e-03	151175	145539
