external_id_type	match_type	count
ENCODE	ENCODE_ENCSR	1162
GEO	GEO_GSM	2404
match_type	species	count
ENCODE_ENCSR	ENCSR000FDI	2
ENCODE_ENCSR	ENCSR000FEK	3
ENCODE_ENCSR	ENCSR000FFJ	1
ENCODE_ENCSR	ENCSR000FJH	3
ENCODE_ENCSR	ENCSR000FJL	3
ENCODE_ENCSR	ENCSR000HPG	2
ENCODE_ENCSR	ENCSR004GKA	2
ENCODE_ENCSR	ENCSR004SUL	2
ENCODE_ENCSR	ENCSR005NMT	2
ENCODE_ENCSR	ENCSR007YOT	4
ENCODE_ENCSR	ENCSR011CKE	2
ENCODE_ENCSR	ENCSR011PEI	2
ENCODE_ENCSR	ENCSR011XCI	2
ENCODE_ENCSR	ENCSR015BGH	2
ENCODE_ENCSR	ENCSR017CEO	2
ENCODE_ENCSR	ENCSR017GBO	2
ENCODE_ENCSR	ENCSR017OZH	2
ENCODE_ENCSR	ENCSR017QBI	2
ENCODE_ENCSR	ENCSR019KPC	2
ENCODE_ENCSR	ENCSR021DJC	2
ENCODE_ENCSR	ENCSR022IZK	2
ENCODE_ENCSR	ENCSR028YEV	1
ENCODE_ENCSR	ENCSR031TFS	2
ENCODE_ENCSR	ENCSR037PGI	2
ENCODE_ENCSR	ENCSR038FOS	1
ENCODE_ENCSR	ENCSR038RGL	2
ENCODE_ENCSR	ENCSR038RXU	2
ENCODE_ENCSR	ENCSR038YKU	1
ENCODE_ENCSR	ENCSR041AXL	2
ENCODE_ENCSR	ENCSR042RIW	1
ENCODE_ENCSR	ENCSR054FKH	2
ENCODE_ENCSR	ENCSR057MWG	2
ENCODE_ENCSR	ENCSR065WUF	2
ENCODE_ENCSR	ENCSR065XVO	2
ENCODE_ENCSR	ENCSR066TET	2
ENCODE_ENCSR	ENCSR066WZJ	1
ENCODE_ENCSR	ENCSR072LQF	2
ENCODE_ENCSR	ENCSR075HTM	2
ENCODE_ENCSR	ENCSR076EZB	2
ENCODE_ENCSR	ENCSR076YPO	2
