cistrome_id	external_id	species
62354	ENCSR037PGI_1	
62355	ENCSR037PGI_2	
62356	ENCSR083STA_1	
62357	ENCSR083STA_2	
62358	ENCSR097BWW_1	
62359	ENCSR782XFY_1	
62360	ENCSR782XFY_2	
62361	ENCSR127PWK	
62362	ENCSR148VUP_1	
62363	ENCSR148VUP_2	
62364	ENCSR240TPI_1	
62365	ENCSR240TPI_2	
62366	ENCSR257BGZ_1	
62367	ENCSR257BGZ_2	
62368	ENCSR759UNY_1	
62369	ENCSR759UNY_2	
62370	ENCSR318PRQ_1	
62371	ENCSR318PRQ_2	
62372	ENCSR346IHH_1	
62373	ENCSR346IHH_2	
62374	ENCSR346JWH_1	
62375	ENCSR346JWH_2	
62376	ENCSR364MFN_1	
62377	ENCSR364MFN_2	
62378	ENCSR503HIB_2	
62379	ENCSR405TXU_1	
62380	ENCSR405TXU_2	
62381	ENCSR426IEA_1	
62382	ENCSR426IEA_2	
62383	ENCSR595CSH	
62384	ENCSR475VQD_1	
62385	ENCSR475VQD_2	
62386	ENCSR512CWR	
62387	ENCSR515EWI_1	
62388	ENCSR515EWI_2	
62389	ENCSR548MMD_1	
62390	ENCSR548MMD_2	
62391	ENCSR771DAX_1	
62392	ENCSR771DAX_2	
62393	ENCSR559WMK	
62394	ENCSR564JUY_1	
62395	ENCSR564JUY_2	
62396	ENCSR620WAR_1	
62397	ENCSR620WAR_2	
62398	ENCSR705CNJ_2	
62399	ENCSR813CKU	
62400	ENCSR814KRX_1	
62401	ENCSR814KRX_2	
62402	ENCSR845CFB_1	
62403	ENCSR845CFB_2	
62404	ENCSR910OQF_1	
62405	ENCSR932KWJ_1	
62406	ENCSR932KWJ_2	
62407	ENCSR940NLN_1	
62408	ENCSR940NLN_2	
62409	ENCSR963ALV	
62444	ENCSR224IYD_1	
62445	ENCSR224IYD_2	
62446	ENCSR489NAM_1	
62447	ENCSR489NAM_2	
62448	ENCSR946MVP_1	
62449	ENCSR946MVP_2	
62450	ENCSR217TAW_1	
62451	ENCSR217TAW_2	
62452	ENCSR004SUL_1	
62453	ENCSR004SUL_2	
62454	ENCSR167DFU_1	
62455	ENCSR167DFU_2	
62456	ENCSR627GNV_1	
62457	ENCSR627GNV_2	
62458	ENCSR101TGA_1	
62459	ENCSR101TGA_2	
62460	ENCSR154AVE_1	
62461	ENCSR154AVE_2	
62462	ENCSR141VJJ_1	
62463	ENCSR141VJJ_2	
