Supplementary Table 14: Pathways and protein complexes prioritized by DEPICT. The Data-driven Enrichment-Prioritized Integration for Complex Traits (DEPICT) method re-annotates gene sets based on large-scale gene expression data and then identifie reconstituted gene sets that enrich for genes within associated loci. Locus gene sets were constructed by mapping genes to a given locus if they were within, or overlapped with, regions defined by linkage disequilibrium r2>0.5 around the lead SNP of the given locus. The table lists 301 gene sets with P<1x10-11). The ‘Reconstituted gene set ID’ column lists the gene set ID of the original gene set. Reconstituted gene sets starting with GO are derived from the Gene Ontology database; gene sets starting with MP are derived phenotypic gene sets from the Mouse Genome Informatics database; gene sets starting with ENSG are derived protein-protein interaction subnetworks from the InWeb database; and prefixes KEGG and REACTOME refer to gene sets derived from the KEGG and REACTOME databases, respectively). Gene sets were pruned into meta gene sets based on fraction of shared genes (Jaccard index > 0.25). The column ‘Part of meta gene set’ lists the meta gene set a given gene set may be part of. 	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5
Re-annotated gene set ID	Re-annotated gene set name	Part of meta gene set	P-value	False-discovery rate	Genes in gene set overlapping associated loci
GO:0005667	Transcription Factor Complex	GO:0005667	3.2e-33	<1.04E-5	FOXD2, SNAI1, PITX1, SMAD7, SMAD6, TWIST1, ARID1B, CTCF, SIX1, CREBBP, ISL1, PRRX1, SIX4
GO:0043009	Chordate Embryonic Development	GO:0043009	2.05e-26	<1.04E-5	HOXB6, HOXB3, HOXB5, ENSG00000233101
GO:0009792	Embryo Development Ending In Birth Or Egg Hatching	GO:0043009	3.26e-26	<1.04E-5	HOXB6, HOXB3, HOXB5, ENSG00000233101
GO:0008134	Transcription Factor Binding	GO:0005667	4.68e-26	<1.04E-5	RARA, SMAD7, SMAD6, BMP2, TRIB1, NIPBL, MED13L, NFATC1, CTCF, CREBBP, NFKBIA, ZMIZ1, TLE3, KLF3
GO:0001701	In Utero Embryonic Development	-	1.87e-25	<1.04E-5	*, CREBBP, MED13L, DOT1L
MP:0001698	Decreased Embryo Size	MP:0001698	1.11e-24	<1.04E-5	CCNF, CCNA2, EZH2, CENPW, RREB1, RYBP, NIPBL, MAP3K3, TOP2A, REST, MED13L, STAG1, CTCF, PTPN12, CREBBP, NCAPG
MP:0011098	Complete Embryonic Lethality During Organogenesis	MP:0011098	4.85e-21	<1.04E-5	SNAI1, SMAD7, MYBPC3, LAMC1, SMAD6, RREB1, FLI1, BMP2, NUMB, FLNB, NIPBL, MAP3K3, SERPINH1, WWC2, REST, DLC1, STAG1, PTPN12, CREBBP
ENSG00000005339	CREBBP protein complex	GO:0005667	7.71e-21	<1.04E-5	RARA, POLR2A, HOXB6, CTDSP2, MOV10, PML, HOXB3, RYBP, TRIB1, ZNFX1, GLTSCR1, PLAG1, ARID1B, CTCF, HOXB5, CREBBP, RB1, NFKBIA, KLF3
GO:0060021	Palate Development	GO:0060021	1.62e-20	<1.04E-5	LPAR1, NFATC4
MP:0011108	Partial Embryonic Lethality During Organogenesis	-	1.72e-20	<1.04E-5	LRP5, SMAD6, IGF2, SERPINH1, WNT5A, DLC1, LAMA5, EML4, ISL1, KLF3
GO:0001501	Skeletal System Development	GO:0001501	1.8e-20	<1.04E-5	SMOC2, FAM101A, HOXB6, COL10A1, HOXB3, MATN3, WWP2, COL11A1, ACAN, HOXB5, IBSP, OMD
MP:0009703	Decreased Birth Body Size	-	2.76e-20	<1.04E-5	TBX15, REST, CTCF, EML4, CREBBP
ENSG00000114166	KAT2B protein complex	ENSG00000114166	3.78e-20	<1.04E-5	POLR2A, HIST2H2BE, H1FX, STAG1, CTCF, CREBBP
GO:0048729	Tissue Morphogenesis	-	4.06e-20	<1.04E-5	*, WNT5A, LAMA5, THSD4
GO:0003705	Rna Polymerase Ii Distal Enhancer Sequence-Specific Dna Binding Transcription Factor Activity	-	4.52e-20	<1.04E-5	FOXD2, IHH, BMP2, TRIB1, ISL1, HHIP
GO:0048598	Embryonic Morphogenesis	GO:0043009	6.76e-20	<1.04E-5	HOXB6, HOXB3, HOXB5, ENSG00000233101
ENSG00000177485	ZBTB33 protein complex	ENSG00000177485	1.29e-19	<1.04E-5	SENP3, SUZ12, CREBBP, PBRM1, RNPS1
GO:0000122	Negative Regulation Of Transcription From Rna Polymerase Ii Promoter	GO:0000122	1.51e-19	<1.04E-5	*, ZNF574, KIAA1267, PAX9
ENSG00000169016	E2F6 protein complex	ENSG00000177485	1.6e-19	<1.04E-5	MARK3, MSL2, STAG1, ZNF652, RNPS1, TLE3
ENSG00000170365	SMAD1 protein complex	-	1.93e-19	<1.04E-5	SMAD7, NUP153, GLTSCR1, ARID1B, KIAA1267, ARIH1
GO:0051216	Cartilage Development	GO:0001501	1.96e-19	<1.04E-5	SMOC2, FAM101A, COL10A1, GDF5, COL9A2, COL27A1, MATN3, WWP2, COL11A1, ACAN, IBSP, OMD
MP:0000088	Short Mandible	GO:0001501	3.26e-19	<1.04E-5	FOXD2, PITX1, FGFR2, FAM101A, LPAR1, TBX18, TBX4, TBX15, COL10A1, SMAD6, TWIST1, FBN2, GLI2, COL9A2, PAX9, BMP2, COL27A1, MATN3, DMP1, SERPINH1, COL11A1, ACAN, IGFBP3, CRISPLD1, NFATC1, SIX1, IBSP, RUNX2, PRRX1, SIX4, OMD, SCARA3, COL6A1, TRPS1, NFATC4
ENSG00000100393	EP300 protein complex	GO:0005667	3.42e-19	<1.04E-5	RARA, POLR2A, HOXB6, CTDSP2, HOXB3, TRIB1, MED13L, STAG1, CTCF, HOXB5, ENSG00000233101, CREBBP, SPRY2, NFKBIA, ZMIZ1, NAB1, KLF3
MP:0003984	Embryonic Growth Retardation	MP:0011098	3.89e-19	<1.04E-5	SNAI1, SMAD7, MYBPC3, LAMC1, SMAD6, RREB1, GATAD2A, BMP2, CLIC4, RYBP, FLNB, PKN2, SERPINH1, CSE1L, REST, NSD1, DLC1, PTPN12, ZSCAN10, CREBBP
GO:0060562	Epithelial Tube Morphogenesis	-	4.06e-19	<1.04E-5	*, SALL1, WNT5A, LAMA5
MP:0000097	Short Maxilla	MP:0000097	4.23e-19	<1.04E-5	PITX1, LPAR1, SMAD6, TWIST1, PAX9, COL24A1, DMP1, SIX1, IBSP, RUNX2, PRRX1, SIX4, OMD, SCARA3
GO:0048568	Embryonic Organ Development	GO:0043009	5.1e-19	<1.04E-5	HOXB6, HOXB3, HOXB5, ENSG00000233101
MP:0011092	Complete Embryonic Lethality	-	6.15e-19	<1.04E-5	CCNF, CCNA2, SMAD6, RREB1, NIPBL, SERPINH1, TOP2A, REST, PTPN12, CREBBP
ENSG00000100395	L3MBTL2 protein complex	ENSG00000177485	6.45e-19	<1.04E-5	MARK3, SENP3, MSL2, STAG1, RNPS1
MP:0000060	Delayed Bone Ossification	MP:0000060	8.26e-19	<1.04E-5	FGFR2, FAM101A, COL10A1, PTCH1, IGFBP4, SMAD6, TWIST1, FBN2, COL24A1, COL27A1, MATN3, DMP1, SERPINH1, COL11A1, ACAN, IGFBP3, CRISPLD1, IBSP, RUNX2, SLIT3, OMD, SCARA3, COL6A1, TRPS1, ASPN, NFATC4
MP:0011109	Partial Lethality Throughout Fetal Growth And Development	-	1.23e-18	<1.04E-5	LRP5, FGFR2, IGFBP4, SMAD6, LATS2, IGF2, NUMB, CTDSPL, FLNB, SERPINH1, GLTSCR1, DAB2, WNT5A, FBN1, LAMA5, PLEC, PTPN12, CREBBP, ZMIZ1
MP:0000445	Short Snout	GO:0001501	1.35e-18	<1.04E-5	FOXD2, SNAI1, FGFR2, FAM101A, NEO1, COL10A1, PTCH1, SMAD6, TWIST1, FBN2, GLI2, COL9A2, BMP2, COL27A1, MATN3, DMP1, OGN, SERPINH1, WWP2, COL11A1, ACAN, ENPP2, CRISPLD1, IBSP, PRRX1, OMD, SCARA3, COL6A1, TRPS1, ASPN, NFATC4
GO:0048736	Appendage Development	GO:0048736	1.43e-18	<1.04E-5	SIX1
GO:0060173	Limb Development	GO:0043009	1.43e-18	<1.04E-5	SIX1
GO:0008301	Dna Binding - Bending	-	2.08e-18	<1.04E-5	FOXD2, PAX9, FOXL1
MP:0011101	Partial Prenatal Lethality	-	2.34e-18	<1.04E-5	LATS2, SERPINH1, LAMA5
GO:0060349	Bone Morphogenesis	GO:0001501	3.3e-18	<1.04E-5	COL10A1, COL9A2, COL11A1, ACAN, IBSP, OMD
GO:0048705	Skeletal System Morphogenesis	GO:0043009	3.38e-18	<1.04E-5	HOXB6, COL9A2, HOXB3, ACAN, HOXB5, ENSG00000233101, SIX1
MP:0001255	Decreased Body Height	-	4.2e-18	<1.04E-5	PITX1, COL10A1, OGN, ENPP2, FBN1, PRRX1, OMD, COL6A1
MP:0008803	Abnormal Placental Labyrinth Vasculature Morphology	-	4.27e-18	<1.04E-5	DNM2, CREBBP
GO:0035239	Tube Morphogenesis	-	5.36e-18	<1.04E-5	*, WNT5A, LAMA5, TBX2
ENSG00000015153	YAF2 protein complex	ENSG00000177485	5.58e-18	<1.04E-5	MARK3, MSL2, H1FX, STAG1, CREBBP, SPIN1, RNPS1
GO:0035295	Tube Development	-	7.3e-18	<1.04E-5	*, TBX2, SMAD7, WNT5A
MP:0011099	Complete Lethality Throughout Fetal Growth And Development	-	7.81e-18	<1.04E-5	HLX, SMAD6, FLI1, NIPBL, SERPINH1, WWC2, MED13L, CTCF, ECE1, CREBBP, KLF3
MP:0000428	Abnormal Craniofacial Morphology	-	8.16e-18	<1.04E-5	FGFR2, ZNF536, PTCH1, SMAD6, FBN2, GLI2, ROR2, SLIT3, NFATC4
GO:0051090	Regulation Of Sequence-Specific Dna Binding Transcription Factor Activity	-	1.02e-17	<1.04E-5	*, NFKBIA, FOXL1, CLIC4
GO:0034504	Protein Localization To Nucleus	-	1.17e-17	<1.04E-5	*, ARIH1, XRN2, CREBBP
MP:0000150	Abnormal Rib Morphology	GO:0001501	1.23e-17	<1.04E-5	FGFR2, FAM101A, LPAR1, TBX15, HOXB6, COL10A1, SMAD6, GDF5, TWIST1, FBN2, IGF2, COL9A2, BMP2, HOXB3, CKB, DMP1, SERPINH1, WWP2, COL11A1, SALL1, ACAN, WNT5A, CRISPLD1, HMGA2, NFATC1, HOXB5, ENSG00000233101, SIX1, IBSP, RUNX2, PRRX1, SIX4, OMD, COL6A1, VGLL2, NFATC4
ENSG00000092203	TOX4 protein complex	ENSG00000177485	2.03e-17	<1.04E-5	MARK3, OTUD4, STAG1, CREBBP, PBRM1
ENSG00000183741	CBX6 protein complex	ENSG00000177485	2.26e-17	<1.04E-5	RNPS1
ENSG00000171681	ATF7IP protein complex	-	2.28e-17	<1.04E-5	SEC16A, COL15A1
GO:0002009	Morphogenesis Of An Epithelium	-	2.33e-17	<1.04E-5	*, LAMA5, THSD4, WNT4
ENSG00000120693	SMAD9 protein complex	-	2.46e-17	<1.04E-5	HDLBP, SMAD7, SMAD6, NIPBL, PLEC, ARIH1, ZMIZ1
ENSG00000183337	BCOR protein complex	-	2.69e-17	<1.04E-5	SUZ12, KDM1A, SP3
GO:0010608	Posttranscriptional Regulation Of Gene Expression	-	3.06e-17	<1.04E-5	*, WDR26, NRBP1, HNRNPK
GO:0060541	Respiratory System Development	GO:0060541	3.08e-17	<1.04E-5	TBX4
MP:0000435	Shortened Head	MP:0000435	3.44e-17	<1.04E-5	FAM101A, SMAD7, COL10A1, SMAD6, TWIST1, FBN2, COL9A2, MATN3, DMP1, WWP2, ACAN, WNT5A, SIX1, IBSP, RUNX2, PRRX1, SIX4, OMD, COL6A1, TRPS1
GO:0061035	Regulation Of Cartilage Development	GO:0048736	3.49e-17	<1.04E-5	SMOC2, MATN3
MP:0000120	Malocclusion	-	3.77e-17	<1.04E-5	LOXL1, SMAD6, TWIST1, BMP2, SERPINH1, IBSP, PRRX1, COL6A1
