cell_type	gene	eye1_mean_norm	eye2_mean_norm	eye1_detection	eye2_detection	delta_eye1_minus_eye2	log2fc_eye1_vs_eye2
cone cell	IL1B	0	0	0	0	0	0
cone cell	TNF	0	0	0	0	0	0
cone cell	IL6	0	0	0	0	0	0
cone cell	CCL2	0	0	0	0	0	0
cone cell	CCL3	0	0	0	0	0	0
cone cell	CCL4	0	0	0	0	0	0
cone cell	CXCL8	0	0	0	0	0	0
cone cell	CXCL9	0	0	0	0	0	0
cone cell	CXCL10	0	0	0	0	0	0
cone cell	CXCL16	0.0265965186006949	0.0219783757802582	0.0141509433962264	0.0112676056338028	0.00461814282043678	0.194609748060052
cone cell	NFKBIA	0.0494464946999047	0.0452069562546067	0.0235849056603774	0.0225352112676056	0.00423953844529805	0.106741680367956
cone cell	NFKB1	0.306631152238639	0.263802211610035	0.10377358490566	0.101408450704225	0.042828940628604	0.209669104341148
cone cell	RELA	0.00975388985127269	0.0452546700962082	0.00471698113207547	0.0197183098591549	-0.0355007802449355	-1.48395963491331
cone cell	STAT1	0.115904706588288	0.248283258304657	0.0518867924528302	0.101408450704225	-0.132378551716369	-1.03662191714983
cone cell	IRF7	0.0142377939392559	0.035209334016185	0.00471698113207547	0.0169014084507042	-0.0209715400769291	-0.899362270860482
cone cell	ISG15	0	0.0114975567691865	0	0.0028169014084507	-0.0114975567691865	-1.10417270459277
cone cell	IFIT1	0.273242927528257	0.117419920245885	0.127358490566038	0.0563380281690141	0.155823007282372	1.15244909337918
cone cell	IFIT2	0	0	0	0	0	0
cone cell	IFIT3	0	0	0	0	0	0
cone cell	IFITM1	0	0.00732614150442316	0	0.0028169014084507	-0.00732614150442316	-0.792950405090887
cone cell	IFITM2	0.0736653767257442	0.124155189313991	0.0330188679245283	0.0507042253521127	-0.0504898125882465	-0.681200240820184
cone cell	IFITM3	0.403272699321942	0.568198494203646	0.174528301886792	0.202816901408451	-0.164925794881704	-0.484470788791751
cone cell	MX1	0	0	0	0	0	0
cone cell	MX2	0	0	0	0	0	0
cone cell	OAS1	0	0	0	0	0	0
cone cell	OAS2	0	0	0	0	0	0
cone cell	OAS3	0.010027595944038	0	0.00471698113207547	0	0.010027595944038	1.00198925451209
cone cell	IFI6	0.19361989290373	0.136752819482647	0.0754716981132075	0.0619718309859155	0.0568670734210832	0.472490292898996
cone cell	IFI27	0.0233337514472032	0.0563531704787072	0.0141509433962264	0.0197183098591549	-0.033019419031504	-0.993181711535489
cone cell	GBP1	0.0115442514245606	0	0.00471698113207547	0	0.0115442514245606	1.1073029715123
