gene	eye1_mean_norm	eye2_mean_norm	eye1_detection	eye2_detection
GFAP	0.0571933918049944	0.0758440960563022	0.0195466111496646	0.0215927311598076
AQP4	0.0614742453772277	0.0404635431567281	0.0212815174647236	0.0141101015499733
SLC1A3	0.641825756350734	0.485207809337782	0.0676613462873005	0.0585783003741315
ALDH1L1	0.0457442642491019	0.0367803141563725	0.0157298172565348	0.0130411544628541
S100B	0.0188025539701835	0.0209804314051539	0.00601434189220449	0.00545163014430786
GJA1	0.000346496168376071	0.000884351852821306	0.000115660421003932	0.000213789417423838
CLDN11	0.00218998464692465	0.0030576521540534	0.000809622947027527	0.000962052378407269
SOX9	0.0396057952119846	0.0385587106704203	0.0124913254684247	0.0106894708711919
AIF1	0.00547108381646575	0.00192805369790212	0.00150358547305112	0.000748262960983431
CX3CR1	0.00128901112588481	0.000489340349277636	0.00046264168401573	0.000320684126135756
P2RY12	0.0673070191919648	0.0428997064162314	0.0250983113578533	0.0181721004810262
TMEM119	0	0.000288125899493042	0	0.000106894708711919
C1QA	0.012378730703787	0.0108758789188748	0.00346981263011797	0.00331373597006948
C1QB	0.015369634814037	0.0285390362909504	0.0042794355771455	0.00641368252271513
C1QC	0.00560508479798215	0.00625980342251456	0.00173490631505899	0.00138963121325494
TYROBP	0.0110676937930935	0.0204187622368784	0.00323849178811011	0.00491715660074826
LST1	0.00389495968191419	0.00463992668398759	0.000693962526023595	0.00117584179583111
CTSS	0.101794854717311	0.0657319083728707	0.025676613462873	0.017103153393907
CSF1R	0.00608286034242125	0.00755414823467153	0.00208188757807078	0.00256547300908605
TREM2	0.00186484573960941	0.00486349162498307	0.000693962526023595	0.00138963121325494
RPE65	0.0203048069833876	0.0379952106299468	0.00566736062919269	0.00844468198824158
BEST1	0.182854798999301	0.0787173392267573	0.0510062456627342	0.0184927846071619
RLBP1	0.372871690278087	0.308633025735263	0.0774924820726347	0.0659540352752539
PMEL	0.0135692763941077	0.00833429043370329	0.00404811473513764	0.00256547300908605
TYR	0.0219923775878752	0.0184178140642685	0.00601434189220449	0.00416889363976483
MERTK	0.942498845592206	1.42387010677027	0.188757807078418	0.239978621058258
RDH5	0.306321972072114	0.251577050030594	0.0891741845940319	0.0621058257616248
RAB27A	0.397827564130718	0.444076815289764	0.0998149433263937	0.0957776590058792
SERPINF1	0.108159440950606	0.126727907922936	0.0345824658801758	0.0349545697487974
ARR3	0.716830763915463	0.792286675027668	0.0747166319685404	0.0857295563869589
PDE6C	0.125677559310767	0.140462030571985	0.0374739764052741	0.036878674505612
GNAT2	0.0621447759084618	0.0564209027816291	0.0229007633587786	0.0180652057723143
CNGB3	0.534064510685364	0.690036667433654	0.0532037936618089	0.0508818813468733
OPN1SW	0.0359757830396372	0.0545354792230419	0.00451075641915337	0.00641368252271513
OPN1MW	0.0103877642710969	0.0306538989658076	0.00370113347212584	0.00801710315339391
OPN1LW	0.222055406470711	0.355880527014342	0.0486930372426556	0.0632816675574559
GNGT2	0.138502194955514	0.138396613571136	0.0422160536664353	0.0369855692143239
PCDH21	NA	NA	NA	NA
RHO	7.99495040273033	9.08849148507781	0.696275734443673	0.707322287546766
PDE6A	78.7498481393534	72.3044208085172	0.81586860976174	0.817958311063602
PDE6B	5.44967669070693	6.79730952895611	0.613809854267869	0.640619989310529
GNAT1	6.22694417389017	5.63511750252837	0.604441360166551	0.564190272581507
SAG	19.7375409329501	17.6463785384118	0.767291232940088	0.757990379476216
NRL	5.46769571203664	3.34200047801192	0.60941475826972	0.469374665954035
NR2E3	2.94974116765333	2.24938938410991	0.43176035160768	0.336076964190273
GNGT1	8.63328388276313	6.81366985177	0.729932916955818	0.654730090860502
ROM1	6.3825677698101	6.33445591826845	0.611265325005783	0.576483164083378
LHX1	0.0304641777229161	0.0324039227007808	0.00983113578533426	0.00972741849278461
LHX3	0.0103867428373365	0.0078308093969743	0.00300717094610224	0.00235168359166221
ONECUT1	0.130381069343633	0.123775506101145	0.0157298172565348	0.0163548904329236
ONECUT2	0.114908180932109	0.136349544832828	0.0275271801989359	0.0284339925173704
CALB1	0.22579337462276	0.150779718173385	0.0434883182974786	0.0349545697487974
VSX1	0.319356970750437	0.225451704556735	0.0543603978718483	0.0373062533404596
GRIK1	4.12773448237762	5.00225385655385	0.0734443673374971	0.078888295029396
PROX1	0.487861288798238	0.371668639102062	0.0935692805921814	0.0735435595938001
VSX2	0.317616674368932	0.257347838987495	0.0693962526023595	0.0577231427044361
CABP5	2.41455435223127	1.95957275668098	0.399953735831598	0.319828968466061
GRM6	0.503717718768992	0.480664189366331	0.0704371963913949	0.0595403527525388
TRPM1	1.38131311422909	1.20908870341976	0.0892898450150359	0.0747194013896312
PRKCA	2.94644260112073	2.61792466411674	0.298866527874161	0.282415820416889
PCP4	1.27106899491285	1.17560149538995	0.19234328012954	0.181293425975414
ISL1	0.290094353187638	0.225664617859889	0.0558639833448994	0.0426509887760556
CALB2	0.133887912771493	0.155206939276279	0.037589636826278	0.036878674505612
GNAO1	0.811366449142545	0.813147469378602	0.154059680777238	0.143880277926243
RBPMS	0.0913882272632342	0.0614122711043431	0.0271801989359241	0.0164617851416355
SNCG	0.119178128199005	0.173665467099295	0.037589636826278	0.0444681988241582
POU4F1	0	0.000367714856250151	0	0.000106894708711919
POU4F2	0	0.00368224693648955	0	0.000320684126135756
THY1	0.0587821980530492	0.0560502808576629	0.0219754799907472	0.0177445216461785
NEFL	0.0928003692220237	0.125217349747588	0.0261392551468887	0.0308925708177445
NEFM	0.0505245118814502	0.0815665023456621	0.0148045338885034	0.0207375734901122
CD3D	0	0.000252229138064933	0	0.000106894708711919
CD3E	0	0.000157661812259467	0	0.000106894708711919
TRAC	0.36220038971201	0.311876550255265	0.0972704140643072	0.0729021913415286
TRBC1	0	0	0	0
TRBC2	0.00177936901954326	0.00176684871253786	0.000578302105019662	0.000534473543559594
CD7	0	0	0	0
LCK	0.049100062280661	0.000410501953578797	0.0194309507286607	0.000106894708711919
IL7R	0.0215968285101282	0	0.00948415452232246	0
CD247	0.0700129715471736	0.0963151170891002	0.0173490631505899	0.0240513094601817
CCL5	0.262830219087326	0.00467560242773241	0.0492713393476752	0.00138963121325494
CD2	0	0	0	0
IL32	0.000967483335549523	0.00106469920423276	0.00046264168401573	0.000320684126135756
LTB	0.00198622130615845	0.00238768103979946	0.00092528336803146	0.00085515766969535
MAL	0.0254913157506917	0.0286311236888066	0.00867453157529493	0.00652057723142704
LILRB1	0	0	0	0
