cell_type	gene	eye1_mean_norm	eye2_mean_norm	eye1_detection	eye2_detection
cone cell	ARR3	17.9530104135974	15.0619561568835	0.995238095238095	0.988571428571429
cone cell	PDE6C	2.92426913076863	2.74997457774785	0.695238095238095	0.665714285714286
cone cell	GNAT2	1.58692783914592	1.22304560619865	0.509523809523809	0.391428571428571
cone cell	CNGB3	15.2426861566115	15.8915124915805	0.985714285714286	0.985714285714286
cone cell	OPN1SW	0.923608699370653	0.938840856132653	0.0666666666666667	0.0628571428571429
cone cell	OPN1MW	0.254434656941857	0.581251987845493	0.0857142857142857	0.16
cone cell	OPN1LW	4.8759854485741	5.02676132065454	0.733333333333333	0.702857142857143
cone cell	GNGT2	2.42433982613271	1.59068276394042	0.628571428571429	0.485714285714286
rod cell	RHO	10.2402454274043	11.6797225594344	0.834195314876787	0.837084217975938
rod cell	PDE6A	103.137412760616	95.2762723726925	0.998935199269851	0.998301486199575
rod cell	PDE6B	7.06914469823429	8.88334751237179	0.771676300578035	0.808634111818825
rod cell	GNAT1	8.04739021685622	7.28440000187106	0.753878916945543	0.694550601556971
rod cell	SAG	25.7331103012161	23.0860880770084	0.956343170063888	0.931634819532909
rod cell	NRL	6.95964900329054	4.23898398062649	0.728171585031944	0.564472753007785
rod cell	NR2E3	3.87093641026033	2.96809180438544	0.563888043808944	0.440764331210191
rod cell	GNGT1	10.9152683625292	8.57525939278022	0.847125038028598	0.753573956121727
rod cell	ROM1	8.16201606728352	8.15535634657656	0.733191359902647	0.692285916489738
horizontal cell	LHX1	0.547250126620628	0.694483653121551	0.192825112107623	0.2018779342723
horizontal cell	LHX3	0.234839196409542	0.18067861953785	0.0493273542600897	0.0516431924882629
horizontal cell	ONECUT1	3.13250775984231	2.77000142210725	0.291479820627803	0.28169014084507
horizontal cell	ONECUT2	2.03620020861988	2.13824806575315	0.331838565022422	0.305164319248826
horizontal cell	CALB1	3.09437524451809	1.85099735355118	0.26457399103139	0.173708920187793
horizontal cell	VSX1	3.55425532577301	3.3034013076693	0.408071748878924	0.408450704225352
horizontal cell	GRIK1	56.818277697461	63.5166068920846	0.717488789237668	0.732394366197183
horizontal cell	PROX1	2.51990708434796	2.26999813569053	0.497757847533632	0.47887323943662
bipolar cell	VSX2	2.89352868361683	2.35984177318169	0.541880341880342	0.488593155893536
bipolar cell	CABP5	2.71467388760716	2.03606331889565	0.464957264957265	0.423954372623574
bipolar cell	GRM6	6.34468678448058	7.47797735010468	0.781196581196581	0.82509505703422
bipolar cell	TRPM1	16.9911824470875	17.4551018320749	0.933333333333333	0.946768060836502
bipolar cell	PRKCA	21.9595465745827	19.4174203268903	0.782905982905983	0.771863117870722
bipolar cell	PCP4	4.68286087402158	3.70554579453181	0.663247863247863	0.574144486692015
bipolar cell	ISL1	3.71366158496851	3.37340479247789	0.615384615384615	0.5893536121673
bipolar cell	CALB2	0.0891894783588243	0.0807338818990688	0.0307692307692308	0.0228136882129278
bipolar cell	GNAO1	6.60793645004154	7.17694031480938	0.863247863247863	0.85361216730038
T cells	CD3D	0	0	0	0
T cells	CD3E	0	0	0	0
T cells	TRBC1	0	0	0	0
T cells	TRBC2	0.00440749203125441	0.00122531901180472	0.00142450142450142	0.00128205128205128
T cells	LCK	0.266281782014799	0	0.0854700854700855	0
T cells	IL7R	0.128295864681341	0	0.0455840455840456	0
T cells	CD247	0.317517326690109	0.338405609089454	0.0655270655270655	0.0807692307692308
T cells	CCL5	1.29441197843298	0.00775950507671695	0.210826210826211	0.00256410256410256
T cells	CD2	0	0	0	0
T cells	MALAT1	854.469507775031	929.579812890673	1	1
muller glia cell	RLBP1	6.35367975966444	6.01955124308678	0.868217054263566	0.873239436619718
muller glia cell	GLUL	24.0492802792737	20.7758510958498	1	0.985915492957746
muller glia cell	SLC1A3	14.8204503817003	13.7968298806256	0.953488372093023	0.894366197183099
muller glia cell	SOX9	0.409178937600278	0.693771676429457	0.162790697674419	0.154929577464789
muller glia cell	KCNJ10	0.377495278070963	0.109764437380029	0.124031007751938	0.0422535211267606
muller glia cell	VIM	6.3426969260765	5.76266283770508	0.844961240310077	0.746478873239437
muller glia cell	CLDN11	0.0522798556644268	0.0410732377171261	0.0155038759689922	0.0140845070422535
muller glia cell	AQP4	1.72404987374271	0.678886552901115	0.441860465116279	0.225352112676056
muller glia cell	DIO2	0.745766853946275	0.70527377535063	0.27906976744186	0.204225352112676
muller glia cell	RAX	1.30800429259854	0.56143510828666	0.395348837209302	0.225352112676056
