cell_type	eye1_assigned	eye2_assigned	eye1_high_conf	eye2_high_conf	eye1_state_mean_all	eye2_state_mean_all	eye1_minus_eye2_state_all	eye1_state_mean_high_conf	eye2_state_mean_high_conf	eye1_minus_eye2_state_high_conf	high_conf_state_p	genes_eye1_higher	genes_eye2_higher	median_gene_log2fc_eye1_vs_eye2	state_fdr
astrocyte	0	1	0	0	NA	0.0362129237551359	NA	NA	NA	NA	NA	NA	NA	NA	NA
microglial cell	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPE cell	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cone cell	215	352	210	350	0.0215936194923813	0.0222423073210432	-0.000648687828661908	0.0216722236327841	0.0222471090828094	-0.000574885450025323	0.828248691942881	6	11	0	0.977941407037952
rod cell	6584	7086	6574	7065	0.0230233371871184	0.0239969777253673	-0.000973640538248902	0.0229887025318786	0.0239309442548685	-0.0009422417229899	3.97275741818119e-09	12	12	0	1.17555925176645e-08
horizontal cell	263	277	223	213	0.0317831292549076	0.0271795354723046	0.00460359378260308	0.0323166462570335	0.0268182103375602	0.00549843591947329	0.169573788888403	14	5	0	0.254360683332605
bipolar cell	608	557	585	526	0.0276750038033638	0.0266356836505841	0.00103932015277979	0.0269504813451335	0.0266895460393511	0.000260935305782414	0.977941407037952	9	10	0	0.977941407037952
RGC	3	0	3	0	0.0746064135592138	NA	NA	0.0746064135592138	NA	NA	NA	NA	NA	NA	NA
T cells	814	909	702	780	0.0612985322734634	0.0315255137855298	0.0297730184879335	0.0623492162796968	0.0329610500673427	0.0293881662123541	5.87779625883225e-09	24	6	0.384844028995569	1.17555925176645e-08
macrophage	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Schwann cell	2	6	0	5	0.0987393909243109	0.0509474664310741	0.0477919244932369	NA	0.0529027370117335	NA	NA	NA	NA	NA	NA
Pericyte	1	0	1	0	0.0463271128588825	NA	NA	0.0463271128588825	NA	NA	NA	NA	NA	NA	NA
B cell	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fibroblast	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
muller glia cell	156	167	129	142	0.175868611457334	0.0633424459813371	0.112526165475997	0.177645422339404	0.0634775274063363	0.114167894933068	1.33857426808498e-29	23	10	0.440495390404907	8.0314456085099e-29
endothelial cell	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
