cell_type	eye1_assigned	eye2_assigned	eye1_high_conf	eye2_high_conf	eye1_state_mean_all	eye2_state_mean_all	eye1_minus_eye2_state_all	eye1_state_mean_high_conf	eye2_state_mean_high_conf	eye1_minus_eye2_state_high_conf	high_conf_state_p	genes_eye1_higher	genes_eye2_higher	median_gene_log2fc_eye1_vs_eye2	state_fdr
astrocyte	4	5	0	1	0.0855599545720645	0.0218774041955998	0.0636825503764647	NA	0.0373163634833233	NA	NA	NA	NA	NA	NA
microglial cell	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPE cell	5	4	2	0	0.135058140506264	0.0356991786720476	0.0993589618342167	0.13541744922263	NA	NA	NA	NA	NA	NA	NA
cone cell	220	357	212	355	0.0217292098612287	0.0221653391552433	-0.000436129294014636	0.0217638175836258	0.02212645658242	-0.000362638998794202	0.904385527078573	6	11	0	0.975650788763264
rod cell	6679	7209	6600	7113	0.0233325036007138	0.0241106603131345	-0.000778156712420677	0.0230793039911523	0.0240220309880211	-0.000942726996868797	3.74668164464896e-09	11	12	-0.0172585443667744	1.12400449339469e-08
horizontal cell	502	619	412	495	0.0261109519080459	0.0251451463699313	0.000965805538114605	0.0268588708077167	0.0250710670076188	0.00178780380009792	0.692901528956558	13	10	0	0.975650788763264
bipolar cell	755	729	654	627	0.028349876255787	0.0283072593690021	4.26168867848908e-05	0.0274882103006209	0.0268843150727222	0.000603895227898704	0.975650788763264	11	10	0	0.975650788763264
RGC	23	11	6	2	0.0604204102869814	0.0521894081071481	0.00823100217983335	0.0739630874236667	0.0715724319602208	0.00239065546344595	NA	9	3	0	NA
T cells	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
macrophage	4	5	0	0	0.0271791768000962	0.0283704638004478	-0.00119128700035163	NA	NA	NA	NA	NA	NA	NA	NA
Schwann cell	108	146	17	28	0.0615776894562705	0.0373028995778227	0.0242747898784478	0.119760805055784	0.0364077037330656	0.0833531013227189	0.0013346129225204	16	6	0	0.00266922584504079
Pericyte	16	21	5	4	0.0599948152508358	0.0368161216972814	0.0231786935535544	0.0925130083203627	0.0744147993091461	0.0180982090112167	NA	6	5	0	NA
B cell	1	0	0	0	0.0856208073212949	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fibroblast	2	1	0	0	0.0392367413997257	0.0281131756722997	0.011123565727426	NA	NA	NA	NA	NA	NA	NA	NA
muller glia cell	326	248	281	201	0.165010394849804	0.0591542464440028	0.105856148405802	0.170899713343692	0.0595941355020474	0.111305577841644	4.35197936468642e-52	21	10	0.320201353523974	2.61118761881185e-51
endothelial cell	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
