cell_type	eye	assigned_cells	median_library	median_detected_genes	mean_marker_score	mean_marker_margin	mean_inflammatory_score	median_inflammatory_score	mean_interferon_score	mean_cytokine_score
astrocyte	eye1	0	NA	NA	NA	NA	NA	NA	NA	NA
astrocyte	eye2	1	2796	1420	0.886845135360573	0.0252747473005436	0.0316863082857439	0.0316863082857439	0.0661279477267699	0
microglial cell	eye1	0	NA	NA	NA	NA	NA	NA	NA	NA
microglial cell	eye2	0	NA	NA	NA	NA	NA	NA	NA	NA
RPE cell	eye1	0	NA	NA	NA	NA	NA	NA	NA	NA
RPE cell	eye2	0	NA	NA	NA	NA	NA	NA	NA	NA
cone cell	eye1	215	4771	2222	1.22073710288422	0.577232847016073	0.020731991281564	0.0219460510415224	0.0300173886750754	0.0131682974643849
cone cell	eye2	352	4558	2169.5	1.15912038330974	0.527229412005295	0.0220201986854183	0.0218870838244909	0.030967301161031	0.0144072687973275
rod cell	eye1	6584	2291	1282	2.14938727155384	1.54846743084653	0.0227720571750655	0	0.0305873336356112	0.0195789427056059
rod cell	eye2	7086	2159	1250	2.02018274764521	1.41927960161993	0.0242041338131024	0	0.0357363483950716	0.0144580410010686
horizontal cell	eye1	263	3174	1525	0.838692746396313	0.16722461717521	0.0290791784297548	0.0271494788775866	0.0350497640990418	0.0227220126320937
horizontal cell	eye2	277	3131	1506	0.82351277691289	0.137845972630605	0.0259033429702378	0.0225266046964634	0.0320779439979014	0.0202884294413001
bipolar cell	eye1	608	3328	1629	1.37012952032206	0.676545526887418	0.0263279422820426	0.0252930352532876	0.0405774365428186	0.0142068941904878
bipolar cell	eye2	557	3169	1561	1.31438484256062	0.614120038953866	0.0263428928915271	0.0269278157830489	0.0378227317277199	0.0156967012488304
RGC	eye1	3	4336	2442	0.785962412950731	0.162695257064655	0.0652806118643121	0.0569990728581077	0.109110504342548	0
RGC	eye2	0	NA	NA	NA	NA	NA	NA	NA	NA
T cells	eye1	814	3079	1527.5	0.733579996536462	0.218016599964813	0.0672076634699221	0.032115284320318	0.0571670902128172	0.103642375231791
T cells	eye2	909	2936	1475	0.689768962320994	0.203026254550091	0.0322481516492707	0.0294533459644244	0.040261770313942	0.0254617541939893
macrophage	eye1	0	NA	NA	NA	NA	NA	NA	NA	NA
macrophage	eye2	0	NA	NA	NA	NA	NA	NA	NA	NA
Schwann cell	eye1	2	3028	1472.5	0.711926076224691	0.00360839710161814	0.12587697385447	0.12587697385447	0.0868887714560084	0.280310027363347
Schwann cell	eye2	6	3169.5	1462	0.803623622918461	0.106624270854849	0.0749608434992437	0.0675676106376006	0.0828993927426448	0.0890228660464667
Pericyte	eye1	1	1667	1111	0.807030280262755	0.144113926499201	0.0405362237515221	0.0405362237515221	0	0.102407302109109
Pericyte	eye2	0	NA	NA	NA	NA	NA	NA	NA	NA
B cell	eye1	0	NA	NA	NA	NA	NA	NA	NA	NA
B cell	eye2	0	NA	NA	NA	NA	NA	NA	NA	NA
fibroblast	eye1	0	NA	NA	NA	NA	NA	NA	NA	NA
fibroblast	eye2	0	NA	NA	NA	NA	NA	NA	NA	NA
muller glia cell	eye1	156	3561	1738	1.04659233998047	0.198225131897363	0.203151351891799	0.20281246209352	0.152504479421591	0.357004998822772
muller glia cell	eye2	167	3386	1605	0.915353501239964	0.19470935825436	0.0827092727060197	0.0740891808670757	0.0989995796594583	0.0848365297445753
endothelial cell	eye1	0	NA	NA	NA	NA	NA	NA	NA	NA
endothelial cell	eye2	0	NA	NA	NA	NA	NA	NA	NA	NA
