cell_type	gene	eye1_mean_norm	eye2_mean_norm	eye1_detection	eye2_detection	delta_eye1_minus_eye2	log2fc_eye1_vs_eye2
cone cell	IL1B	0	0	0	0	0	0
cone cell	TNF	0	0	0	0	0	0
cone cell	IL6	0	0	0	0	0	0
cone cell	CCL2	0	0	0	0	0	0
cone cell	CCL3	0	0	0	0	0	0
cone cell	CCL4	0	0	0	0	0	0
cone cell	CXCL8	0	0	0	0	0	0
cone cell	CXCL9	0	0	0	0	0	0
cone cell	CXCL10	0	0	0	0	0	0
cone cell	CXCL16	0.0268498187778444	0.022292352577119	0.0142857142857143	0.0114285714285714	0.00455746620072543	0.190464975715047
cone cell	NFKBIA	0.0499174136970467	0.0432907695054667	0.0238095238095238	0.02	0.00662664419157998	0.169089686578532
cone cell	NFKB1	0.309551448926626	0.267570814633035	0.104761904761905	0.102857142857143	0.0419806342935906	0.203192346170784
cone cell	RELA	0.00984678404033243	0.0459011653832969	0.00476190476190476	0.02	-0.0360543813429644	-1.49397310658464
cone cell	STAT1	0.117008560936748	0.251830161994724	0.0523809523809524	0.102857142857143	-0.134821601057976	-1.04370555641821
cone cell	IRF7	0.0143733919767726	0.0357123245021305	0.00476190476190476	0.0171428571428571	-0.0213389325253579	-0.907276141944553
cone cell	ISG15	0	0.0116618075801749	0	0.00285714285714286	-0.0116618075801749	-1.11515363436578
cone cell	IFIT1	0.26281677392293	0.119097347677969	0.123809523809524	0.0571428571428571	0.143719426244961	1.07947298945954
cone cell	IFIT2	0	0	0	0	0	0
cone cell	IFIT3	0	0	0	0	0	0
cone cell	IFITM1	0	0.00743080066877206	0	0.00285714285714286	-0.00743080066877206	-0.801638839936157
cone cell	IFITM2	0.0743669517421799	0.125928834875619	0.0333333333333333	0.0514285714285714	-0.0515618831334392	-0.688101648972365
cone cell	IFITM3	0.407113391696437	0.552525916489105	0.176190476190476	0.202857142857143	-0.145412524792668	-0.431479933548925
cone cell	MX1	0	0	0	0	0	0
cone cell	MX2	0	0	0	0	0	0
cone cell	OAS1	0	0	0	0	0	0
cone cell	OAS2	0	0	0	0	0	0
cone cell	OAS3	0.0101230968577907	0	0.00476190476190476	0	0.0101230968577907	1.00885234677218
cone cell	IFI6	0.195463891883766	0.138706431189542	0.0761904761904762	0.0628571428571429	0.0567574606942238	0.466417835942958
cone cell	IFI27	0.0235559776514623	0.0571582157712602	0.0142857142857143	0.02	-0.0336022381197979	-1.00099411135569
cone cell	GBP1	0.0116541966762231	0	0.00476190476190476	0	0.0116541966762231	1.11464665253819
cone cell	GBP2	0	0	0	0	0	0
