cell_type	eye1_cells	eye2_cells	eye1_fraction	eye2_fraction	delta_mean_inflammatory	delta_median_inflammatory	inflammatory_p	delta_mean_interferon	interferon_p	delta_mean_cytokine	cytokine_p	inflam_fdr	interferon_fdr	cytokine_fdr
astrocyte	0	1	0	0.000106894708711919	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
microglial cell	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPE cell	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cone cell	215	352	0.0248669905158455	0.0376269374665954	0.00128820740385435	-5.89672170314692e-05	0.782647341991634	0.000949912485955565	0.909129500290747	0.00123897133294262	0.642700825643985	0.840204632522571	0.909129500290747	0.642700825643985
rod cell	6584	7086	0.761508211889891	0.757455905932656	0.00143207663803692	0	1.53968047662654e-16	0.00514901475946036	1.45436102579652e-10	-0.00512090170453729	0.175485995234228	4.61904142987962e-16	8.72616615477912e-10	0.301065992733711
horizontal cell	263	277	0.0304186907240342	0.0296098343132015	-0.00317583545951702	-0.00462287418112322	0.421644049148546	-0.00297182010114047	0.872565692376523	-0.0024335831907936	0.553460310192247	0.632466073722818	0.909129500290747	0.642700825643985
bipolar cell	608	557	0.0703215359703909	0.0595403527525388	1.49506094845042e-05	0.00163478052976131	0.840204632522571	-0.0027547048150987	0.45588598596022	0.00148980705834262	0.200710661822474	0.840204632522571	0.68382897894033	0.301065992733711
RGC	3	0	0.000346981263011797	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T cells	814	909	0.094147582697201	0.0971672902191342	-0.0349595118206514	-0.00266193835589357	1.65734618381228e-08	-0.0169053198988752	0.000347703668675885	-0.0781806210378022	7.35197510321218e-13	3.31469236762456e-08	0.000695407337351769	2.20559253096366e-12
macrophage	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Schwann cell	2	6	0.000231320842007865	0.000641368252271513	-0.050916130355226	-0.0583093632168692	NA	-0.00398937871336355	NA	-0.19128716131688	NA	NA	NA	NA
Pericyte	1	0	0.000115660421003932	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B cell	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fibroblast	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
muller glia cell	156	167	0.0180430256766135	0.0178514163548904	-0.120442079185779	-0.128723281226444	7.13588483316085e-36	-0.0535048997621327	1.34822296745762e-07	-0.272168469078197	6.38985134004966e-46	4.28153089989651e-35	4.04466890237285e-07	3.8339108040298e-45
endothelial cell	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
