field	value
cell_barcode:nonempty	2455
num_features:nonempty	2455
num_features:1	2455
feature_call:nonempty	2455
feature_call:guide_001	50
feature_call:guide_002	50
feature_call:guide_003	50
feature_call:guide_004	50
feature_call:guide_005	50
feature_call:guide_006	50
feature_call:guide_007	50
feature_call:guide_008	50
feature_call:guide_009	50
feature_call:guide_010	50
feature_call:guide_012	50
feature_call:guide_013	50
feature_call:guide_014	50
feature_call:guide_015	50
feature_call:guide_016	50
feature_call:guide_017	50
feature_call:guide_018	50
feature_call:guide_019	50
feature_call:guide_020	50
feature_call:guide_021	50
feature_call:guide_022	50
feature_call:guide_023	50
feature_call:guide_024	50
feature_call:guide_025	50
feature_call:guide_026	50
feature_call:guide_027	50
feature_call:guide_028	50
feature_call:guide_029	50
feature_call:guide_030	50
feature_call:guide_031	50
num_umis:nonempty	2455
num_umis:439	55
num_umis:455	54
num_umis:459	52
num_umis:463	52
num_umis:447	51
num_umis:448	48
num_umis:456	48
num_umis:446	47
num_umis:449	47
num_umis:454	47
num_umis:466	45
num_umis:440	44
num_umis:435	43
num_umis:452	43
num_umis:445	42
num_umis:464	42
num_umis:470	42
num_umis:442	41
num_umis:443	41
num_umis:465	41
num_umis:438	40
num_umis:429	39
num_umis:441	39
num_umis:444	39
num_umis:457	38
num_umis:458	38
num_umis:436	37
num_umis:450	37
num_umis:453	37
num_umis:432	36
