guide_id	target_gene	pathway_gene	mean_lognorm_effect	pseudobulk_log2fc	wilcoxon_p_lower	fdr_within_guide
guide_001	Non-Targeting	STAT1	0.0622775592496763	0.0725700062501705	0.927886602012527	0.958431617240876
guide_001	Non-Targeting	ISG15	0.0743089420367005	0.10318863019751	0.958431617240876	0.958431617240876
guide_001	Non-Targeting	IFIT1	0.0225144594780171	0.0171128583468654	0.61758323836456	0.890478714421284
guide_001	Non-Targeting	IFIT2	-0.0453023462108204	-0.058994178636935	0.150096073069927	0.890478714421284
guide_001	Non-Targeting	IFIT3	0.0219659552120648	0.0143699942949021	0.667859035815963	0.890478714421284
guide_001	Non-Targeting	MX1	-0.00844785413252858	-0.037533496036358	0.260086196575356	0.890478714421284
guide_001	Non-Targeting	MX2	0.0623826173835678	0.0900897026244834	0.909925164376205	0.958431617240876
guide_001	Non-Targeting	OAS1	0.0295709843992156	0.0402039234927261	0.655572071235023	0.890478714421284
guide_001	Non-Targeting	OAS2	-0.0266568841277639	-0.0382885522737313	0.166201091261762	0.890478714421284
guide_001	Non-Targeting	OAS3	-0.000577735937917545	-0.00587354070559132	0.395476893133581	0.890478714421284
guide_001	Non-Targeting	CXCL10	-0.00254947882996381	-0.00106472503276714	0.488272547725608	0.890478714421284
guide_001	Non-Targeting	CXCL11	0.0559045889964089	0.0719538355034144	0.845840220021975	0.958431617240876
guide_001	Non-Targeting	IRF7	0.00660595370959927	0.00404456473829911	0.621848776368029	0.890478714421284
guide_001	Non-Targeting	BST2	0.0204465123399356	0.0216013717420348	0.66293080515434	0.890478714421284
guide_001	Non-Targeting	IFI6	0.0403647317075766	0.041835441130955	0.773497760952323	0.958431617240876
guide_001	Non-Targeting	STAT2	0.00950418374210882	0.0153959447291249	0.484365141081468	0.890478714421284
guide_001	Non-Targeting	EIF2AK2	0.0188188503571403	0.00974869452955618	0.549950345456889	0.890478714421284
guide_001	Non-Targeting	GBP1	-0.0736812517893077	-0.112091937937733	0.0326032914875539	0.652065829751078
guide_001	Non-Targeting	GBP2	0.00845598737796038	0.00796478621146504	0.550689139140562	0.890478714421284
guide_001	Non-Targeting	IDO1	0.0222363349740244	0.0261975670367199	0.65625908406857	0.890478714421284
guide_002	Non-Targeting	STAT1	-0.0273100667471944	-0.0259579530274684	0.317366235747895	0.89066662375058
guide_002	Non-Targeting	ISG15	-0.0619412583274577	-0.0897661176459595	0.129866347274986	0.89066662375058
guide_002	Non-Targeting	IFIT1	0.002420793489887	0.0038892006449973	0.44027587644919	0.89066662375058
guide_002	Non-Targeting	IFIT2	0.0175882145251753	0.0392372823045675	0.701346613003071	0.965194848974534
guide_002	Non-Targeting	IFIT3	0.0157726615179512	0.00607407956646098	0.534029006123803	0.89066662375058
guide_002	Non-Targeting	MX1	0.0152247394302263	0.0221750333763724	0.790401867528981	0.965194848974534
