check	value
normalization	log1p(CP10K); NT-standardized per gene
IFNG_module	STAT1,ISG15,IFIT1,IFIT2,IFIT3,MX1,MX2,OAS1,OAS2,OAS3,CXCL10,CXCL11,IRF7,BST2,IFI6,STAT2,EIF2AK2,GBP1,GBP2,IDO1
non_targeting_cells	500
positive_control_cells_STAT1	5
target_selection_rule	all targeted guides with n>=30; bootstrap upper<0; BH FDR<0.05; >=16/20 genes down and >=16/20 below -0.25 log2FC; then minimum pathway effect excluding target transcript
robust_targets_passing	ISG15
top_primary_excluding_target	ISG15
top_core18	ISG15
top_median_gene_effect	ISG15
top_breadth_gt_0.25	ISG15
selected_target	ISG15
selected_effect_excluding_target	-2.26103252886412
selected_bootstrap_ci_low	-2.35742997664811
selected_bootstrap_ci_high	-2.16864408157765
selected_fdr	4.73070544275235e-30
selected_genes_down	20
selected_genes_down_gt_0.25	20
