metric	item	value
barcode_exact_order_match	all	TRUE
duplicate_barcodes_matrix	all	0
duplicate_barcodes_calls	all	0
library_size_quantile	min	4036
library_size_quantile	q25	4247
library_size_quantile	median	4295
library_size_quantile	q75	4338
library_size_quantile	max	4555
assigned_cells	guide_001	50
assigned_cells	guide_002	50
assigned_cells	guide_003	50
assigned_cells	guide_004	50
assigned_cells	guide_005	50
assigned_cells	guide_006	50
assigned_cells	guide_007	50
assigned_cells	guide_008	50
assigned_cells	guide_009	50
assigned_cells	guide_010	50
assigned_cells	guide_012	50
assigned_cells	guide_013	50
assigned_cells	guide_014	50
assigned_cells	guide_015	50
assigned_cells	guide_016	50
assigned_cells	guide_017	50
assigned_cells	guide_018	50
assigned_cells	guide_019	50
assigned_cells	guide_020	50
assigned_cells	guide_021	50
assigned_cells	guide_022	50
assigned_cells	guide_023	50
assigned_cells	guide_024	50
assigned_cells	guide_025	50
assigned_cells	guide_026	50
assigned_cells	guide_027	50
assigned_cells	guide_028	50
assigned_cells	guide_029	50
assigned_cells	guide_030	50
assigned_cells	guide_031	50
assigned_cells	guide_032	50
assigned_cells	guide_033	50
assigned_cells	guide_034	50
assigned_cells	guide_035	50
assigned_cells	guide_036	50
assigned_cells	guide_037	50
assigned_cells	guide_038	50
assigned_cells	guide_039	50
assigned_cells	guide_040	50
assigned_cells	guide_041	50
assigned_cells	guide_042	50
assigned_cells	guide_043	50
assigned_cells	guide_044	50
assigned_cells	guide_045	50
assigned_cells	guide_046	50
assigned_cells	guide_047	50
assigned_cells	guide_048	50
assigned_cells	guide_049	50
assigned_cells	guide_050	50
assigned_cells	guide_011	5
