metric	group	value
rows	all	114847
missing_or_invalid_p	all	26
p_count_le	0.5	65807
p_count_le	0.1	20624
p_count_le	0.05	12989
p_count_le	0.01	4834
p_count_le	0.001	1552
p_count_le	0.0001	599
p_count_le	1e-05	266
p_count_le	5e-08	66
chromosome_rows	1	114847
chromosome_span	1	566875-249222450
adjacent_logp_correlation	1-1000	n=55001;r=0.36764312
adjacent_logp_correlation	1001-5000	n=49406;r=0.38080903
adjacent_logp_correlation	5001-20000	n=10313;r=0.30701239
adjacent_logp_correlation	20001-100000	n=95;r=0.19346643
adjacent_logp_correlation	100001-500000	n=28;r=0.172975
