primary_metric	closed_enrichment_cpm_in_all_grch38_peaks_closed_500bp_bins
primary_winner	TF4
winner_votes	TF4:6
primary_ranking	TF4:264063.539171,TF5:111122.757515,TF6:97818.567080,TF1:96568.908577,TF3:92511.662458,TF2:74923.118476
diagnostics_header	type	field1	field2	field3	field4	field5
diagnostic	dnase_set	all_grch38_peaks	8	247923	65374150	ENCFF876DOW,ENCFF764MOY,ENCFF530GZW,ENCFF407NXV,ENCFF812QOW,ENCFF350XAH,ENCFF034CWP,ENCFF461ZMG
diagnostic	dnase_set	narrowpeak_grch38	6	128888	28165387	ENCFF876DOW,ENCFF764MOY,ENCFF530GZW,ENCFF407NXV,ENCFF812QOW,ENCFF350XAH
diagnostic	fragment_set	TF1	200	64475291	82047466	260.0
diagnostic	fragment_set	TF2	200	28141093	53588559	256.0
diagnostic	fragment_set	TF3	200	32487802	36490846	191.0
diagnostic	fragment_set	TF4	200	45707152	52032353	270.0
diagnostic	fragment_set	TF5	200	30890348	16452140	204.0
diagnostic	fragment_set	TF6	200	13458899	16833124	203.0
diagnostic	fragment_set	TF1	500	64475291	82047466	260.0
diagnostic	fragment_set	TF2	500	28141093	53588559	256.0
diagnostic	fragment_set	TF3	500	32487802	36490846	191.0
diagnostic	fragment_set	TF4	500	45707152	52032353	270.0
diagnostic	fragment_set	TF5	500	30890348	16452140	204.0
diagnostic	fragment_set	TF6	500	13458899	16833124	203.0
diagnostic	fragment_set	TF1	1000	64475291	82047466	260.0
diagnostic	fragment_set	TF2	1000	28141093	53588559	256.0
diagnostic	fragment_set	TF3	1000	32487802	36490846	191.0
diagnostic	fragment_set	TF4	1000	45707152	52032353	270.0
diagnostic	fragment_set	TF5	1000	30890348	16452140	204.0
diagnostic	fragment_set	TF6	1000	13458899	16833124	203.0
