cistrome_id	unique_id	sei_track_name	borzoi_identifier	borzoi_description
38635	GSM1208745	LoVo_Colon | FOXD2 | ID:38635	GSM1208745	CHIP:FOXD2:FOXD2 / LoVo / colon adenocarcinoma
38641	GSM1208713	LoVo_Colon | ATF5 | ID:38641	GSM1208713	CHIP:ATF5:ATF5 / LoVo / colon adenocarcinoma
38647	GSM1208739	LoVo_Colon | ETV7 | ID:38647	GSM1208739	CHIP:ETV7:ETV7 / LoVo / colon adenocarcinoma
38650	GSM1208777	LoVo_Colon | NFYA | ID:38650	GSM1208777	CHIP:NFYA:NFYA / LoVo / colon adenocarcinoma
38653	GSM1208646	LoVo_Colon | MED12 | ID:38653	GSM1208646	CHIP:MED12:MED12 / LoVo / colon adenocarcinoma
38657	GSM1208609	LoVo_Colon | EHF | ID:38657	GSM1208609	CHIP:EHF:EHF / LoVo / colon adenocarcinoma
38658	GSM1208794	LoVo_Colon | SOX2 | ID:38658	GSM1208794	CHIP:SOX2:SOX2 / LoVo / colon adenocarcinoma
38661	GSM1208594	LoVo_Colon | CAMTA2 | ID:38661	GSM1208594	CHIP:CAMTA2:CAMTA2 / LoVo / colon adenocarcinoma
38662	GSM1208811	LoVo_Colon | H3K4me3 | ID:38662	GSM1208811	CHIP:H3K4me3:H3K4me3 / LoVo / colon adenocarcinoma
38663	GSM1208654	LoVo_Colon | MYC | ID:38663	GSM1208654	CHIP:MYC:MYC / LoVo / colon adenocarcinoma
38666	GSM1208702	LoVo_Colon | ZBTB7B | ID:38666	GSM1208702	CHIP:ZBTB7B:ZBTB7B / LoVo / colon adenocarcinoma
38673	GSM1208752	LoVo_Colon | GLIS1 | ID:38673	GSM1208752	CHIP:GLIS1:GLIS1 / LoVo / colon adenocarcinoma
38678	GSM1208756	LoVo_Colon | HOXA13 | ID:38678	GSM1208756	CHIP:HOXA13:HOXA13 / LoVo / colon adenocarcinoma
38679	GSM1208644	LoVo_Colon | LHX2 | ID:38679	GSM1208644	CHIP:LHX2:LHX2 / LoVo / colon adenocarcinoma
38684	GSM1208608	LoVo_Colon | EGR1 | ID:38684	GSM1208608	CHIP:EGR1:EGR1 / LoVo / colon adenocarcinoma
38691	GSM1208668	LoVo_Colon | RAD21 | ID:38691	GSM1208668	CHIP:RAD21:RAD21 / LoVo / colon adenocarcinoma
38695	GSM1208789	LoVo_Colon | RBCK1 | ID:38695	GSM1208789	CHIP:RBCK1:RBCK1 / LoVo / colon adenocarcinoma
38697	GSM1208809	LoVo_Colon | H3 | ID:38697	GSM1208809	CHIP:H3:H3 / LoVo / colon adenocarcinoma
38698	GSM1208730	LoVo_Colon | E2F7 | ID:38698	GSM1208730	CHIP:E2F7:E2F7 / LoVo / colon adenocarcinoma
38704	GSM1208631	LoVo_Colon | HINFP | ID:38704	GSM1208631	CHIP:HINFP:HINFP / LoVo / colon adenocarcinoma
38706	GSM1208807	LoVo_Colon | VEZF1 | ID:38706	GSM1208807	CHIP:VEZF1:VEZF1 / LoVo / colon adenocarcinoma
38708	GSM1208757	LoVo_Colon | HOXA2 | ID:38708	GSM1208757	CHIP:HOXA2:HOXA2 / LoVo / colon adenocarcinoma
38712	GSM1208738	LoVo_Colon | ETS2 | ID:38712	GSM1208738	CHIP:ETS2:ETS2 / LoVo / colon adenocarcinoma
38713	GSM1208632	LoVo_Colon | HNF4A | ID:38713	GSM1208632	CHIP:HNF4A:HNF4A / LoVo / colon adenocarcinoma
38716	GSM1208699	LoVo_Colon | YY1 | ID:38716	GSM1208699	CHIP:YY1:YY1 / LoVo / colon adenocarcinoma
38718	GSM1208622	LoVo_Colon | GLI2 | ID:38718	GSM1208622	CHIP:GLI2:GLI2 / LoVo / colon adenocarcinoma
38719	GSM1208723	LoVo_Colon | DLX1 | ID:38719	GSM1208723	CHIP:DLX1:DLX1 / LoVo / colon adenocarcinoma
38721	GSM1208721	LoVo_Colon | CREB3L4 | ID:38721	GSM1208721	CHIP:CREB3L4:CREB3L4 / LoVo / colon adenocarcinoma
38724	GSM1208626	LoVo_Colon | GMEB2 | ID:38724	GSM1208626	CHIP:GMEB2:GMEB2 / LoVo / colon adenocarcinoma
38726	GSM1208627	LoVo_Colon | HBP1 | ID:38726	GSM1208627	CHIP:HBP1:HBP1 / LoVo / colon adenocarcinoma
38731	GSM1208691	LoVo_Colon | TFDP1 | ID:38731	GSM1208691	CHIP:TFDP1:TFDP1 / LoVo / colon adenocarcinoma
38736	GSM1208780	LoVo_Colon | NKX2-2 | ID:38736	GSM1208780	CHIP:NKX2.2:NKX2.2 / LoVo / colon adenocarcinoma
38737	GSM1208647	LoVo_Colon | MED1 | ID:38737	GSM1208647	CHIP:MED1:MED1 / LoVo / colon adenocarcinoma
38741	GSM1208620	LoVo_Colon | GATA4 | ID:38741	GSM1208620	CHIP:GATA4:GATA4 / LoVo / colon adenocarcinoma
38743	GSM1208639	LoVo_Colon | JUN | ID:38743	GSM1208639	CHIP:JUN:JUN / LoVo / colon adenocarcinoma
38746	GSM1208672	LoVo_Colon | RFX5 | ID:38746	GSM1208672	CHIP:RFX5:RFX5 / LoVo / colon adenocarcinoma
38750	GSM1208705	LoVo_Colon | ZNF407 | ID:38750	GSM1208705	CHIP:ZNF407:ZNF407 / LoVo / colon adenocarcinoma
38758	GSM1208763	LoVo_Colon | JUND | ID:38758	GSM1208763	CHIP:JUND:JUND / LoVo / colon adenocarcinoma
38759	GSM1208736	LoVo_Colon | ETV5 | ID:38759	GSM1208736	CHIP:ERM:ERM / LoVo / colon adenocarcinoma
38761	GSM1208671	LoVo_Colon | RFX2 | ID:38761	GSM1208671	CHIP:RFX2:RFX2 / LoVo / colon adenocarcinoma
38763	GSM1208598	LoVo_Colon | CEBPB | ID:38763	GSM1208598	CHIP:CEBPB:CEBPB / LoVo / colon adenocarcinoma
38771	GSM1208683	LoVo_Colon | SP1 | ID:38771	GSM1208683	CHIP:SP1:SP1 / LoVo / colon adenocarcinoma
38772	GSM1208719	LoVo_Colon | CLOCK | ID:38772	GSM1208719	CHIP:CLOCK:CLOCK / LoVo / colon adenocarcinoma
38773	GSM1208657	LoVo_Colon | NFAT5 | ID:38773	GSM1208657	CHIP:NFAT5:NFAT5 / LoVo / colon adenocarcinoma
38774	GSM1208603	LoVo_Colon | CTCF | ID:38774	GSM1208603	CHIP:CTCF:CTCF / LoVo / colon adenocarcinoma
38778	GSM1208678	LoVo_Colon | SMC1A | ID:38778	GSM1208678	CHIP:SMC1A:SMC1A / LoVo / colon adenocarcinoma
38779	GSM1208802	LoVo_Colon | TEAD2 | ID:38779	GSM1208802	CHIP:TEAD2:TEAD2 / LoVo / colon adenocarcinoma
38782	GSM1208709	LoVo_Colon | AEBP2 | ID:38782	GSM1208709	CHIP:AEBP2:AEBP2 / LoVo / colon adenocarcinoma
38784	GSM1208670	LoVo_Colon | RFX1 | ID:38784	GSM1208670	CHIP:RFX1:RFX1 / LoVo / colon adenocarcinoma
38785	GSM1208661	LoVo_Colon | NIPBL | ID:38785	GSM1208661	CHIP:NIPBL:NIPBL / LoVo / colon adenocarcinoma
38790	GSM1208641	LoVo_Colon | KLF3 | ID:38790	GSM1208641	CHIP:KLF3:KLF3 / LoVo / colon adenocarcinoma
38793	GSM1208674	LoVo_Colon | SMAD2 | ID:38793	GSM1208674	CHIP:SMAD2:SMAD2 / LoVo / colon adenocarcinoma
38799	GSM1208625	LoVo_Colon | GMEB1 | ID:38799	GSM1208625	CHIP:GMEB1:GMEB1 / LoVo / colon adenocarcinoma
38804	GSM1208731	LoVo_Colon | E2F8 | ID:38804	GSM1208731	CHIP:E2F8:E2F8 / LoVo / colon adenocarcinoma
38811	GSM1208679	LoVo_Colon | SMC3 | ID:38811	GSM1208679	CHIP:SMC3:SMC3 / LoVo / colon adenocarcinoma
38812	GSM1208591	LoVo_Colon | ASCL2 | ID:38812	GSM1208591	CHIP:ASCL2:ASCL2 / LoVo / colon adenocarcinoma
38814	GSM1208790	LoVo_Colon | REST | ID:38814	GSM1208790	CHIP:REST:REST / LoVo / colon adenocarcinoma
38817	GSM1208634	LoVo_Colon | HOXA1 | ID:38817	GSM1208634	CHIP:HOXA1:HOXA1 / LoVo / colon adenocarcinoma
38818	GSM1208810	LoVo_Colon | H3K4me1 | ID:38818	GSM1208810	CHIP:H3K4me1:H3K4me1 / LoVo / colon adenocarcinoma
38820	GSM1208593	LoVo_Colon | BARX2 | ID:38820	GSM1208593	CHIP:BARX2:BARX2 / LoVo / colon adenocarcinoma
38824	GSM1208771	LoVo_Colon | MNT | ID:38824	GSM1208771	CHIP:MNT:MNT / LoVo / colon adenocarcinoma
38827	GSM1208746	LoVo_Colon | FOXG1 | ID:38827	GSM1208746	CHIP:FOXG1:FOXG1 / LoVo / colon adenocarcinoma
