species	tissue	score	markers_detected	marker_read_weight
human	bone_marrow	45.0245	6	115749.00
human	spleen	8.5051	3	109.00
human	skin	2.6391	2	7.00
human	lung	1.7918	2	3.00
human	heart	1.6094	1	4.00
human	liver	1.0986	1	2.00
human	retina	0.6931	1	1.00
human	cortex	0.0000	0	0.00
human	kidney	0.0000	0	0.00
human	testis	0.0000	0	0.00
mouse	lung	42.4230	9	24300.00
mouse	heart	19.6306	8	117.00
mouse	skin	19.0161	6	365.00
mouse	cortex	13.4139	7	79.00
mouse	liver	9.2686	3	236.00
mouse	retina	8.0552	5	27.00
mouse	spleen	7.2724	5	31.00
mouse	kidney	5.2040	2	25.00
mouse	testis	2.4849	2	5.00
mouse	bone_marrow	0.0000	0	0.00
pig	testis	42.6684	10	1575.00
pig	skin	19.3933	6	473.00
pig	liver	18.2225	6	425.00
pig	spleen	16.5065	6	142.00
pig	heart	11.8284	7	44.00
pig	lung	10.2481	4	79.50
pig	cortex	8.7483	4	54.00
pig	kidney	2.7726	3	5.00
pig	bone_marrow	0.0000	0	0.00
pig	retina	0.0000	0	0.00
