species	gene	read_weight
human	HBB	55719.00
human	HBA2	32033.50
human	HBA1	27721.50
human	HBD	268.00
human	UBB	262.00
human	FTL	198.00
human	IFI27	156.00
human	S100A9	118.00
human	TPT1	103.00
human	B2M	102.00
human	UBA52	100.00
human	AHSP	96.00
human	ACTB	94.00
human	LYZ	94.00
human	SLC25A39	87.00
human	GPX1	82.00
human	ALAS2	76.00
human	RPS12	75.00
human	SERF2	73.00
human	OAZ1	71.00
human	CA1	70.00
human	SLC25A37	69.00
human	ATP5F1E	66.00
human	FKBP8	64.00
human	S100A8	63.00
human	BNIP3L	61.00
human	FTH1	59.00
human	RPL41	55.00
human	TMSB4X	55.00
human	MT-CO3	54.00
human	HBM	53.00
human	SNCA	48.00
human	YBX3	46.00
human	GLRX5	43.00
human	ADIPOR1	43.00
human	MT-CO2	42.00
human	MT-ATP6	41.00
human	MT-CO1	40.00
human	EEF1A1	39.00
human	RPLP1	38.00
human	GMPR	37.00
human	EIF1	37.00
human	BSG	35.00
human	BLVRB	34.00
human	RPL32	31.00
human	GUK1	31.00
human	MT2A	31.00
human	NCOA4	31.00
human	RPL13	30.00
human	BPGM	30.00
human	FAM210B	29.00
human	RPL30	29.00
human	RPL10	29.00
human	BTF3	28.00
human	S100A4	28.00
human	RPL35A	27.00
human	HLA-A	27.00
human	RPS24	26.00
human	JUN	26.00
human	MT-ND3	25.00
human	MT-ND4	25.00
human	H1-2	24.00
human	GYPC	24.00
human	MT-ND1	24.00
human	RNF10	23.00
human	FBXO7	23.00
human	ENSG00000282017.1	23.00
human	MT-ND2	23.00
human	PIP4K2A	22.00
human	ENSG00000225840.2	22.00
human	SH3BGRL3	22.00
human	RPLP2	22.00
human	LGALS3	22.00
human	JUND	22.00
human	ATP6V0C	22.00
human	RPS13	22.00
human	TMSB10	22.00
human	RPL34	22.00
human	RPL21	22.00
human	RPS11	21.00
human	RPS15A	21.00
human	SNX3	21.00
human	RPL39	21.00
human	MT-CYB	21.00
human	DCAF12	20.00
human	TENT5C	20.00
human	S100A6	20.00
human	FCN1	20.00
human	BAG1	19.00
human	MYL6	19.00
human	TALDO1	19.00
human	RPL37	19.00
human	RPL28	19.00
human	GSPT1	19.00
human	RPS18	19.00
human	RPL11	19.00
human	RBM38	18.00
human	RPS14	17.00
human	ENSG00000290318.1	17.00
human	EIF1AY	17.00
mouse	SCGB1A1	22159.00
mouse	MT-ATP6	2400.00
mouse	ATP6-PS	2343.00
mouse	MT-CYTB	2285.00
mouse	MT-CO3	2241.00
mouse	GM28437	2222.00
mouse	ACTG1	1985.00
mouse	MT-CO1	1800.00
mouse	H3F3B	1772.00
mouse	GM28661	1588.00
mouse	MT-CO2	1570.00
mouse	GM29216	1529.00
mouse	CD9	1444.00
mouse	SFTPC	1442.00
mouse	MT-ND4	1429.00
mouse	MT-ND2	1403.00
mouse	KRT18	1259.00
mouse	ACTB	1252.00
mouse	TPT1	1185.00
mouse	FTH1	1129.00
mouse	CALCA	1126.00
mouse	RESP18	984.00
mouse	TMSB4X	930.00
mouse	UBC	914.00
mouse	MT-ND1	873.00
mouse	EEF1A1	867.00
mouse	RPS24	866.00
mouse	KRT8	841.00
mouse	FOS	801.00
mouse	EIF1	762.00
mouse	JUN	754.00
mouse	GM18214	743.00
mouse	2410039M03RIK	725.00
mouse	BTG2	686.00
mouse	RPLP1	661.00
mouse	RPL41	647.00
mouse	MAP3K20	632.00
mouse	NNAT	629.00
mouse	JUND	622.00
mouse	ATF3	607.00
mouse	HSP90AB1	604.00
mouse	UBB	603.00
mouse	MGP	592.00
mouse	PTMA	584.00
mouse	RPS14	571.00
mouse	DDX5	565.00
mouse	FTL1	558.00
mouse	RPS3A1	552.00
mouse	EGR1	548.00
mouse	WFDC2	546.00
mouse	CALM1	504.00
mouse	RPL32	498.00
mouse	RPL23	492.00
mouse	MMACHC	486.00
mouse	RPS21	464.00
mouse	KRT13	453.00
mouse	SAA3	452.00
mouse	FAU	446.00
mouse	RPL26	446.00
mouse	RPL8	437.00
mouse	RPL13A	434.00
mouse	IER2	426.00
mouse	JUNB	419.00
mouse	EPCAM	419.00
mouse	SFTPA1	401.00
mouse	RPS3	401.00
mouse	RPS10	397.00
mouse	GSN	392.00
mouse	RPL35A	390.00
mouse	KLF6	390.00
mouse	RPL27A	390.00
mouse	HSP90AA1	388.00
mouse	CST3	386.00
mouse	KRT4	384.00
mouse	RPL13	379.00
mouse	COLEC12	378.00
mouse	RPS4X	372.00
mouse	GNAS	367.00
mouse	OR5M3B	366.00
mouse	ITM2B	362.00
mouse	RPS27A	360.00
mouse	RPS20	358.00
mouse	H3F3A	355.00
mouse	RPL19	350.00
mouse	RPS5	347.00
mouse	RPL37A	338.00
mouse	RPS16	335.00
mouse	RPS9	333.00
mouse	RPS19	333.00
mouse	DSTN	329.00
mouse	RPS8	328.00
mouse	RPS27	327.00
mouse	ECM2	327.00
mouse	RPL18A	325.00
mouse	RPS18	322.00
mouse	RPS29	321.00
mouse	RPS15	319.00
mouse	RPL10	311.00
mouse	UBA52	309.00
mouse	CHCHD2	309.00
pig	COX3	3709.00
pig	COX2	3096.00
pig	COX1	2943.00
pig	CD80	2817.00
pig	PHKB	2183.00
pig	ENSSSCG00000033452.3	2052.50
pig	CLU	1751.00
pig	ATP6	1740.00
pig	RPLP1	1556.00
pig	LRCH3	1509.00
pig	TMEM186	1453.00
pig	ENSSSCG00000055221.1	1353.00
pig	TMSB10	1340.00
pig	RPS20	1279.50
pig	CYTB	1252.00
pig	CST9L	1164.00
pig	RPL28	1101.00
pig	ND1	1049.00
pig	RPS12	1025.00
pig	ATP9B	995.00
pig	ENSSSCG00000033697.3	922.00
pig	RPS19	903.50
pig	RPS14	899.00
pig	RPS15	886.00
pig	TGIF2	854.00
pig	ND4	846.00
pig	RPS8	833.00
pig	RPS29	799.00
pig	ND2	777.00
pig	RPLP2	746.00
pig	RPLP0	727.00
pig	PTMA	722.00
pig	ENSSSCG00000033310.2	712.00
pig	ENSSSCG00000035904.3	704.00
pig	RPS21	697.00
pig	PRM1	687.00
pig	RPS7	665.00
pig	ENSSSCG00000014540.5	656.00
pig	RPSA	654.00
pig	RPS28	653.00
pig	RPL35	648.00
pig	RPS27	626.00
pig	POLR3D	617.00
pig	RPL37	610.00
pig	RPL27A	600.00
pig	CCNDBP1	582.50
pig	UBB	582.00
pig	ENSSSCG00000031242.3	579.00
pig	ENSSSCG00000035768.3	569.00
pig	RPS27A	568.00
pig	RPS18	564.50
pig	FKBP14	563.00
pig	UBA52	548.00
pig	RPL32	539.00
pig	HSP90AA1	538.00
pig	ENSSSCG00000024974.4	530.00
pig	ENSSSCG00000056610.1	507.00
pig	RPL23	498.00
pig	RPL34	490.00
pig	RPL36	489.00
pig	RPS10	475.00
pig	RPL37A	456.00
pig	RPL6	451.00
pig	ENSSSCG00000036296.3	450.00
pig	ENSSSCG00000029830.5	449.00
pig	UACA	422.00
pig	RPS26	416.00
pig	ENSSSCG00000015565.5	416.00
pig	RPL39	404.00
pig	ENSSSCG00000052671.1	403.00
pig	ENSSSCG00000007123.5	402.00
pig	RPL10	400.00
pig	ENSSSCG00000009327.5	399.00
pig	RPL11	395.00
pig	RPS24	392.00
pig	RPS11	385.00
pig	ENSSSCG00000017509.5	383.00
pig	ENSSSCG00000009303.4	375.00
pig	RPL35A	375.00
pig	RRP8	374.00
pig	ENSSSCG00000027057.4	372.00
pig	CNBP	371.50
pig	RPS17	368.00
pig	RACK1	360.00
pig	APOA1	353.00
pig	RPS23	349.00
pig	NUP43	348.00
pig	RPS5	344.00
pig	RPL7	343.00
pig	ENSSSCG00000028485.4	342.00
pig	CYP27B1	339.00
pig	RPL38	339.00
pig	WDR53	338.00
pig	DDX19B	337.00
pig	RPL22	327.00
pig	PSMC3	326.00
pig	CALM2	322.00
pig	ENSSSCG00000047301.2	321.00
pig	ACTG1	320.00
pig	TNP1	320.00
