pair_id	set	distance_bp	count_rep1	count_rep2	count_rep3	distance_bin
BG001	background	266490	6	8	10	1
BG002	background	278266	13	15	15	1
BG003	background	215708	13	8	11	1
BG004	background	181751	14	12	11	0
BG005	background	333814	9	7	8	1
BG006	background	578225	5	9	6	2
BG007	background	1517344	4	1	1	7
BG008	background	195165	12	17	10	0
BG009	background	288272	13	7	6	1
BG010	background	592958	7	6	5	2
BG011	background	424703	8	5	15	2
BG012	background	370667	7	11	8	1
BG013	background	385881	3	9	7	1
BG014	background	413648	5	9	10	2
BG015	background	287455	7	11	5	1
BG016	background	198500	11	8	6	0
BG017	background	1474443	2	3	2	7
BG018	background	598104	7	9	3	2
BG019	background	454024	7	7	8	2
BG020	background	1055860	1	3	2	5
BG021	background	1438442	1	0	2	7
BG022	background	1403705	3	3	1	7
BG023	background	205420	11	12	8	1
BG024	background	1180565	1	4	0	5
BG025	background	367947	6	5	3	1
BG026	background	567980	5	2	8	2
BG027	background	1146553	5	2	1	5
BG028	background	460190	3	5	1	2
BG029	background	457155	13	6	7	2
BG030	background	243306	4	6	8	1
BG031	background	260289	13	10	11	1
BG032	background	1415395	3	2	1	7
BG033	background	1074025	2	1	0	5
BG034	background	776335	2	2	4	3
BG035	background	770439	1	4	4	3
BG036	background	204180	5	8	7	1
BG037	background	1076758	5	3	4	5
BG038	background	204332	15	17	7	1
BG039	background	384059	9	3	8	1
BG040	background	212369	8	16	8	1
BG041	background	242957	10	5	6	1
BG042	background	618431	6	3	7	3
BG043	background	341755	6	3	4	1
BG044	background	1760949	1	1	0	8
BG045	background	308756	8	7	7	1
BG046	background	1178524	1	2	2	5
BG047	background	494726	5	5	6	2
BG048	background	1732722	2	3	2	8
BG049	background	278752	9	14	7	1
BG050	background	442831	6	10	4	2
BG051	background	723770	1	2	0	3
BG052	background	270590	3	8	6	1
BG053	background	190204	13	14	15	0
BG054	background	1493409	1	1	0	7
BG055	background	407993	3	7	9	2
BG056	background	363724	5	7	8	1
BG057	background	187743	8	9	5	0
BG058	background	501216	4	3	4	2
BG059	background	595896	2	3	3	2
BG060	background	939399	3	7	4	4
BG061	background	231063	16	18	14	1
BG062	background	442819	6	3	4	2
BG063	background	292874	6	7	10	1
BG064	background	836776	1	3	2	4
BG065	background	193892	12	10	17	0
BG066	background	273683	9	9	11	1
BG067	background	927396	6	5	2	4
BG068	background	239718	12	14	9	1
BG069	background	1612818	4	1	2	8
BG070	background	307090	5	6	7	1
BG071	background	427368	4	12	9	2
BG072	background	432833	5	7	8	2
BG073	background	299699	12	9	5	1
BG074	background	443714	5	4	4	2
BG075	background	1639410	2	0	1	8
BG076	background	219896	13	11	4	1
BG077	background	372878	5	8	7	1
BG078	background	351753	7	8	4	1
BG079	background	393744	4	5	8	1
BG080	background	222435	9	8	7	1
BG081	background	945093	0	1	3	4
BG082	background	306858	7	4	11	1
BG083	background	1091041	1	3	2	5
BG084	background	1245441	1	0	1	6
BG085	background	913030	3	6	3	4
BG086	background	337447	6	6	6	1
BG087	background	306155	10	9	8	1
BG088	background	692704	2	7	6	3
BG089	background	609048	3	3	6	3
BG090	background	894427	1	1	5	4
BG091	background	1072906	2	6	2	5
BG092	background	1460630	5	4	1	7
BG093	background	567061	3	7	11	2
BG094	background	435905	6	9	6	2
BG095	background	1446032	2	0	0	7
