GroupBy(set)	GroupBy(distance_bin)	count(pair_id)	mean(count_rep1)	mean(count_rep2)	mean(count_rep3)
background	0	10	12.5	12.5	11.2
background	1	69	8.1449275362319	7.8985507246377	8.0869565217391
background	2	34	4.9411764705882	6	5.7352941176471
background	3	19	3.2631578947368	3.0526315789474	3.8421052631579
background	4	21	2.9047619047619	3.7142857142857	2.5714285714286
background	5	17	2.1176470588235	2.7058823529412	2.0588235294118
background	6	9	1.1111111111111	2.1111111111111	1.4444444444444
background	7	13	2.2307692307692	1.6153846153846	1.6923076923077
background	8	8	1.5	1.375	1.625
candidate	1	2	19	20.5	14.5
candidate	2	2	5	7.5	7.5
candidate	3	2	2.5	0.5	3
candidate	5	1	6	12	2
