GroupBy(set)	GroupBy(count_rep3)	count(pair_id)	mean(count_rep1)	mean(count_rep2)	mean(count_rep3)
background	0	11	2.0909090909091	2	0
background	1	23	2.8695652173913	3	1
background	10	8	6.625	8.875	10
background	11	8	8.875	8	11
background	12	3	12	10.333333333333	12
background	13	3	14	13.666666666667	13
background	14	2	11	12	14
background	15	3	11.333333333333	11.333333333333	15
background	17	2	11.5	8.5	17
background	18	1	10	16	18
background	2	24	2.0833333333333	2.9166666666667	2
background	3	18	2.7777777777778	2.8333333333333	3
background	4	19	5.5263157894737	5.7894736842105	4
background	5	15	6.2666666666667	6	5
background	6	22	5.4545454545455	4.7272727272727	6
background	7	14	7.2857142857143	8.2142857142857	7
background	8	15	7.2	7.5333333333333	8
background	9	9	6.2222222222222	7.2222222222222	9
candidate	11	1	7	9	11
candidate	14	1	17	19	14
candidate	15	1	21	22	15
candidate	2	2	4.5	6	2
candidate	4	2	2.5	3.5	4
