GroupBy(pair_id)	GroupBy(guide_id)	GroupBy(condition)	mean(rna_count)	median(rna_count)
EP1	g1	control	943	931
EP1	g1	perturbed	1208.3333333333	1214
EP1	g2	control	770.66666666667	767
EP1	g2	perturbed	1001.3333333333	983
EP1	g3	control	850	807
EP1	g3	perturbed	1106	1053
EP1	g4	control	949.33333333333	950
EP1	g4	perturbed	1226	1198
EP2	g1	control	1339.3333333333	1255
EP2	g1	perturbed	581.66666666667	584
EP2	g2	control	1408	1425
EP2	g2	perturbed	581.33333333333	595
EP2	g3	control	1313	1280
EP2	g3	perturbed	596	576
EP2	g4	control	1300.3333333333	1272
EP2	g4	perturbed	532.66666666667	544
EP3	g1	control	929.33333333333	948
EP3	g1	perturbed	932.33333333333	917
EP3	g2	control	1012	1007
EP3	g2	perturbed	1005	1014
EP3	g3	control	969.66666666667	961
EP3	g3	perturbed	459.66666666667	457
EP3	g4	control	1003.3333333333	1013
EP3	g4	perturbed	995.33333333333	987
EP4	g1	control	688	722
EP4	g1	perturbed	402	402
EP4	g2	control	701.33333333333	677
EP4	g2	perturbed	427.33333333333	441
EP4	g3	control	732.66666666667	732
EP4	g3	perturbed	416	419
EP4	g4	control	716	729
EP4	g4	perturbed	374.66666666667	384
EP5	g1	control	979	1018
EP5	g1	perturbed	715	723
EP5	g2	control	1089.3333333333	1096
EP5	g2	perturbed	780.66666666667	782
EP5	g3	control	1057	996
EP5	g3	perturbed	761.33333333333	734
EP5	g4	control	988.66666666667	985
EP5	g4	perturbed	714.33333333333	712
EP6	g1	control	610	623
EP6	g1	perturbed	506	508
EP6	g2	control	658.33333333333	654
EP6	g2	perturbed	550.33333333333	562
EP6	g3	control	677.66666666667	645
EP6	g3	perturbed	580.66666666667	593
EP6	g4	control	673.33333333333	640
EP6	g4	perturbed	566.33333333333	548
EP7	g1	control	1234.3333333333	1198
EP7	g1	perturbed	681	678
EP7	g2	control	1155.6666666667	1164
EP7	g2	perturbed	948.66666666667	943
EP7	g3	control	1192.3333333333	1199
EP7	g3	perturbed	776.33333333333	762
EP7	g4	control	1137.3333333333	1178
EP7	g4	perturbed	853	847
