GroupBy(pair_id)	mean(count_rep1)
BG001	6
BG002	13
BG003	13
BG004	14
BG005	9
BG006	5
BG007	4
BG008	12
BG009	13
BG010	7
BG011	8
BG012	7
BG013	3
BG014	5
BG015	7
BG016	11
BG017	2
BG018	7
BG019	7
BG020	1
BG021	1
BG022	3
BG023	11
BG024	1
BG025	6
BG026	5
BG027	5
BG028	3
BG029	13
BG030	4
BG031	13
BG032	3
BG033	2
BG034	2
BG035	1
BG036	5
BG037	5
BG038	15
BG039	9
BG040	8
BG041	10
BG042	6
BG043	6
BG044	1
BG045	8
BG046	1
BG047	5
BG048	2
BG049	9
BG050	6
BG051	1
BG052	3
BG053	13
BG054	1
BG055	3
BG056	5
BG057	8
BG058	4
BG059	2
BG060	3
BG061	16
BG062	6
BG063	6
BG064	1
BG065	12
BG066	9
BG067	6
BG068	12
BG069	4
BG070	5
BG071	4
BG072	5
BG073	12
BG074	5
BG075	2
BG076	13
BG077	5
BG078	7
BG079	4
BG080	9
BG081	0
BG082	7
BG083	1
BG084	1
BG085	3
BG086	6
BG087	10
BG088	2
BG089	3
BG090	1
BG091	2
BG092	5
BG093	3
BG094	6
BG095	2
BG096	7
BG097	7
BG098	4
BG099	9
BG100	2
BG101	2
BG102	6
BG103	4
BG104	0
BG105	1
BG106	1
BG107	0
BG108	3
BG109	9
BG110	0
BG111	9
BG112	4
BG113	4
BG114	6
BG115	17
BG116	2
BG117	0
BG118	3
BG119	10
BG120	9
BG121	7
BG122	2
BG123	4
BG124	9
BG125	5
BG126	1
BG127	5
BG128	3
BG129	3
BG130	7
BG131	2
BG132	5
BG133	3
BG134	0
BG135	3
BG136	2
BG137	1
BG138	1
BG139	2
BG140	4
BG141	10
BG142	11
BG143	6
BG144	4
BG145	0
BG146	3
BG147	1
BG148	7
BG149	3
BG150	5
BG151	9
BG152	4
BG153	4
BG154	5
BG155	16
BG156	9
BG157	3
BG158	2
BG159	4
BG160	4
BG161	1
BG162	1
BG163	0
BG164	10
BG165	12
BG166	2
BG167	2
BG168	8
BG169	8
BG170	5
BG171	3
BG172	3
BG173	16
BG174	9
BG175	2
BG176	7
BG177	1
BG178	9
BG179	0
BG180	3
BG181	9
BG182	4
BG183	11
BG184	4
BG185	1
BG186	4
BG187	4
BG188	7
BG189	0
BG190	1
BG191	7
BG192	4
BG193	0
BG194	2
BG195	3
BG196	11
BG197	12
BG198	15
BG199	4
BG200	1
EP1	17
EP2	7
EP3	21
EP4	6
EP5	3
EP6	3
EP7	2
