metric	reference	query
shape	4183x11889	3516x11889
X_encoding	csc_matrix	csc_matrix
feature_count	11889	11889
shared_feature_count	11858	11858
perturbation_group_count	33	32
non_targeting_cell_count	922	1424
min_perturbation_cells	5	3
median_perturbation_cells	89	41.5
max_perturbation_cells	306	208
nnz	20078121	8830866
nonzero_min	1	1
nonzero_median	2	1
nonzero_max	2824	1344
integer_fraction_sample	1	1
cell_sum_median	23577	8973.5
cell_sum_q10	10683.4	4414.5
cell_sum_q90	38056.6	14273.5

target_gene	reference_guide	consensus_query	votes_for_consensus	method_count	all_votes
PABPC1	PABPC1-I1	guide18	34	36	guide18:34;guide16:2
NUDT21	NUDT21-I3	guide13	36	36	guide13:36
LEO1	LEO1-I2	guide14	10	36	guide14:10;guide10:6;guide1:3;guide15:3;guide31:3;guide32:3;UNASSIGNED:2;guide11:2;guide23:2;guide5:1;guide8:1
