target_gene	reference_guide	effect	n_features	assigned_query	assigned_correlation	row_best_query	row_best_correlation	row_second_query	row_second_correlation	row_margin	reciprocal_row_best
PABPC1	PABPC1-I1	delta	250	guide18	0.61675518	guide18	0.61675518	guide16	0.29894814	0.31780705	true
PABPC1	PABPC1-I1	delta	500	guide18	0.64643264	guide18	0.64643264	guide15	0.34582218	0.30061045	true
PABPC1	PABPC1-I1	delta	1000	guide18	0.58307777	guide18	0.58307777	guide15	0.30798629	0.27509148	true
PABPC1	PABPC1-I1	delta	2000	guide18	0.5149192	guide18	0.5149192	guide15	0.253948	0.2609712	true
PABPC1	PABPC1-I1	delta	4000	guide18	0.38980988	guide18	0.38980988	guide15	0.17612045	0.21368943	true
PABPC1	PABPC1-I1	delta	11858	guide18	0.16681302	guide18	0.16681302	guide15	0.087628998	0.079184024	true
PABPC1	PABPC1-I1	logratio	250	guide18	0.41855643	guide18	0.41855643	guide2	0.20293388	0.21562255	true
PABPC1	PABPC1-I1	logratio	500	guide18	0.40956601	guide18	0.40956601	guide2	0.19280463	0.21676138	true
PABPC1	PABPC1-I1	logratio	1000	guide18	0.30671325	guide18	0.30671325	guide15	0.16950616	0.13720709	true
PABPC1	PABPC1-I1	logratio	2000	guide18	0.28075312	guide18	0.28075312	guide15	0.1279487	0.15280442	true
PABPC1	PABPC1-I1	logratio	4000	guide18	0.23461878	guide18	0.23461878	guide15	0.10262853	0.13199025	true
PABPC1	PABPC1-I1	logratio	11858	guide18	0.17445839	guide18	0.17445839	guide15	0.097367495	0.077090892	true
NUDT21	NUDT21-I3	delta	250	guide13	0.52303346	guide13	0.52303346	guide19	0.36577677	0.15725669	true
NUDT21	NUDT21-I3	delta	500	guide13	0.57564475	guide13	0.57564475	guide19	0.4962446	0.079400142	true
NUDT21	NUDT21-I3	delta	1000	guide13	0.63462871	guide13	0.63462871	guide19	0.5222549	0.11237381	true
NUDT21	NUDT21-I3	delta	2000	guide13	0.63661494	guide13	0.63661494	guide19	0.53403021	0.10258473	true
NUDT21	NUDT21-I3	delta	4000	guide13	0.5711673	guide13	0.5711673	guide19	0.4391148	0.13205251	true
NUDT21	NUDT21-I3	delta	11858	guide13	0.40314458	guide13	0.40314458	guide19	0.23733566	0.16580893	true
NUDT21	NUDT21-I3	logratio	250	guide13	0.55611086	guide13	0.55611086	guide19	0.27985847	0.27625238	true
NUDT21	NUDT21-I3	logratio	500	guide13	0.57854645	guide13	0.57854645	guide19	0.32152659	0.25701986	true
NUDT21	NUDT21-I3	logratio	1000	guide13	0.53596056	guide13	0.53596056	guide19	0.34368803	0.19227253	true
NUDT21	NUDT21-I3	logratio	2000	guide13	0.50681452	guide13	0.50681452	guide19	0.30408153	0.20273299	true
NUDT21	NUDT21-I3	logratio	4000	guide13	0.45823829	guide13	0.45823829	guide19	0.2721802	0.18605808	true
NUDT21	NUDT21-I3	logratio	11858	guide13	0.36001887	guide13	0.36001887	guide19	0.22147846	0.13854041	true
LEO1	LEO1-I2	delta	250	guide8	0.34707117	guide1	0.4133756	guide8	0.34707117	0.066304425	false
LEO1	LEO1-I2	delta	500	guide23	0.22017743	guide1	0.3896861	guide14	0.35684712	0.032838981	false
LEO1	LEO1-I2	delta	1000	guide23	0.22949548	guide8	0.33404376	guide1	0.31753883	0.016504937	false
LEO1	LEO1-I2	delta	2000	guide23	0.19672675	guide11	0.29129576	guide1	0.28879364	0.0025021162	false
LEO1	LEO1-I2	delta	4000	guide23	0.15420888	guide2	0.28715605	guide11	0.28700941	0.00014664229	false
LEO1	LEO1-I2	delta	11858	guide23	0.08528996	guide2	0.23100405	guide1	0.22130262	0.0097014297	false
LEO1	LEO1-I2	logratio	250	guide10	0.093927442	guide11	0.23891893	guide14	0.19432237	0.044596557	false
LEO1	LEO1-I2	logratio	500	guide32	0.096053901	guide11	0.25212219	guide15	0.22239609	0.029726098	false
LEO1	LEO1-I2	logratio	1000	guide15	0.21055421	guide11	0.2598077	guide2	0.24159337	0.018214322	false
LEO1	LEO1-I2	logratio	2000	guide15	0.17748522	guide11	0.26241754	guide1	0.22715714	0.035260402	false
LEO1	LEO1-I2	logratio	4000	guide15	0.1117496	guide11	0.25015326	guide1	0.24336515	0.006788109	false
LEO1	LEO1-I2	logratio	11858	guide32	0.075085002	guide2	0.21637226	guide1	0.20842499	0.0079472751	false
