target_gene	reference_guide	effect	n_features	assigned_query	assigned_correlation	row_best_query	row_best_correlation	row_second_query	row_second_correlation	row_margin	reciprocal_row_best
PABPC1	PABPC1-I1	lognorm_mean_delta:plain	250	guide18	0.64329159	guide18	0.64329159	guide16	0.29588316	0.34740842	true
PABPC1	PABPC1-I1	lognorm_mean_delta:plain	500	guide18	0.62824956	guide18	0.62824956	guide16	0.22645045	0.40179911	true
PABPC1	PABPC1-I1	lognorm_mean_delta:plain	1000	guide18	0.60782502	guide18	0.60782502	guide16	0.22542232	0.3824027	true
PABPC1	PABPC1-I1	lognorm_mean_delta:plain	2000	guide18	0.60396122	guide18	0.60396122	guide16	0.29469951	0.30926172	true
PABPC1	PABPC1-I1	lognorm_mean_delta:plain	4000	guide18	0.58313206	guide18	0.58313206	guide16	0.3583592	0.22477286	true
PABPC1	PABPC1-I1	lognorm_mean_delta:plain	11858	guide18	0.5319004	guide18	0.5319004	guide16	0.33822252	0.19367788	true
PABPC1	PABPC1-I1	lognorm_mean_delta:gene_z	250	guide18	0.63869761	guide18	0.63869761	guide15	0.22662982	0.41206779	true
PABPC1	PABPC1-I1	lognorm_mean_delta:gene_z	500	guide18	0.6586687	guide18	0.6586687	guide15	0.23904116	0.41962754	true
PABPC1	PABPC1-I1	lognorm_mean_delta:gene_z	1000	guide18	0.62444441	guide18	0.62444441	guide15	0.26027026	0.36417415	true
PABPC1	PABPC1-I1	lognorm_mean_delta:gene_z	2000	guide18	0.56682364	guide18	0.56682364	guide15	0.20499324	0.3618304	true
PABPC1	PABPC1-I1	lognorm_mean_delta:gene_z	4000	guide18	0.44149891	guide18	0.44149891	guide15	0.13810037	0.30339855	true
PABPC1	PABPC1-I1	lognorm_mean_delta:gene_z	11858	guide18	0.23173162	guide18	0.23173162	guide15	0.088622959	0.14310867	true
PABPC1	PABPC1-I1	pseudobulk_logcpm_delta:plain	250	guide18	0.1474966	guide16	0.16192259	guide18	0.1474966	0.014425983	false
PABPC1	PABPC1-I1	pseudobulk_logcpm_delta:plain	500	guide16	0.20816716	guide16	0.20816716	guide9	0.10563735	0.10252982	true
PABPC1	PABPC1-I1	pseudobulk_logcpm_delta:plain	1000	guide18	0.12397907	guide16	0.1354014	guide18	0.12397907	0.011422323	false
PABPC1	PABPC1-I1	pseudobulk_logcpm_delta:plain	2000	guide18	0.093719209	guide16	0.097832471	guide18	0.093719209	0.0041132622	false
PABPC1	PABPC1-I1	pseudobulk_logcpm_delta:plain	4000	guide18	0.091024098	guide18	0.091024098	guide16	0.070823961	0.020200138	true
PABPC1	PABPC1-I1	pseudobulk_logcpm_delta:plain	11858	guide18	0.14350826	guide18	0.14350826	guide16	0.079373789	0.064134476	true
PABPC1	PABPC1-I1	pseudobulk_logcpm_delta:gene_z	250	guide18	0.33846967	guide18	0.33846967	guide2	0.29776701	0.040702665	true
PABPC1	PABPC1-I1	pseudobulk_logcpm_delta:gene_z	500	guide16	0.1798084	guide2	0.23590844	guide18	0.22469455	0.01121389	false
PABPC1	PABPC1-I1	pseudobulk_logcpm_delta:gene_z	1000	guide18	0.22713707	guide18	0.22713707	guide11	0.21497308	0.012163994	true
PABPC1	PABPC1-I1	pseudobulk_logcpm_delta:gene_z	2000	guide18	0.16530228	guide18	0.16530228	guide11	0.15485347	0.010448814	false
PABPC1	PABPC1-I1	pseudobulk_logcpm_delta:gene_z	4000	guide18	0.1433172	guide18	0.1433172	guide2	0.12448767	0.018829525	true
PABPC1	PABPC1-I1	pseudobulk_logcpm_delta:gene_z	11858	guide18	0.25375827	guide18	0.25375827	guide15	0.11500364	0.13875463	true
PABPC1	PABPC1-I1	detection_delta:plain	250	guide18	0.41527742	guide18	0.41527742	guide5	0.20598379	0.20929362	true
PABPC1	PABPC1-I1	detection_delta:plain	500	guide18	0.37374999	guide18	0.37374999	guide5	0.11293142	0.26081857	true
PABPC1	PABPC1-I1	detection_delta:plain	1000	guide18	0.28237446	guide18	0.28237446	guide5	0.11154729	0.17082717	true
PABPC1	PABPC1-I1	detection_delta:plain	2000	guide18	0.26103023	guide18	0.26103023	guide5	0.12010579	0.14092444	true
PABPC1	PABPC1-I1	detection_delta:plain	4000	guide18	0.27596648	guide18	0.27596648	guide17	0.13164391	0.14432257	true
PABPC1	PABPC1-I1	detection_delta:plain	11828	guide18	0.28235525	guide18	0.28235525	guide17	0.25920186	0.023153385	true
PABPC1	PABPC1-I1	detection_delta:gene_z	250	guide18	0.50093655	guide18	0.50093655	guide1	0.14201477	0.35892178	true
PABPC1	PABPC1-I1	detection_delta:gene_z	500	guide18	0.4580476	guide18	0.4580476	guide31	0.14930902	0.30873858	true
PABPC1	PABPC1-I1	detection_delta:gene_z	1000	guide18	0.35831968	guide18	0.35831968	guide1	0.14206927	0.21625041	true
PABPC1	PABPC1-I1	detection_delta:gene_z	2000	guide18	0.29769589	guide18	0.29769589	guide1	0.10530402	0.19239186	true
PABPC1	PABPC1-I1	detection_delta:gene_z	4000	guide18	0.27880157	guide18	0.27880157	guide1	0.083369692	0.19543188	true
PABPC1	PABPC1-I1	detection_delta:gene_z	11828	guide18	0.17553998	guide18	0.17553998	guide1	0.098008334	0.077531651	true
NUDT21	NUDT21-I3	lognorm_mean_delta:plain	250	guide13	0.76061592	guide13	0.76061592	guide19	0.67312757	0.087488352	true
NUDT21	NUDT21-I3	lognorm_mean_delta:plain	500	guide13	0.73067385	guide13	0.73067385	guide19	0.62569123	0.10498262	true
NUDT21	NUDT21-I3	lognorm_mean_delta:plain	1000	guide13	0.72181764	guide13	0.72181764	guide19	0.60740099	0.11441665	true
NUDT21	NUDT21-I3	lognorm_mean_delta:plain	2000	guide13	0.70141801	guide13	0.70141801	guide19	0.58465401	0.116764	true
NUDT21	NUDT21-I3	lognorm_mean_delta:plain	4000	guide13	0.67564128	guide13	0.67564128	guide19	0.55989752	0.11574377	true
NUDT21	NUDT21-I3	lognorm_mean_delta:plain	11858	guide13	0.63561352	guide13	0.63561352	guide19	0.5126896	0.12292392	true
NUDT21	NUDT21-I3	lognorm_mean_delta:gene_z	250	guide13	0.71781921	guide13	0.71781921	guide19	0.63755312	0.080266094	true
NUDT21	NUDT21-I3	lognorm_mean_delta:gene_z	500	guide13	0.68467984	guide13	0.68467984	guide19	0.56233559	0.12234425	true
NUDT21	NUDT21-I3	lognorm_mean_delta:gene_z	1000	guide13	0.67362206	guide13	0.67362206	guide19	0.55297895	0.12064312	true
NUDT21	NUDT21-I3	lognorm_mean_delta:gene_z	2000	guide13	0.6555146	guide13	0.6555146	guide19	0.51256848	0.14294611	true
NUDT21	NUDT21-I3	lognorm_mean_delta:gene_z	4000	guide13	0.58759261	guide13	0.58759261	guide19	0.44186898	0.14572363	true
NUDT21	NUDT21-I3	lognorm_mean_delta:gene_z	11858	guide13	0.42550697	guide13	0.42550697	guide19	0.25225987	0.1732471	true
NUDT21	NUDT21-I3	pseudobulk_logcpm_delta:plain	250	guide13	0.44980298	guide13	0.44980298	guide19	0.25222239	0.19758059	true
NUDT21	NUDT21-I3	pseudobulk_logcpm_delta:plain	500	guide13	0.44919695	guide13	0.44919695	guide19	0.23670497	0.21249199	true
NUDT21	NUDT21-I3	pseudobulk_logcpm_delta:plain	1000	guide13	0.39875851	guide13	0.39875851	guide19	0.22833407	0.17042444	true
NUDT21	NUDT21-I3	pseudobulk_logcpm_delta:plain	2000	guide13	0.38843164	guide13	0.38843164	guide19	0.21167211	0.17675953	true
NUDT21	NUDT21-I3	pseudobulk_logcpm_delta:plain	4000	guide13	0.35729537	guide13	0.35729537	guide19	0.18186201	0.17543336	true
NUDT21	NUDT21-I3	pseudobulk_logcpm_delta:plain	11858	guide13	0.38685561	guide13	0.38685561	guide19	0.19841916	0.18843645	true
NUDT21	NUDT21-I3	pseudobulk_logcpm_delta:gene_z	250	guide13	0.51295692	guide13	0.51295692	guide19	0.3046624	0.20829452	true
NUDT21	NUDT21-I3	pseudobulk_logcpm_delta:gene_z	500	guide13	0.49764307	guide13	0.49764307	guide19	0.28377735	0.21386571	true
NUDT21	NUDT21-I3	pseudobulk_logcpm_delta:gene_z	1000	guide13	0.42982884	guide13	0.42982884	guide19	0.25936331	0.17046553	true
