metric	reference	query
shape	4183x11889	3516x11889
X_encoding	csc_matrix	csc_matrix
feature_count	11889	11889
shared_feature_count	11858	11858
perturbation_group_count	33	32
non_targeting_cell_count	922	1424
min_perturbation_cells	5	3
median_perturbation_cells	89	41.5
max_perturbation_cells	306	208
nnz	20078121	8830866
nonzero_min	1	1
nonzero_median	2	1
nonzero_max	2824	1344
integer_fraction_sample	1	1
cell_sum_median	23577	8973.5
cell_sum_q10	10683.4	4414.5
cell_sum_q90	38056.6	14273.5
logratio_pseudocount	0.0529801325	0.0253164557

target_gene	reference_guide	consensus_query	votes_for_consensus	method_count	all_votes
PABPC1	PABPC1-I1	guide18	12	12	guide18:12
NUDT21	NUDT21-I3	guide13	12	12	guide13:12
LEO1	LEO1-I2	guide23	5	12	guide23:5;guide15:3;guide32:2;guide8:1;guide10:1
