GroupBy(guide)	GroupBy(target_gene)	count()
CDC73-I2	CDC73	77
CPSF1-I3	CPSF1	306
CPSF2-I1	CPSF2	151
CPSF3-I3	CPSF3	125
CPSF3L-I8	CPSF3L	33
CPSF4-I8	CPSF4	63
CPSF6-I5	CPSF6	107
CPSF7-I1	CPSF7	156
CSTF1-I5	CSTF1	31
CSTF2-I4	CSTF2	93
CSTF3-I5	CSTF3	116
CTR9-I7	CTR9	108
FIP1L1-I1	FIP1L1	74
LEO1-I2	LEO1	246
NT-I1	NT	69
NT-I10	NT	180
NT-I2	NT	90
NT-I3	NT	87
NT-I4	NT	57
NT-I5	NT	63
NT-I6	NT	128
NT-I7	NT	88
NT-I8	NT	74
NT-I9	NT	86
NUDT21-I3	NUDT21	178
PABPC1-I1	PABPC1	67
PABPN1-I2	PABPN1	29
PAF1-I6	PAF1	28
PAPOLA-I3	PAPOLA	164
PCF11-I5	PCF11	43
PHF3-I5	PHF3	158
RBBP6-I4	RBBP6	83
RPAP2-I2	RPAP2	5
RPRD1A-I5	RPRD1A	89
RPRD1B-I1	RPRD1B	120
SCAF1-I2	SCAF1	61
SCAF11-I3	SCAF11	144
SCAF4-I4	SCAF4	139
SCAF8-I3	SCAF8	199
SF3A1-I5	SF3A1	12
SRSF3-I1	SRSF3	27
SYMPK-I3	SYMPK	8
THOC5-I1	THOC5	21
