section	group	metric	value
basic	mix	read_count	1965
basic	mix	length_min	50
basic	mix	length_max	50
basic	mix	unique_sequences	1684
basic	endo	read_count	395
basic	endo	length_min	50
basic	endo	length_max	50
basic	endo	unique_sequences	385
basic	exo	read_count	777
basic	exo	length_min	50
basic	exo	length_max	50
basic	exo	unique_sequences	685
exact	mix	exo_only_count	616
exact	mix	exo_only_fraction	0.313486
exact	mix	endo_only_count	399
exact	mix	endo_only_fraction	0.203053
exact	mix	both_count	94
exact	mix	both_fraction	0.047837
exact	mix	neither_count	856
exact	mix	neither_fraction	0.435623
exact	endo	exo_only_count	0
exact	endo	exo_only_fraction	0.000000
exact	endo	endo_only_count	345
exact	endo	endo_only_fraction	0.873418
exact	endo	both_count	50
exact	endo	both_fraction	0.126582
exact	endo	neither_count	0
exact	endo	neither_fraction	0.000000
exact	exo	exo_only_count	721
exact	exo	exo_only_fraction	0.927928
exact	exo	endo_only_count	0
exact	exo	endo_only_fraction	0.000000
exact	exo	both_count	56
exact	exo	both_fraction	0.072072
exact	exo	neither_count	0
exact	exo	neither_fraction	0.000000
kmer11	all	auc	0.749815
kmer11	all	youden	0.493629
kmer11	all	threshold_sensitivity	0.997426
kmer11	all	threshold_false_positive	0.503797
kmer11	all	mix_positive_fraction	0.642239
kmer11	all	alpha_threshold	0.280457
kmer11	all	alpha_hist_mle	0.280000
kmer11	all	exo_score_median	0.688904
kmer11	all	endo_score_median	-0.389435
kmer11	all	mix_score_median	0.276743
kmer11	all	bin_counts_exo	0,0,1,32,46,42,44,49,49,45,48,51,44,45,44,49,52,49,48,39
kmer11	all	bin_counts_endo	60,58,58,26,14,16,14,10,9,14,11,7,15,13,15,10,6,10,10,19
kmer11	all	bin_counts_mix	242,170,235,105,89,92,79,72,76,78,72,60,87,73,73,68,81,72,71,70
kmer15	all	auc	0.749279
kmer15	all	youden	0.491012
kmer15	all	threshold_sensitivity	0.992278
kmer15	all	threshold_false_positive	0.501266
kmer15	all	mix_positive_fraction	0.638677
kmer15	all	alpha_threshold	0.279853
kmer15	all	alpha_hist_mle	0.276000
kmer15	all	exo_score_median	0.685987
kmer15	all	endo_score_median	-0.403960
kmer15	all	mix_score_median	0.242028
kmer15	all	bin_counts_exo	0,0,1,31,43,47,46,46,48,47,47,46,48,46,47,49,48,50,48,39
kmer15	all	bin_counts_endo	60,58,58,27,16,12,12,13,10,12,12,12,11,12,12,11,10,8,10,19
kmer15	all	bin_counts_mix	229,183,232,109,91,89,75,78,75,73,76,69,75,70,78,74,76,75,72,66
kmer21	all	auc	0.748896
kmer21	all	youden	0.486939
kmer21	all	threshold_sensitivity	0.975547
kmer21	all	threshold_false_positive	0.488608
kmer21	all	mix_positive_fraction	0.629517
kmer21	all	alpha_threshold	0.289377
kmer21	all	alpha_hist_mle	0.292000
kmer21	all	exo_score_median	0.708403
kmer21	all	endo_score_median	-0.476517
kmer21	all	mix_score_median	0.204896
kmer21	all	bin_counts_exo	0,0,2,29,45,45,46,49,47,43,48,46,46,51,49,48,48,51,44,40
kmer21	all	bin_counts_endo	60,58,57,29,14,14,12,10,11,16,11,12,13,7,10,11,10,8,14,18
kmer21	all	bin_counts_mix	230,171,238,111,92,84,87,75,75,77,69,70,70,82,71,72,67,88,72,64
kmer31	all	auc	0.744685
kmer31	all	youden	0.468752
kmer31	all	threshold_sensitivity	0.947233
kmer31	all	threshold_false_positive	0.478481
kmer31	all	mix_positive_fraction	0.607125
kmer31	all	alpha_threshold	0.274439
kmer31	all	alpha_hist_mle	0.296000
kmer31	all	exo_score_median	0.686922
kmer31	all	endo_score_median	-0.488826
kmer31	all	mix_score_median	0.121071
kmer31	all	bin_counts_exo	0,3,14,22,38,44,47,50,43,43,52,44,50,46,47,50,51,49,45,39
kmer31	all	bin_counts_endo	60,55,45,38,19,15,11,9,15,16,7,14,9,12,12,9,7,10,13,19
kmer31	all	bin_counts_mix	243,165,174,167,84,83,69,97,74,85,69,68,79,58,81,73,75,77,76,68
