section	group	metric	value
basic	mix	read_count	1965
basic	mix	length_min	50
basic	mix	length_max	50
basic	mix	unique_sequences	1684
basic	endo	read_count	395
basic	endo	length_min	50
basic	endo	length_max	50
basic	endo	unique_sequences	385
basic	exo	read_count	777
basic	exo	length_min	50
basic	exo	length_max	50
basic	exo	unique_sequences	685
exact	mix	exo_only_count	616
exact	mix	exo_only_fraction	0.313486
exact	mix	endo_only_count	399
exact	mix	endo_only_fraction	0.203053
exact	mix	both_count	94
exact	mix	both_fraction	0.047837
exact	mix	neither_count	856
exact	mix	neither_fraction	0.435623
exact	endo	exo_only_count	0
exact	endo	exo_only_fraction	0.000000
exact	endo	endo_only_count	345
exact	endo	endo_only_fraction	0.873418
exact	endo	both_count	50
exact	endo	both_fraction	0.126582
exact	endo	neither_count	0
exact	endo	neither_fraction	0.000000
exact	exo	exo_only_count	721
exact	exo	exo_only_fraction	0.927928
exact	exo	endo_only_count	0
exact	exo	endo_only_fraction	0.000000
exact	exo	both_count	56
exact	exo	both_fraction	0.072072
exact	exo	neither_count	0
exact	exo	neither_fraction	0.000000
kmer11	salt0	auc	0.748264
kmer11	salt0	youden	0.489810
kmer11	salt0	threshold_sensitivity	0.996139
kmer11	salt0	threshold_false_positive	0.506329
kmer11	salt0	mix_positive_fraction	0.641730
kmer11	salt0	alpha_threshold	0.276436
kmer11	salt0	alpha_hist_mle	0.283000
kmer11	salt0	bootstrap_low	0.233000
kmer11	salt0	bootstrap_high	0.368000
kmer11	salt0	exo_score_median	0.670482
kmer11	salt0	endo_score_median	-0.403052
kmer11	salt0	mix_score_median	0.228077
kmer15	salt0	auc	0.747078
kmer15	salt0	youden	0.490970
kmer15	salt0	threshold_sensitivity	0.989704
kmer15	salt0	threshold_false_positive	0.498734
kmer15	salt0	mix_positive_fraction	0.637150
kmer15	salt0	alpha_threshold	0.281924
kmer15	salt0	alpha_hist_mle	0.290000
kmer15	salt0	bootstrap_low	0.255000
kmer15	salt0	bootstrap_high	0.380000
kmer15	salt0	exo_score_median	0.681304
