group	gene	percentage
animals	1001705at2759	0.0
animals	1003258at2759	0.0
animals	100698at2759	0.0
animals	1010730at2759	0.0
animals	1014314at2759	2.521
animals	1018517at2759	2.7304
animals	1019762at2759	0.0
animals	1025450at2759	0.0
animals	1030907at2759	0.0
animals	1032689at2759	0.0
animals	1038775at2759	0.0
animals	1041560at2759	0.0
animals	1049599at2759	0.0
animals	1051021at2759	0.0
animals	1053181at2759	0.0
animals	1065019at2759	0.0
animals	1076134at2759	0.0
animals	1079130at2759	0.0
animals	1079827at2759	0.0
animals	1085752at2759	0.0
animals	1087488at2759	0.0
animals	1090038at2759	0.0
animals	1094121at2759	0.0
animals	1096688at2759	0.0
animals	1106766at2759	0.0
animals	1107630at2759	0.0
animals	1108845at2759	0.0
animals	1111142at2759	0.0
animals	1112002at2759	0.0
animals	1128607at2759	0.0
animals	1129824at2759	0.0
animals	1138059at2759	0.0
animals	1157302at2759	0.0
animals	1161199at2759	0.0
animals	1173229at2759	2.6906
animals	1178688at2759	0.0
animals	1182451at2759	0.0
animals	1193442at2759	2.6087
animals	1194691at2759	0.0
animals	1194797at2759	0.0
animals	1197019at2759	0.0
animals	1200489at2759	0.0
animals	1217666at2759	0.0
animals	1220881at2759	0.0
animals	1222562at2759	0.0
animals	1223488at2759	0.0
animals	1228942at2759	0.0
animals	1236198at2759	0.0
animals	1247641at2759	0.0
animals	1248958at2759	0.0
animals	1249159at2759	2.439
animals	1251252at2759	0.0
animals	1257440at2759	0.0
animals	1258856at2759	0.0
animals	1259741at2759	0.0
animals	1260807at2759	0.0
animals	1264469at2759	0.0
animals	1266231at2759	0.0
animals	1269244at2759	0.0
animals	1269649at2759	4.1237
animals	1275837at2759	0.0
animals	1284731at2759	0.0
animals	1287094at2759	0.0
animals	1287401at2759	0.0
animals	1291729at2759	0.0
animals	1304061at2759	0.0
animals	1309031at2759	0.0
animals	1312453at2759	0.0
animals	1314980at2759	0.0
animals	1322299at2759	0.0
animals	1322642at2759	0.0
animals	1323575at2759	0.0
animals	1324510at2759	0.0
animals	1338131at2759	0.0
animals	1339553at2759	0.0
animals	1342242at2759	2.6455
animals	1346165at2759	0.0
animals	1346432at2759	3.0534
animals	1348942at2759	0.0
animals	1355894at2759	0.0
animals	1358374at2759	0.0
animals	1364586at2759	0.0
animals	1370285at2759	0.0
animals	1370304at2759	0.0
animals	1377237at2759	0.0
animals	1379600at2759	0.0
animals	1380409at2759	0.0
animals	1382842at2759	0.0
animals	1395649at2759	0.0
animals	1398309at2759	0.0
animals	1404162at2759	0.0
animals	1405073at2759	1.6667
animals	1405146at2759	0.0
animals	1407446at2759	0.0
animals	1421503at2759	0.0
animals	1423847at2759	0.0
animals	142542at2759	0.0
animals	1426075at2759	0.0
animals	1428265at2759	0.0
animals	1428854at2759	2.8404
animals	1430056at2759	0.0
animals	1432328at2759	0.0
animals	1434266at2759	0.0
animals	1440961at2759	0.0
animals	1441854at2759	0.0
animals	1442062at2759	0.0
animals	1445102at2759	0.0
animals	1450538at2759	0.0
animals	1454155at2759	0.0
animals	1455730at2759	0.0
animals	1459797at2759	0.0
animals	1474000at2759	0.0
animals	1488235at2759	0.0
animals	1488436at2759	0.0
animals	1490022at2759	0.0
animals	1504863at2759	2.6316
animals	1513531at2759	0.0
animals	1525971at2759	1.3072
animals	1526152at2759	0.0
animals	1530008at2759	0.0
animals	1538526at2759	0.0
animals	1545004at2759	0.0
animals	1552706at2759	0.0
animals	1558822at2759	0.0
animals	156083at2759	0.2136
animals	1563319at2759	0.0
animals	1567796at2759	0.0
animals	1575179at2759	0.0
animals	1576404at2759	0.0
animals	1588798at2759	0.0
animals	1593937at2759	0.0
animals	160593at2759	0.0
animals	1617752at2759	0.0
animals	1620056at2759	5.291
animals	1626636at2759	0.0
animals	1633672at2759	0.0
animals	1645187at2759	0.0
animals	166920at2759	0.0
animals	176625at2759	0.0
animals	179362at2759	0.0
animals	245208at2759	0.0
animals	257318at2759	0.0
animals	261328at2759	0.0
animals	271586at2759	0.0
animals	290630at2759	0.0
animals	293315at2759	0.0
animals	296129at2759	0.0
animals	299766at2759	0.0
animals	306227at2759	0.0
animals	320059at2759	0.0
animals	324863at2759	0.0
animals	325552at2759	0.0
animals	330169at2759	0.0
animals	331411at2759	0.0
animals	341721at2759	2.3895
animals	345441at2759	0.0
animals	355408at2759	0.0
animals	369837at2759	0.0
animals	375960at2759	0.0
animals	383503at2759	0.0
animals	388820at2759	0.0
animals	390348at2759	0.0
animals	39650at2759	0.0
animals	396755at2759	0.0
animals	418107at2759	0.0
animals	426305at2759	0.0
animals	450058at2759	0.0
animals	453044at2759	3.9749
animals	457861at2759	0.0
animals	464990at2759	0.0
animals	491869at2759	0.0
animals	513979at2759	0.0
animals	543764at2759	0.0
animals	549762at2759	0.0
animals	551907at2759	0.0
animals	570797at2759	3.2115
animals	582756at2759	0.0
animals	598949at2759	0.0
animals	604979at2759	0.0
animals	621827at2759	0.0
animals	655400at2759	0.0
animals	664730at2759	2.3758
animals	671536at2759	0.0
animals	673132at2759	4.0964
animals	674160at2759	0.0
animals	674169at2759	0.0
animals	679771at2759	0.0
animals	687505at2759	0.0
animals	692986at2759	0.0
animals	708105at2759	0.0
animals	719531at2759	0.0
animals	720340at2759	0.0
animals	721605at2759	4.1284
animals	734341at2759	0.0
animals	734666at2759	0.0
animals	736068at2759	0.0
animals	751335at2759	0.0
animals	759498at2759	0.0
animals	761109at2759	0.0
animals	768809at2759	0.0
animals	777920at2759	0.0
animals	779909at2759	0.0
animals	801857at2759	0.0
animals	814241at2759	0.0
animals	817008at2759	0.0
animals	834694at2759	0.0
animals	836599at2759	0.0
animals	83779at2759	0.0
animals	844748at2759	0.0
animals	855834at2759	0.0
animals	858842at2759	0.0
animals	865202at2759	0.0
animals	866359at2759	0.0
animals	869548at2759	0.0
animals	878143at2759	0.0
animals	87842at2759	0.0
animals	887370at2759	0.0
animals	891751at2759	0.0
animals	898782at2759	0.0
animals	901894at2759	0.0
animals	905026at2759	0.0
animals	911863at2759	0.0
animals	917326at2759	0.0
animals	919955at2759	0.0
animals	923657at2759	0.0
animals	924753at2759	0.0
animals	931188at2759	0.0
animals	937275at2759	0.0
animals	937686at2759	0.0
animals	939345at2759	0.0
animals	944899at2759	0.0
animals	946128at2759	0.0
animals	956854at2759	0.0
animals	97116at2759	0.0
animals	973442at2759	0.0
animals	974865at2759	3.2362
animals	975158at2759	0.0
animals	975557at2759	0.0
animals	976469at2759	0.0
animals	981902at2759	0.0
animals	996662at2759	2.649
fungi	1001705at2759	3.3557
fungi	1003258at2759	1.9608
fungi	100698at2759	3.5639
fungi	1010730at2759	3.5385
fungi	1014314at2759	3.7363
fungi	1018517at2759	6.9565
fungi	1019762at2759	2.7233
fungi	1025450at2759	4.5455
fungi	1030907at2759	2.1378
fungi	1032689at2759	3.0523
fungi	1038775at2759	0.0
fungi	1041560at2759	4.0541
fungi	1049599at2759	0.0
fungi	1051021at2759	1.908
fungi	1053181at2759	0.0
fungi	1057950at2759	4.0506
fungi	1065019at2759	5.814
fungi	1076134at2759	4.058
fungi	1079130at2759	5.8615
fungi	1079827at2759	7.9545
fungi	1085752at2759	0.0
fungi	1087488at2759	4.4092
fungi	1090038at2759	0.0
fungi	1094121at2759	3.9841
fungi	1096688at2759	2.9106
fungi	1106766at2759	0.0
fungi	1107630at2759	3.2692
fungi	1108845at2759	0.0
fungi	1111142at2759	0.0
fungi	1112002at2759	4.2045
fungi	1115196at2759	4.5936
fungi	1128607at2759	6.8306
fungi	1129824at2759	4.908
fungi	1138059at2759	4.4164
fungi	1157302at2759	6.0729
fungi	1161199at2759	4.4693
fungi	1173229at2759	0.0
fungi	1178688at2759	5.2402
fungi	1182451at2759	3.9832
fungi	1193442at2759	5.1146
fungi	1194691at2759	5.2734
fungi	1194797at2759	5.6901
fungi	1197019at2759	5.9055
fungi	1200489at2759	2.2013
fungi	1217666at2759	6.1728
fungi	1220881at2759	3.1128
fungi	1222562at2759	2.3762
fungi	1223488at2759	4.4674
fungi	1228942at2759	8.6331
fungi	1233814at2759	2.6946
fungi	1236198at2759	3.1447
fungi	1247641at2759	3.2037
fungi	1248958at2759	5.1333
fungi	1249159at2759	6.0484
fungi	1251252at2759	1.3393
fungi	1257440at2759	5.2174
fungi	1258856at2759	5.5977
fungi	1259741at2759	3.8168
fungi	1260807at2759	0.9231
fungi	1264469at2759	4.7733
fungi	1266231at2759	0.0
fungi	1269244at2759	2.8125
fungi	1269649at2759	3.4375
fungi	1275837at2759	7.6923
fungi	1284731at2759	3.8835
fungi	1287094at2759	5.7377
fungi	1287401at2759	0.0
fungi	1291729at2759	4.721
fungi	1304061at2759	3.1915
fungi	1309031at2759	3.2289
fungi	1312453at2759	3.4878
fungi	1314980at2759	0.0
fungi	1322299at2759	3.1856
fungi	1322642at2759	0.0
fungi	1323575at2759	4.2373
fungi	1324510at2759	3.4848
fungi	1338131at2759	6.4039
fungi	1339553at2759	3.5778
fungi	1342242at2759	2.7322
fungi	1346165at2759	3.2573
fungi	1346432at2759	4.1096
fungi	1348942at2759	3.3195
fungi	1355894at2759	5.1402
fungi	1358374at2759	2.7431
fungi	1364586at2759	0.0
fungi	1370285at2759	3.5602
fungi	1370304at2759	2.5778
fungi	1377237at2759	0.0
fungi	1379600at2759	3.0387
fungi	1380409at2759	0.0
fungi	1382842at2759	0.0
fungi	1395649at2759	0.0
fungi	1398309at2759	7.5269
fungi	1404162at2759	2.6998
fungi	1405073at2759	5.4348
fungi	1405146at2759	2.6316
fungi	1407446at2759	1.4354
fungi	1421503at2759	3.3333
fungi	1423847at2759	4.3573
fungi	142542at2759	0.0
fungi	1426075at2759	1.875
fungi	1428265at2759	3.9046
fungi	1428854at2759	5.9548
fungi	1430056at2759	3.9526
fungi	1432328at2759	2.8889
fungi	1434266at2759	3.0534
fungi	1440961at2759	2.926
fungi	1441854at2759	4.6154
fungi	1442062at2759	2.8061
fungi	1445102at2759	16.5017
fungi	1450538at2759	1.9197
fungi	1454155at2759	3.956
fungi	1455730at2759	0.0
fungi	1459797at2759	3.5714
fungi	1474000at2759	4.1667
fungi	1479417at2759	0.0
fungi	1488235at2759	5.1282
fungi	1488436at2759	3.0675
fungi	1490022at2759	7.6271
fungi	1504863at2759	1.3043
fungi	1513531at2759	1.3514
fungi	1525971at2759	5.7895
fungi	1526152at2759	0.0
fungi	1530008at2759	5.9072
fungi	1538526at2759	3.9062
fungi	1545004at2759	0.0
fungi	1552706at2759	0.8547
fungi	1558822at2759	0.0
fungi	156083at2759	0.0
fungi	1563319at2759	0.0
fungi	1567796at2759	1.5789
fungi	1575179at2759	1.4634
fungi	1576404at2759	3.8961
fungi	1588798at2759	3.304
fungi	1593937at2759	4.2435
fungi	160593at2759	5.4582
fungi	1617752at2759	1.6667
fungi	1620056at2759	6.25
fungi	1623701at2759	5.6338
fungi	1626636at2759	0.0
fungi	1633672at2759	3.3898
fungi	1645187at2759	4.6784
fungi	166920at2759	5.3163
fungi	176625at2759	4.5033
fungi	179362at2759	4.1185
fungi	245208at2759	4.0881
fungi	257318at2759	3.3613
fungi	261328at2759	0.0
fungi	261419at2759	0.0
fungi	270107at2759	4.4915
fungi	271586at2759	3.1034
fungi	290630at2759	5.0
fungi	293315at2759	3.7671
fungi	296129at2759	5.6761
fungi	299766at2759	2.4812
fungi	306227at2759	0.0
fungi	320059at2759	3.056
fungi	324863at2759	4.91
fungi	325552at2759	7.2948
fungi	330169at2759	5.1429
fungi	331411at2759	3.2415
fungi	341721at2759	3.5211
fungi	345441at2759	0.0
fungi	355408at2759	5.7572
fungi	369837at2759	5.6818
fungi	375960at2759	3.3186
fungi	383503at2759	4.6205
fungi	388820at2759	4.1335
fungi	390348at2759	5.1813
fungi	392369at2759	4.4643
fungi	39650at2759	4.692
fungi	396755at2759	3.7748
fungi	418107at2759	6.0264
fungi	426305at2759	5.8378
fungi	450058at2759	2.2672
fungi	453044at2759	5.3097
fungi	457861at2759	2.5135
fungi	464990at2759	3.4121
fungi	491869at2759	0.0
fungi	513979at2759	4.1371
fungi	543764at2759	4.5273
fungi	549762at2759	0.0
fungi	551907at2759	3.6502
fungi	570797at2759	1.7032
fungi	582756at2759	4.7288
fungi	598949at2759	4.1315
fungi	604979at2759	0.0
fungi	621827at2759	5.892
fungi	625387at2759	0.0
fungi	655400at2759	2.9381
fungi	664730at2759	5.0093
fungi	671536at2759	4.2763
fungi	671846at2759	2.2094
fungi	673132at2759	5.1793
fungi	674160at2759	3.8913
fungi	674169at2759	1.4147
fungi	679187at2759	0.0
fungi	679771at2759	0.0
fungi	687505at2759	3.7736
fungi	692986at2759	3.0564
fungi	708105at2759	3.7975
fungi	719531at2759	4.1591
fungi	720340at2759	3.937
fungi	721605at2759	0.0
fungi	722805at2759	2.8807
fungi	734341at2759	2.6549
fungi	734666at2759	5.3265
fungi	736068at2759	3.5889
fungi	751335at2759	3.7441
fungi	759498at2759	4.4955
fungi	761109at2759	3.0371
fungi	768809at2759	4.1308
fungi	774318at2759	1.44
fungi	777920at2759	4.6196
fungi	779909at2759	6.3725
fungi	801857at2759	3.1095
fungi	814241at2759	2.994
fungi	817008at2759	4.0486
fungi	834694at2759	3.1828
fungi	836599at2759	3.876
fungi	83779at2759	3.75
fungi	844748at2759	0.0
fungi	855834at2759	3.4562
fungi	858842at2759	0.0
fungi	865202at2759	4.0107
fungi	866359at2759	5.2055
fungi	869548at2759	5.5556
fungi	878143at2759	4.9336
fungi	87842at2759	3.2187
fungi	887370at2759	2.7316
fungi	891751at2759	2.6346
fungi	898782at2759	3.0544
fungi	901894at2759	1.8626
fungi	905026at2759	2.7304
fungi	911863at2759	4.5714
fungi	917326at2759	4.4554
fungi	918816at2759	2.8951
fungi	919955at2759	5.6511
fungi	923657at2759	4.8246
fungi	924753at2759	4.6368
fungi	931188at2759	3.7956
fungi	937275at2759	0.0
fungi	937686at2759	0.0
fungi	939345at2759	1.5193
fungi	944899at2759	5.6911
fungi	946128at2759	3.0952
fungi	956854at2759	0.0
fungi	97116at2759	5.1247
fungi	973442at2759	2.139
fungi	974865at2759	4.662
fungi	975158at2759	4.1322
fungi	975557at2759	2.4083
fungi	976469at2759	0.0
fungi	981902at2759	2.5873
fungi	996662at2759	3.8123
