gene	Control_#1_B_cell	Control_#2_B_cell	Control_#3_B_cell	SARS_CoV2_pos_Mild_B_cell	SARS_CoV2_pos_Severe_#1_B_cell	SARS_CoV2_pos_Severe_#2_B_cell	SARS_CoV2_pos_Severe_#3_B_cell	Control_#1_T_cell	Control_#2_T_cell	Control_#3_T_cell	SARS_CoV2_pos_Mild_T_cell	SARS_CoV2_pos_Severe_#1_T_cell	SARS_CoV2_pos_Severe_#2_T_cell	SARS_CoV2_pos_Severe_#3_T_cell	Control_#3_erythroid_lineage_cell	SARS_CoV2_pos_Mild_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#1_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#2_erythroid_lineage_cell	Control_#1_monocyte	Control_#2_monocyte	Control_#3_monocyte	SARS_CoV2_pos_Mild_monocyte	SARS_CoV2_pos_Severe_#1_monocyte	SARS_CoV2_pos_Severe_#2_monocyte	Control_#1_neutrophil	Control_#2_neutrophil	Control_#3_neutrophil	SARS_CoV2_pos_Mild_neutrophil	SARS_CoV2_pos_Severe_#1_neutrophil	SARS_CoV2_pos_Severe_#2_neutrophil	Control_#1_platelet	Control_#3_platelet	SARS_CoV2_pos_Severe_#1_platelet	SARS_CoV2_pos_Severe_#2_platelet
ABHD17A	2	9	14	33	38	52	6	409	426	277	818	665	636	87	0	0	0	8	93	47	59	94	96	127	0	1	1	2	1	18	5	8	29	82
ABI1	7	10	9	41	49	77	4	126	147	88	295	217	191	18	0	0	2	8	56	41	59	74	87	73	0	1	11	2	17	75	1	5	10	30
ABTB1	1	4	4	16	12	23	6	46	64	32	138	89	82	18	4	8	33	71	35	18	20	71	71	38	6	4	21	9	25	77	4	2	13	18
ACAP2	9	18	20	68	106	122	14	259	279	184	612	293	297	46	1	0	1	12	229	151	141	309	299	181	2	2	28	15	54	210	1	1	1	11
ACER3	4	25	21	110	82	91	22	326	297	211	1004	574	370	108	0	0	2	2	188	113	135	322	324	159	7	7	32	5	33	89	2	2	8	48
ACP1	6	15	4	52	46	70	13	118	152	105	398	345	412	58	28	25	78	331	45	31	48	57	55	76	0	0	0	1	0	12	4	1	18	46
ACSL6	13	44	20	133	159	117	47	455	479	321	1488	871	640	159	5	7	7	116	180	119	156	291	368	154	7	12	37	13	70	167	0	0	0	3
ACTB	67	196	204	868	804	1026	375	3373	4956	2635	13320	10075	9772	1860	19	30	135	428	4924	3497	3851	7115	8166	8202	38	75	364	165	321	2482	329	307	1253	4139
ACTG1	20	43	63	375	316	369	128	1608	1777	1260	6263	4593	4514	753	0	0	2	31	1005	770	993	1860	1669	2214	0	5	20	17	25	159	70	58	303	1202
ACTN1	4	4	11	19	27	31	6	241	166	163	645	263	231	31	1	0	0	12	113	87	95	162	224	79	14	9	71	19	73	230	19	24	79	271
ACTR2	20	33	29	115	152	196	19	356	402	255	991	660	701	88	0	0	3	4	417	360	298	628	581	567	3	7	51	19	63	338	2	3	7	40
ACTR3	16	33	26	122	126	150	26	271	297	196	1042	673	592	125	1	3	16	121	191	163	174	411	360	337	7	10	52	16	49	438	3	4	24	126
