record_type	k	cluster_a	cluster_b	cells	method_a	method_b	value
cross_method_ARI	3	NA	NA	NA	log_hvg_scaled	log_all_scaled	1
cross_method_ARI	3	NA	NA	NA	log_hvg_scaled	log_hvg_unscaled	0.999581600113141
cross_method_ARI	3	NA	NA	NA	log_hvg_scaled	ward_hclust	1
cross_method_ARI	3	NA	NA	NA	log_all_scaled	log_hvg_unscaled	0.999581600113141
cross_method_ARI	3	NA	NA	NA	log_all_scaled	ward_hclust	1
cross_method_ARI	3	NA	NA	NA	log_hvg_unscaled	ward_hclust	0.999581600113141
cross_method_ARI	4	NA	NA	NA	log_hvg_scaled	log_all_scaled	0.683066890096586
cross_method_ARI	4	NA	NA	NA	log_hvg_scaled	log_hvg_unscaled	0.689918718570759
cross_method_ARI	4	NA	NA	NA	log_hvg_scaled	ward_hclust	0.723887229258661
cross_method_ARI	4	NA	NA	NA	log_all_scaled	log_hvg_unscaled	0.682431741955688
cross_method_ARI	4	NA	NA	NA	log_all_scaled	ward_hclust	0.723223534719382
cross_method_ARI	4	NA	NA	NA	log_hvg_unscaled	ward_hclust	0.722840136273882
primary_k3_k4_crosswalk	NA	1	1	0	log_hvg_scaled_k3	log_hvg_scaled_k4	0
primary_k3_k4_crosswalk	NA	2	1	1176	log_hvg_scaled_k3	log_hvg_scaled_k4	1176
primary_k3_k4_crosswalk	NA	3	1	0	log_hvg_scaled_k3	log_hvg_scaled_k4	0
primary_k3_k4_crosswalk	NA	1	2	0	log_hvg_scaled_k3	log_hvg_scaled_k4	0
primary_k3_k4_crosswalk	NA	2	2	1324	log_hvg_scaled_k3	log_hvg_scaled_k4	1324
primary_k3_k4_crosswalk	NA	3	2	0	log_hvg_scaled_k3	log_hvg_scaled_k4	0
primary_k3_k4_crosswalk	NA	1	3	1750	log_hvg_scaled_k3	log_hvg_scaled_k4	1750
primary_k3_k4_crosswalk	NA	2	3	0	log_hvg_scaled_k3	log_hvg_scaled_k4	0
primary_k3_k4_crosswalk	NA	3	3	0	log_hvg_scaled_k3	log_hvg_scaled_k4	0
primary_k3_k4_crosswalk	NA	1	4	0	log_hvg_scaled_k3	log_hvg_scaled_k4	0
primary_k3_k4_crosswalk	NA	2	4	0	log_hvg_scaled_k3	log_hvg_scaled_k4	0
primary_k3_k4_crosswalk	NA	3	4	750	log_hvg_scaled_k3	log_hvg_scaled_k4	750
