method	k	cluster_a	cluster_b	centroid_distance
log_hvg_scaled	3	1	2	35.7435059754955
log_hvg_scaled	3	1	3	36.2362106232479
log_hvg_scaled	3	2	3	37.4987240518952
log_hvg_scaled	4	1	2	1.38776328613144
log_hvg_scaled	4	1	3	35.7555029789535
log_hvg_scaled	4	1	4	37.5241641541793
log_hvg_scaled	4	2	3	35.7455209343103
log_hvg_scaled	4	2	4	37.4881981388698
log_hvg_scaled	4	3	4	36.2362106232479
log_all_scaled	3	1	2	40.9966692968412
log_all_scaled	3	1	3	44.2551070983527
log_all_scaled	3	2	3	45.3203899531623
log_all_scaled	4	1	2	40.9868001181729
log_all_scaled	4	1	3	41.0321220267557
log_all_scaled	4	1	4	44.2551070983527
log_all_scaled	4	2	3	1.98526039660141
log_all_scaled	4	2	4	45.3342884228318
log_all_scaled	4	3	4	45.3279807879328
log_hvg_unscaled	3	1	2	41.2083301188677
log_hvg_unscaled	3	1	3	42.9638274863352
log_hvg_unscaled	3	2	3	42.904126066817
log_hvg_unscaled	4	1	2	42.8879594433603
log_hvg_unscaled	4	1	3	42.9271349951521
log_hvg_unscaled	4	1	4	41.2083301188677
log_hvg_unscaled	4	2	3	1.01278705301485
log_hvg_unscaled	4	2	4	42.95877748088
log_hvg_unscaled	4	3	4	42.9752094065108
