method	k	retained_cells	min_cluster	max_cluster	mean_silhouette_sample	between_ss_fraction	mean_replicate_ari	cluster_sizes	cluster_proportions
log_hvg_scaled	2	5000	2500	2500	0.699351688424612	0.636529275815697	0.505742913622775	2500,2500	0.500000,0.500000
log_hvg_scaled	3	5000	750	2500	0.874631918042094	0.973928260001829	0.807079076044022	1750,2500,750	0.350000,0.500000,0.150000
log_hvg_scaled	4	5000	750	1750	0.448574980417457	0.974515323397854	0.621700526361689	1176,1324,1750,750	0.235200,0.264800,0.350000,0.150000
log_hvg_scaled	5	5000	750	1750	0.446209419256292	0.974942522431567	0.583236285084459	1750,815,848,837,750	0.350000,0.163000,0.169600,0.167400,0.150000
log_hvg_scaled	6	5000	750	980	0.159461811146323	0.975289006496949	0.514613545826837	833,851,980,816,770,750	0.166600,0.170200,0.196000,0.163200,0.154000,0.150000
log_all_scaled	2	5000	2500	2500	0.66411429178149	0.600248226509886	0.587422443922552	2500,2500	0.500000,0.500000
log_all_scaled	3	5000	750	2500	0.837963672162664	0.957674814427038	0.861654467804027	1750,2500,750	0.350000,0.500000,0.150000
log_all_scaled	4	5000	750	1750	0.430154046733942	0.958530033333365	0.707932607648464	1750,1294,1206,750	0.350000,0.258800,0.241200,0.150000
log_all_scaled	5	5000	750	1750	0.426331767883046	0.959129023723322	0.566581437234082	750,841,1750,793,866	0.150000,0.168200,0.350000,0.158600,0.173200
log_all_scaled	6	5000	750	901	0.154959154540428	0.959697877413608	0.515234331672118	872,750,766,862,901,849	0.174400,0.150000,0.153200,0.172400,0.180200,0.169800
log_hvg_unscaled	2	5000	2500	2500	0.743046059873994	0.669100452588763	0.562440673766256	2500,2500	0.500000,0.500000
log_hvg_unscaled	3	5000	749	2500	0.921559893991177	0.989558017362269	0.766196294952443	1751,749,2500	0.350200,0.149800,0.500000
log_hvg_unscaled	4	5000	749	1751	0.470257716462321	0.98978851733258	0.582646755048313	749,1278,1222,1751	0.149800,0.255600,0.244400,0.350200
log_hvg_unscaled	5	5000	2	1750	0.469440378050625	0.990115667012842	0.512743124461268	1233,1267,2,748,1750	0.246600,0.253400,0.000400,0.149600,0.350000
log_hvg_unscaled	6	5000	749	916	0.16343107531739	0.990078262508227	0.471846176431047	806,832,835,862,916,749	0.161200,0.166400,0.167000,0.172400,0.183200,0.149800
ward_hclust	2	5000	2500	2500	0.699351688424612	NA	NA	2500,2500	0.500000,0.500000
ward_hclust	3	5000	750	2500	0.874631918042094	NA	NA	2500,1750,750	0.500000,0.350000,0.150000
ward_hclust	4	5000	2	2500	0.874631918042094	NA	NA	2500,1750,748,2	0.500000,0.350000,0.149600,0.000400
ward_hclust	5	5000	2	1750	0.43696917316924	NA	NA	1286,1214,1750,748,2	0.257200,0.242800,0.350000,0.149600,0.000400
ward_hclust	6	5000	2	1750	0.43273294439265	NA	NA	598,688,1214,1750,748,2	0.119600,0.137600,0.242800,0.350000,0.149600,0.000400
