"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_002008305_4","GCF_003691675_1","GCF_005280335_1","GCF_020097155_1"
"dnaB","","Replicative DNA helicase","4","4","1","1","6646","","","","1388","1391","1388","MICKBS0714_02282","MICSA211_01973","MICAS2_00454","MICKD33716_00406"
"rpsC","","30S ribosomal protein S3","4","4","1","1","2038","","","","818","824","821","MICKBS0714_01713","MICSA211_01420","MICAS2_01165","MICKD33716_01095"
"group_103","","hypothetical protein","4","4","1","1","5610","","","","749","749","749","MICKBS0714_00984","MICSA211_00698","MICAS2_01905","MICKD33716_01852"
"group_104","","hypothetical protein","4","4","1","1","5699","","","","767","770","769","MICKBS0714_01032","MICSA211_00747","MICAS2_01850","MICKD33716_01740"
"ctaD","","putative cytochrome c oxidase subunit 1","4","4","1","1","3121","","","","1709","1712","1709","MICKBS0714_01204","MICSA211_00923","MICAS2_01683","MICKD33716_01581"
"gltA","","2-methylcitrate synthase","4","4","1","1","3468","","","","1145","1145","1145","MICKBS0714_01416","MICSA211_01147","MICAS2_01483","MICKD33716_01390"
"group_107","","hypothetical protein","4","4","1","1","3642","","","","332","1670","1137","MICKBS0714_01582","MICSA211_01292","MICAS2_01340","MICKD33716_01234"
"group_109","","hypothetical protein","4","4","1","1","2194","","","","542","542","542","MICKBS0714_01611","MICSA211_01322","MICAS2_01287","MICKD33716_01192"
"menE_2","","putative 2-succinylbenzoate--CoA ligase","4","4","1","1","1950","","","","1181","1184","1182","MICKBS0714_01801","MICSA211_01498","MICAS2_01072","MICKD33716_01008"
"fadA5","","Steroid 3-ketoacyl-CoA thiolase","4","4","1","1","1721","","","","1148","1148","1148","MICKBS0714_01942","MICSA211_01638","MICAS2_00914","MICKD33716_00852"
"crt","","Short-chain-enoyl-CoA hydratase","4","4","1","1","4545","","","","785","785","785","MICKBS0714_02017","MICSA211_01726","MICAS2_00804","MICKD33716_00763"
"group_113","","hypothetical protein","4","4","1","1","323","","","","389","1325","1089","MICKBS0714_02089","MICSA211_01794","MICAS2_00694","MICKD33716_00605"
"group_114","","hypothetical protein","4","4","1","1","324","","","","413","413","413","MICKBS0714_02090","MICSA211_01798","MICAS2_00688","MICKD33716_00604"
"group_115","","Acetyltransferase","4","4","1","1","325","","","","473","473","473","MICKBS0714_02091","MICSA211_01799","MICAS2_00687","MICKD33716_00603"
"group_118","","hypothetical protein","4","4","1","1","424","","","","902","905","903","MICKBS0714_02127","MICSA211_01835","MICAS2_00653","MICKD33716_00569"
"group_119","","hypothetical protein","4","4","1","1","429","","","","560","560","560","MICKBS0714_02132","MICSA211_01840","MICAS2_00648","MICKD33716_00564"
"group_142","","Putative 3-methyladenine DNA glycosylase","4","4","1","1","6283","","","","689","698","693","MICKBS0714_00091","MICSA211_02104","MICAS2_00300","MICKD33716_00245"
"group_143","","hypothetical protein","4","4","1","1","6282","","","","482","482","482","MICKBS0714_00092","MICSA211_02105","MICAS2_00299","MICKD33716_00244"
"clpC1","","ATP-dependent Clp protease ATP-binding subunit ClpC1","4","4","1","1","6274","","","","2555","2642","2576","MICKBS0714_00100","MICSA211_02113","MICAS2_00291","MICKD33716_00237"
"purA","","Adenylosuccinate synthetase","4","4","1","1","765","","","","1289","1289","1289","MICKBS0714_00179","MICSA211_02175","MICAS2_00222","MICKD33716_00168"
"hutU","","Urocanate hydratase","4","4","1","1","771","","","","1697","1697","1697","MICKBS0714_00184","MICSA211_02180","MICAS2_00217","MICKD33716_00162"
"group_154","","O-acetyl-L-homoserine sulfhydrylase","4","4","1","1","793","","","","1370","1508","1472","MICKBS0714_00194","MICSA211_02190","MICAS2_00206","MICKD33716_00153"
