K	ELBO_final	ELBO_init_min	ELBO_init_median	ELBO_init_max	expected_singlets	expected_doublets	confident_singlets_p90	occupied_expected_ge20	min_expected_cluster	median_expected_cluster	max_expected_cluster	min_confident_cluster	median_confident_cluster	max_confident_cluster	min_pair_genotype_rms	median_pair_genotype_rms	max_pair_genotype_rms	mean_assignment_entropy	fit_seconds	expected_cluster_sizes	confident_cluster_sizes
1	-255099.79704655998	-255099.7994373999	-255099.7994373999	-255099.7994373999	3639.0	0.0	3639	1	3639.0	3639.0	3639.0	3639	3639.0	3639	nan	nan	nan	0.0	1.0371358394622803	3639.0	3639
2	-226152.3580695119	-226536.34401112958	-226152.36449320105	-226152.36143763468	3298.1540589339843	340.8459410660156	3138	2	952.8175201455012	1649.0770294669924	2345.3365387884833	927	1569.0	2211	0.9696366775200412	0.9696366775200412	0.9696366775200412	0.008913679229094529	1.5882697105407715	952.8,2345.3	927,2211
3	-189079.15925283346	-199743.59508265075	-198344.35435523215	-189079.16530400256	3336.9201711935398	302.0798288064602	3219	3	905.2940958850915	1003.8303339489414	1427.7957413595034	901	1000.0	1318	0.8877395101644023	0.9001730108899657	0.9781090420677686	0.0017522146460058777	1.743541955947876	905.3,1003.8,1427.8	901,1000,1318
4	-151915.0719706055	-200937.99246063645	-151920.56728178984	-151915.0721146275	3506.2790953496087	132.72090465039145	3483	4	803.1689981568445	852.8124208634326	997.4852554658977	795	850.0	988	0.9380447696504625	0.9564045685655035	0.9683119147866053	0.001641594905353668	1.9222640991210938	803.2,807.2,898.4,997.5	795,805,895,988
5	-152549.0014497478	-153582.2535298864	-153041.48068187974	-152549.00157651462	3505.418232345899	133.581767654101	3467	4	16.55497159625054	807.0830294786515	995.7989719846937	7	804.0	985	0.6994512990567187	0.9422168073640397	0.9671998719615289	0.002070323885065635	2.11338210105896	16.6,787.6,807.1,898.3,995.8	7,776,804,895,985
6	-153064.4620993136	-154766.8500348144	-153953.22180014238	-153064.47399107643	3509.1054053035296	129.89459469647016	3464	5	18.353643961696562	752.4192696294535	995.8646848638217	13	742.5	987	0.6138971951346198	0.874599204236494	0.9672129159290118	0.003498371876747201	2.3126344680786133	18.4,94.0,697.9,806.9,896.0,995.9	13,85,681,804,894,987
7	-153902.51019678384	-155494.66225643925	-154781.33527592034	-153902.5218509932	3525.7172247588496	113.28277524115039	3496	6	14.38038852174846	797.5213745362018	996.5025734422948	8	790.0	989	0.45481013972373285	0.8101149647269835	0.9694701854011814	0.0025158598706757737	2.376530885696411	14.4,21.2,23.3,797.5,807.2,865.6,996.5	8,21,21,790,806,861,989
8	-154416.8330383292	-156150.17937903694	-155613.65538234665	-154416.8373952588	3524.121156396792	114.87884360320827	3493	4	7.2023871718973895	399.396299647325	996.900609649182	5	394.0	989	0.3593656859104515	0.7675920437978596	0.9664307266285134	0.0023452303282739816	2.3646082878112793	7.2,8.6,11.3,11.8,787.0,806.5,894.9,996.9	5,6,8,8,780,805,892,989
9	-155724.80255942338	-157061.016785559	-156424.24050926362	-155744.0810291442	3509.0282148652864	129.9717851347138	3407	7	12.354869549089782	270.6541715009102	867.1287939239742	8	252.0	853	0.4340776178063819	0.8005608860995375	0.984695462634713	0.017961550105284586	2.5801703929901123	12.4,12.9,114.8,244.7,270.7,375.7,804.5,806.1,867.1	8,10,109,230,252,345,796,804,853
10	-155818.15275720565	-158644.63335343712	-156985.0124579406	-155821.7631571018	3527.459980052574	111.54001994742623	3400	8	13.381477234497584	319.8000444809106	970.187573241872	10	295.0	958	0.4209135634582364	0.7861944634857916	0.9919391269113769	0.02482057654690432	2.886579990386963	13.4,18.0,20.2,26.1,266.7,372.9,517.2,518.2,804.5,970.2	10,15,15,23,251,339,484,502,803,958
