metric	value
sei_total_tracks	21907
sei_cistrome_linked_tracks	19905
sei_unique_cistrome_ids	19905
sei_cistrome_records_resolved	19905
sei_records_with_source_id	19905
sei_records_with_gsm_source_id	18243
borzoi_total_tracks	7611
borzoi_unique_encode_experiments	5267
encode_query_batches	36
encode_records_resolved	5267
encode_records_unresolved	0
borzoi_direct_gsm_accessions	169
borzoi_encode_gsm_dbxrefs	7576
borzoi_unique_provenance_gsms	7745
matched_sei_tracks_unrounded	2404
matched_sei_tracks_rounded_nearest_100	2400
