# cell counts by species	human=144	mouse=156	pig=300	total=600
# rounded percentages	20;30;50
# human tissue scores
SCORE	human	bone_marrow	323	9
SCORE	human	spleen	21	3
SCORE	human	skin	6	1
SCORE	human	liver	1	2
SCORE	human	kidney	1	1
SCORE	human	testis	0	0
SCORE	human	retina	0	0
SCORE	human	lung	0	0
SCORE	human	heart	0	0
SCORE	human	cortex	0	0
# mouse tissue scores
SCORE	mouse	lung	22033	14
SCORE	mouse	liver	210	4
SCORE	mouse	skin	75	7
SCORE	mouse	heart	65	6
SCORE	mouse	cortex	55	5
SCORE	mouse	bone_marrow	21	3
SCORE	mouse	testis	12	3
SCORE	mouse	kidney	9	2
SCORE	mouse	retina	2	2
SCORE	mouse	spleen	1	1
# pig tissue scores
SCORE	pig	testis	1270	13
SCORE	pig	liver	315	2
SCORE	pig	skin	18	2
SCORE	pig	bone_marrow	14	4
SCORE	pig	heart	10	3
SCORE	pig	lung	4	2
SCORE	pig	cortex	4	2
SCORE	pig	spleen	1	1
SCORE	pig	kidney	1	1
SCORE	pig	retina	0	0
FINAL	20;30;50;bone_marrow;lung;testis
