sample	top_taxonomy_name	identity	shared_hashes	median_multiplicity	pvalue	full_taxonomy	taxonomic_subspecies	taxonomic_species	taxonomic_genus	taxonomic_family	taxonomic_order	taxonomic_class	taxonomic_phylum	taxonomic_kingdom	taxonomic_superkingdom	subspecies	serovar	plasmid	bioproject	biosample	taxid	assembly_accession	match_id	taxonomic_parvorder	taxonomic_superorder	taxonomic_subfamily	taxonomic_infraorder	taxonomic_subkingdom	taxonomic_subclass	taxonomic_suborder	taxonomic_superfamily	taxonomic_subphylum	match_comment
reads	Homo sapiens	0.993609	361/400	17	0.0	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo; sapiens		Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota				PRJNA30353		9606		./rcn/refseq-NC-9606-PRJNA30353-.-.-.-Homo_sapiens.fna	Catarrhini	Euarchontoglires	Homininae	Simiiformes			Haplorrhini	Hominoidea	Craniata	
reads	Homo sapiens neanderthalensis	0.9835969999999999	307/400	17	0.0	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo; sapiens; neanderthalensis	Homo sapiens neanderthalensis	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota				PRJNA30941		63221		./rcn/refseq-NC-63221-PRJNA30941-.-.-.-Homo_sapiens_neanderthalensis.fna	Catarrhini	Euarchontoglires	Homininae	Simiiformes			Haplorrhini	Hominoidea	Craniata	
reads	Pan paniscus	0.9825889999999999	302/400	5	0.0	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Pan; paniscus		Pan paniscus	Pan	Hominidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota				PRJNA11815		9597		./rcn/refseq-NC-9597-PRJNA11815-.-.-.-Pan_paniscus.fna	Catarrhini	Euarchontoglires	Homininae	Simiiformes			Haplorrhini	Hominoidea	Craniata	
reads	Homo sapiens ssp. Denisova	0.973902	262/400	17	0.0	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo; sapiens; ssp. Denisova	Homo sapiens ssp. Denisova	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota				PRJNA46861		741158		./rcn/refseq-NC-741158-PRJNA46861-.-.-.-Homo_sapiens_ssp._Denisova.fna	Catarrhini	Euarchontoglires	Homininae	Simiiformes			Haplorrhini	Hominoidea	Craniata	
reads	Pan troglodytes	0.9652120000000001	227/400	7	0.0	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Pan; troglodytes		Pan troglodytes	Pan	Hominidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota				PRJNA10627		9598		./rcn/refseq-NC-9598-PRJNA10627-.-.-.-Pan_troglodytes.fna	Catarrhini	Euarchontoglires	Homininae	Simiiformes			Haplorrhini	Hominoidea	Craniata	
reads	Gorilla gorilla	0.91814	102/400	11	1.9840199999999995e-172	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Gorilla; gorilla		Gorilla gorilla	Gorilla	Hominidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota				PRJNA62915		9593		./rcn/refseq-NC-9593-PRJNA62915-.-.-.-Gorilla_gorilla.fna	Catarrhini	Euarchontoglires	Homininae	Simiiformes			Haplorrhini	Hominoidea	Craniata	
reads	Gorilla gorilla gorilla	0.917004	100/400	11	4.209839999999998e-168	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Gorilla; gorilla; gorilla	Gorilla gorilla gorilla	Gorilla gorilla	Gorilla	Hominidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota				PRJNA62967		9595		./rcn/refseq-NC-9595-PRJNA62967-.-.-.-Gorilla_gorilla_gorilla.fna	Catarrhini	Euarchontoglires	Homininae	Simiiformes			Haplorrhini	Hominoidea	Craniata	
reads	Balaenoptera acutorostrata scammoni	0.9122379999999999	92/400	1	4.980829999999999e-151	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Cetartiodactyla; Cetacea; Mysticeti; Balaenopteridae; Balaenoptera; acutorostrata; scammoni	Balaenoptera acutorostrata scammoni	Balaenoptera acutorostrata	Balaenoptera	Balaenopteridae	Cetacea	Mammalia	Chordata	Metazoa	Eukaryota						310752		./rcn/refseq-NG-310752-.-.-.-.-Balaenoptera_acutorostrata_scammoni.fna		Laurasiatheria					Mysticeti		Craniata	
reads	Capra hircus	0.911615	91/400	29	6.374339999999999e-149	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Capra; hircus		Capra hircus	Capra	Bovidae		Mammalia	Chordata	Metazoa	Eukaryota						9925		./rcn/refseq-NG-9925-.-.-.-.-Capra_hircus.fna		Laurasiatheria	Caprinae	Pecora			Ruminantia		Craniata	
reads	Boletellus shichianus	0.911615	91/400	11	6.374339999999999e-149	Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Boletales; Boletineae; Boletaceae; Xerocomoideae; Boletellus; shichianus		Boletellus shichianus	Boletellus	Boletaceae	Boletales	Agaricomycetes	Basidiomycota	Fungi	Eukaryota				PRJNA39195		283656		./rcn/refseq-NG-283656-PRJNA39195-.-.-.-Boletellus_shichianus.fna			Xerocomoideae		Dikarya	Agaricomycetidae	Boletineae		Agaricomycotina	
