pathway_id	pathway_name	gene_id
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_10160
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_10170
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_10180
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_12920
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_12940
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_12960
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_13010
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_19500
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_19540
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_19570
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_20030
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_33540
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_33550
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_33560
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_33690
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_33760
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_34770
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_34780
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_39320
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_39330
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_40240
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_47920
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_48115
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_50520
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_50530
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_54980
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_58350
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_58360
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_64870
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_64880
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_64890
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_68070
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_68080
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	PA14_68090
pau00920	Sulfur metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_12920
pau00920	Sulfur metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_12940
pau00920	Sulfur metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_12960
pau00920	Sulfur metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_19500
pau00920	Sulfur metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_19530
pau00920	Sulfur metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_19540
pau00920	Sulfur metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_19560
pau00920	Sulfur metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_19570
pau00920	Sulfur metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_30460
pau00920	Sulfur metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_34770
pau00920	Sulfur metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_34780
pau03070	Bacterial secretion system - Pseudomonas aeruginosa UCBPP-PA14	PA14_42250
pau03070	Bacterial secretion system - Pseudomonas aeruginosa UCBPP-PA14	PA14_42270
pau03070	Bacterial secretion system - Pseudomonas aeruginosa UCBPP-PA14	PA14_42310
pau03070	Bacterial secretion system - Pseudomonas aeruginosa UCBPP-PA14	PA14_42350
pau03070	Bacterial secretion system - Pseudomonas aeruginosa UCBPP-PA14	PA14_42520
pau03070	Bacterial secretion system - Pseudomonas aeruginosa UCBPP-PA14	PA14_42550
pau03070	Bacterial secretion system - Pseudomonas aeruginosa UCBPP-PA14	PA14_42570
pau03070	Bacterial secretion system - Pseudomonas aeruginosa UCBPP-PA14	PA14_42580
pau03070	Bacterial secretion system - Pseudomonas aeruginosa UCBPP-PA14	PA14_42600
pau03070	Bacterial secretion system - Pseudomonas aeruginosa UCBPP-PA14	PA14_42610
pau03070	Bacterial secretion system - Pseudomonas aeruginosa UCBPP-PA14	PA14_42620
pau03070	Bacterial secretion system - Pseudomonas aeruginosa UCBPP-PA14	PA14_42630
pau03070	Bacterial secretion system - Pseudomonas aeruginosa UCBPP-PA14	PA14_42640
pau00280	Valine, leucine and isoleucine degradation - Pseudomonas aeruginosa UCBPP-PA14	PA14_35490
pau00280	Valine, leucine and isoleucine degradation - Pseudomonas aeruginosa UCBPP-PA14	PA14_35500
pau00280	Valine, leucine and isoleucine degradation - Pseudomonas aeruginosa UCBPP-PA14	PA14_35520
pau00280	Valine, leucine and isoleucine degradation - Pseudomonas aeruginosa UCBPP-PA14	PA14_35530
pau00280	Valine, leucine and isoleucine degradation - Pseudomonas aeruginosa UCBPP-PA14	PA14_38440
pau00280	Valine, leucine and isoleucine degradation - Pseudomonas aeruginosa UCBPP-PA14	PA14_38460
pau00280	Valine, leucine and isoleucine degradation - Pseudomonas aeruginosa UCBPP-PA14	PA14_38470
pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	PA14_01360
pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	PA14_06170
pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	PA14_06180
pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	PA14_13460
pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	PA14_20000
pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	PA14_28970
pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	PA14_28980
pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	PA14_29360
pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	PA14_32710
pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	PA14_32720
pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	PA14_38395
pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	PA14_39800
pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	PA14_39810
pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	PA14_47390
pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	PA14_49180
pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	PA14_51880
pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	PA14_52230
pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	PA14_61500
pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	PA14_64690
pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	PA14_68260
pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	PA14_68280
pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	PA14_68290
pau01210	2-Oxocarboxylic acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_33500
pau01210	2-Oxocarboxylic acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_35490
pau01210	2-Oxocarboxylic acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_35500
pau01210	2-Oxocarboxylic acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_35520
pau01210	2-Oxocarboxylic acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_35530
pau01210	2-Oxocarboxylic acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_38200
pau00785	Lipoic acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_35490
pau00785	Lipoic acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_35500
pau00785	Lipoic acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_35520
pau00785	Lipoic acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_35530
pau02024	Quorum sensing - Pseudomonas aeruginosa UCBPP-PA14	PA14_07870
pau02024	Quorum sensing - Pseudomonas aeruginosa UCBPP-PA14	PA14_33750
pau02024	Quorum sensing - Pseudomonas aeruginosa UCBPP-PA14	PA14_40260
pau02024	Quorum sensing - Pseudomonas aeruginosa UCBPP-PA14	PA14_40290
pau02024	Quorum sensing - Pseudomonas aeruginosa UCBPP-PA14	PA14_43610
pau02024	Quorum sensing - Pseudomonas aeruginosa UCBPP-PA14	PA14_50520
pau02024	Quorum sensing - Pseudomonas aeruginosa UCBPP-PA14	PA14_50530
pau02024	Quorum sensing - Pseudomonas aeruginosa UCBPP-PA14	PA14_64870
pau02024	Quorum sensing - Pseudomonas aeruginosa UCBPP-PA14	PA14_64880
pau02024	Quorum sensing - Pseudomonas aeruginosa UCBPP-PA14	PA14_64890
pau00640	Propanoate metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_35490
pau00640	Propanoate metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_35500
pau00640	Propanoate metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_35520
pau00640	Propanoate metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_35530
pau00640	Propanoate metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_54000
pau00350	Tyrosine metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_10640
pau00350	Tyrosine metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_10650
pau00350	Tyrosine metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_31820
pau04146	Peroxisome - Pseudomonas aeruginosa UCBPP-PA14	PA14_43610
pau04146	Peroxisome - Pseudomonas aeruginosa UCBPP-PA14	PA14_58000
pau01501	beta-Lactam resistance - Pseudomonas aeruginosa UCBPP-PA14	PA14_33750
pau01501	beta-Lactam resistance - Pseudomonas aeruginosa UCBPP-PA14	PA14_38395
pau01501	beta-Lactam resistance - Pseudomonas aeruginosa UCBPP-PA14	PA14_51880
pau00401	Novobiocin biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	PA14_31820
pau00261	Monobactam biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	PA14_33510
pau00020	Citrate cycle (TCA cycle) - Pseudomonas aeruginosa UCBPP-PA14	PA14_35490
pau00020	Citrate cycle (TCA cycle) - Pseudomonas aeruginosa UCBPP-PA14	PA14_58030
pau01220	Degradation of aromatic compounds - Pseudomonas aeruginosa UCBPP-PA14	PA14_10640
pau01220	Degradation of aromatic compounds - Pseudomonas aeruginosa UCBPP-PA14	PA14_10650
pau00660	C5-Branched dibasic acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_38200
pau00740	Riboflavin metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_19530
pau00190	Oxidative phosphorylation - Pseudomonas aeruginosa UCBPP-PA14	PA14_01310
pau00190	Oxidative phosphorylation - Pseudomonas aeruginosa UCBPP-PA14	PA14_01360
pau00190	Oxidative phosphorylation - Pseudomonas aeruginosa UCBPP-PA14	PA14_29320
pau00290	Valine, leucine and isoleucine biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	PA14_38200
pau00130	Ubiquinone and other terpenoid-quinone biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	PA14_48440
pau00360	Phenylalanine metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_31820
pau00310	Lysine degradation - Pseudomonas aeruginosa UCBPP-PA14	PA14_35490
pau04122	Sulfur relay system - Pseudomonas aeruginosa UCBPP-PA14	PA14_44970
pau02030	Bacterial chemotaxis - Pseudomonas aeruginosa UCBPP-PA14	PA14_58350
pau02030	Bacterial chemotaxis - Pseudomonas aeruginosa UCBPP-PA14	PA14_58360
pau00340	Histidine metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_31820
pau00380	Tryptophan metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_35490
pau00770	Pantothenate and CoA biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	PA14_38200
pau00860	Porphyrin metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_01360
pau00860	Porphyrin metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_55580
pau00061	Fatty acid biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	PA14_43610
pau00260	Glycine, serine and threonine metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_33500
pau00260	Glycine, serine and threonine metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_35490
pau00071	Fatty acid degradation - Pseudomonas aeruginosa UCBPP-PA14	PA14_43610
pau00670	One carbon pool by folate - Pseudomonas aeruginosa UCBPP-PA14	PA14_35490
pau01503	Cationic antimicrobial peptide (CAMP) resistance - Pseudomonas aeruginosa UCBPP-PA14	PA14_49180
pau00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	PA14_31820
pau00790	Folate biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	PA14_44970
pau00620	Pyruvate metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_35490
pau00620	Pyruvate metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_58030
pau00010	Glycolysis / Gluconeogenesis - Pseudomonas aeruginosa UCBPP-PA14	PA14_35490
pau00720	Other carbon fixation pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_58030
pau00650	Butanoate metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_38200
pau01212	Fatty acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_43610
pau00970	Aminoacyl-tRNA biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	PA14_10420
pau00970	Aminoacyl-tRNA biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	PA14_68030
pau01200	Carbon metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_35490
pau01200	Carbon metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_54000
pau01200	Carbon metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_58030
pau00630	Glyoxylate and dicarboxylate metabolism - Pseudomonas aeruginosa UCBPP-PA14	PA14_35490
pau01230	Biosynthesis of amino acids - Pseudomonas aeruginosa UCBPP-PA14	PA14_31820
pau01230	Biosynthesis of amino acids - Pseudomonas aeruginosa UCBPP-PA14	PA14_33500
pau01230	Biosynthesis of amino acids - Pseudomonas aeruginosa UCBPP-PA14	PA14_38200
pau01240	Biosynthesis of cofactors - Pseudomonas aeruginosa UCBPP-PA14	PA14_01360
pau01240	Biosynthesis of cofactors - Pseudomonas aeruginosa UCBPP-PA14	PA14_35490
