pathway_id	pathway_name	gene_id
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_01900
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_01910
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_02760
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_02770
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_03050
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_06660
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_06680
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_06690
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_06700
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_06710
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_06740
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_09150
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_09420
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_09440
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_09450
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_09460
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_09470
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_09480
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_10500
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_29850
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_29860
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_29880
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_29890
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_29900
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_29920
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_29930
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_35270
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_35290
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_35300
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_35320
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_36310
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_36320
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_36330
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_38510
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_38640
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_38660
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_39890
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_39910
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_39925
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_39945
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_39960
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_39970
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_44360
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_49250
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_49260
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_53070
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_56300
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_57540
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_57560
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	PA14_57570
