pathway_id	pathway_name	foreground_hits	pathway_genes_in_universe	foreground_genes_in_universe	universe_genes	p_value	adjusted_p_value	foreground_hit_genes
pau01053	Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas aeruginosa UCBPP-PA14	6	9	40	2055	2.97437273264e-09	1.0112867291e-07	PA14_09210,PA14_09220,PA14_09240,PA14_09270,PA14_09280,PA14_09290
pau02010	ABC transporters - Pseudomonas aeruginosa UCBPP-PA14	11	202	40	2055	0.00112278947405	0.0190874210589	PA14_10160,PA14_10180,PA14_20030,PA14_33540,PA14_33550,PA14_33560,PA14_33690,PA14_33760,PA14_48115,PA14_54980,PA14_62000
pau01210	2-Oxocarboxylic acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	4	47	40	2055	0.0120121957134	0.136138218085	PA14_33500,PA14_35520,PA14_35530,PA14_38200
pau00785	Lipoic acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	2	24	40	2055	0.0779010645159	0.662159048385	PA14_35520,PA14_35530
pau00401	Novobiocin biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	1	6	40	2055	0.111379550509	0.686998539997	PA14_31820
pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	8	268	40	2055	0.140233895353	0.686998539997	PA14_06170,PA14_06180,PA14_15190,PA14_15200,PA14_20000,PA14_28980,PA14_47390,PA14_64690
pau00261	Monobactam biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	1	9	40	2055	0.162436838345	0.686998539997	PA14_33510
pau00640	Propanoate metabolism - Pseudomonas aeruginosa UCBPP-PA14	2	43	40	2055	0.203237347619	0.686998539997	PA14_35520,PA14_35530
pau00280	Valine, leucine and isoleucine degradation - Pseudomonas aeruginosa UCBPP-PA14	2	45	40	2055	0.217651701601	0.686998539997	PA14_35520,PA14_35530
pau00660	C5-Branched dibasic acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	1	13	40	2055	0.226084865089	0.686998539997	PA14_38200
pau04146	Peroxisome - Pseudomonas aeruginosa UCBPP-PA14	1	14	40	2055	0.241244808966	0.686998539997	PA14_58000
pau00290	Valine, leucine and isoleucine biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	1	17	40	2055	0.285008043976	0.686998539997	PA14_38200
pau00130	Ubiquinone and other terpenoid-quinone biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	1	21	40	2055	0.339548781662	0.686998539997	PA14_09210
pau00360	Phenylalanine metabolism - Pseudomonas aeruginosa UCBPP-PA14	1	21	40	2055	0.339548781662	0.686998539997	PA14_31820
pau01110	Biosynthesis of secondary metabolites - Pseudomonas aeruginosa UCBPP-PA14	10	444	40	2055	0.358017903823	0.686998539997	PA14_09210,PA14_09220,PA14_31820,PA14_33500,PA14_33510,PA14_35520,PA14_35530,PA14_38200,PA14_55580,PA14_58030
pau00470	D-Amino acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	1	23	40	2055	0.36527607151	0.686998539997	PA14_63940
pau03010	Ribosome - Pseudomonas aeruginosa UCBPP-PA14	2	67	40	2055	0.377372214343	0.686998539997	PA14_17700,PA14_17710
pau00340	Histidine metabolism - Pseudomonas aeruginosa UCBPP-PA14	1	25	40	2055	0.390025277365	0.686998539997	PA14_31820
pau00770	Pantothenate and CoA biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	1	26	40	2055	0.402044483723	0.686998539997	PA14_38200
pau00350	Tyrosine metabolism - Pseudomonas aeruginosa UCBPP-PA14	1	27	40	2055	0.413832665414	0.686998539997	PA14_31820
pau00020	Citrate cycle (TCA cycle) - Pseudomonas aeruginosa UCBPP-PA14	1	29	40	2055	0.436733191238	0.686998539997	PA14_58030
pau00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	1	32	40	2055	0.469456977845	0.686998539997	PA14_31820
pau01501	beta-Lactam resistance - Pseudomonas aeruginosa UCBPP-PA14	1	34	40	2055	0.490235089929	0.686998539997	PA14_33750
pau00720	Other carbon fixation pathways - Pseudomonas aeruginosa UCBPP-PA14	1	35	40	2055	0.500324449852	0.686998539997	PA14_58030
pau00970	Aminoacyl-tRNA biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2	86	40	2055	0.505145985292	0.686998539997	PA14_60620,PA14_68030
pau00650	Butanoate metabolism - Pseudomonas aeruginosa UCBPP-PA14	1	38	40	2055	0.52943836003	0.692134150065	PA14_38200
pau01230	Biosynthesis of amino acids - Pseudomonas aeruginosa UCBPP-PA14	3	146	40	2055	0.549635942699	0.692134150065	PA14_31820,PA14_33500,PA14_38200
pau00860	Porphyrin metabolism - Pseudomonas aeruginosa UCBPP-PA14	1	52	40	2055	0.644835880886	0.783014998219	PA14_55580
pau00260	Glycine, serine and threonine metabolism - Pseudomonas aeruginosa UCBPP-PA14	1	56	40	2055	0.672387891292	0.788316838067	PA14_33500
pau00620	Pyruvate metabolism - Pseudomonas aeruginosa UCBPP-PA14	1	63	40	2055	0.715673017121	0.811096086071	PA14_58030
pau02024	Quorum sensing - Pseudomonas aeruginosa UCBPP-PA14	1	111	40	2055	0.893869748433	0.980373272475	PA14_33750
pau01200	Carbon metabolism - Pseudomonas aeruginosa UCBPP-PA14	1	129	40	2055	0.927123244108	0.985068446865	PA14_58030
pau01120	Microbial metabolism in diverse environments - Pseudomonas aeruginosa UCBPP-PA14	2	324	40	2055	0.991574171044	0.999957987307	PA14_33500,PA14_58030
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	9	1053	40	2055	0.999957987307	0.999957987307	PA14_09210,PA14_31820,PA14_33500,PA14_33510,PA14_35520,PA14_35530,PA14_38200,PA14_58030,PA14_63940
pau00010	Glycolysis / Gluconeogenesis - Pseudomonas aeruginosa UCBPP-PA14	0	35	40	2055	1	1	
pau00030	Pentose phosphate pathway - Pseudomonas aeruginosa UCBPP-PA14	0	29	40	2055	1	1	
pau00040	Pentose and glucuronate interconversions - Pseudomonas aeruginosa UCBPP-PA14	0	8	40	2055	1	1	
pau00051	Fructose and mannose metabolism - Pseudomonas aeruginosa UCBPP-PA14	0	18	40	2055	1	1	
pau00052	Galactose metabolism - Pseudomonas aeruginosa UCBPP-PA14	0	4	40	2055	1	1	
pau00053	Ascorbate and aldarate metabolism - Pseudomonas aeruginosa UCBPP-PA14	0	6	40	2055	1	1	
pau00061	Fatty acid biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	0	27	40	2055	1	1	
pau00071	Fatty acid degradation - Pseudomonas aeruginosa UCBPP-PA14	0	31	40	2055	1	1	
pau00074	Mycolic acid biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	0	2	40	2055	1	1	
pau00190	Oxidative phosphorylation - Pseudomonas aeruginosa UCBPP-PA14	0	58	40	2055	1	1	
pau00220	Arginine biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	0	33	40	2055	1	1	
pau00230	Purine metabolism - Pseudomonas aeruginosa UCBPP-PA14	0	67	40	2055	1	1	
pau00240	Pyrimidine metabolism - Pseudomonas aeruginosa UCBPP-PA14	0	36	40	2055	1	1	
pau00250	Alanine, aspartate and glutamate metabolism - Pseudomonas aeruginosa UCBPP-PA14	0	36	40	2055	1	1	
pau00270	Cysteine and methionine metabolism - Pseudomonas aeruginosa UCBPP-PA14	0	42	40	2055	1	1	
pau00300	Lysine biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	0	16	40	2055	1	1	
pau00310	Lysine degradation - Pseudomonas aeruginosa UCBPP-PA14	0	22	40	2055	1	1	
pau00330	Arginine and proline metabolism - Pseudomonas aeruginosa UCBPP-PA14	0	48	40	2055	1	1	
pau00332	Carbapenem biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	0	2	40	2055	1	1	
pau00361	Chlorocyclohexane and chlorobenzene degradation - Pseudomonas aeruginosa UCBPP-PA14	0	4	40	2055	1	1	
pau00362	Benzoate degradation - Pseudomonas aeruginosa UCBPP-PA14	0	34	40	2055	1	1	
pau00364	Fluorobenzoate degradation - Pseudomonas aeruginosa UCBPP-PA14	0	7	40	2055	1	1	
pau00380	Tryptophan metabolism - Pseudomonas aeruginosa UCBPP-PA14	0	26	40	2055	1	1	
pau00405	Phenazine biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	0	24	40	2055	1	1	
pau00410	beta-Alanine metabolism - Pseudomonas aeruginosa UCBPP-PA14	0	19	40	2055	1	1	
pau00430	Taurine and hypotaurine metabolism - Pseudomonas aeruginosa UCBPP-PA14	0	7	40	2055	1	1	
pau00440	Phosphonate and phosphinate metabolism - Pseudomonas aeruginosa UCBPP-PA14	0	9	40	2055	1	1	
pau00450	Selenocompound metabolism - Pseudomonas aeruginosa UCBPP-PA14	0	9	40	2055	1	1	
pau00460	Cyanoamino acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	0	11	40	2055	1	1	
pau00480	Glutathione metabolism - Pseudomonas aeruginosa UCBPP-PA14	0	36	40	2055	1	1	
pau00500	Starch and sucrose metabolism - Pseudomonas aeruginosa UCBPP-PA14	0	16	40	2055	1	1	
pau00520	Amino sugar and nucleotide sugar metabolism - Pseudomonas aeruginosa UCBPP-PA14	0	27	40	2055	1	1	
pau00521	Streptomycin biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	0	8	40	2055	1	1	
pau00523	Polyketide sugar unit biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	0	5	40	2055	1	1	
pau00525	Acarbose and validamycin biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	0	2	40	2055	1	1	
pau00540	Lipopolysaccharide biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	0	21	40	2055	1	1	
pau00541	Biosynthesis of various nucleotide sugars - Pseudomonas aeruginosa UCBPP-PA14	0	30	40	2055	1	1	
pau00543	Exopolysaccharide biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	0	11	40	2055	1	1	
pau00550	Peptidoglycan biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	0	22	40	2055	1	1	
pau00552	Teichoic acid biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	0	2	40	2055	1	1	
pau00561	Glycerolipid metabolism - Pseudomonas aeruginosa UCBPP-PA14	0	15	40	2055	1	1	
pau00562	Inositol phosphate metabolism - Pseudomonas aeruginosa UCBPP-PA14	0	7	40	2055	1	1	
pau00564	Glycerophospholipid metabolism - Pseudomonas aeruginosa UCBPP-PA14	0	27	40	2055	1	1	
pau00565	Ether lipid metabolism - Pseudomonas aeruginosa UCBPP-PA14	0	3	40	2055	1	1	
pau00592	alpha-Linolenic acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	0	3	40	2055	1	1	
pau00600	Sphingolipid metabolism - Pseudomonas aeruginosa UCBPP-PA14	0	2	40	2055	1	1	
pau00622	Xylene degradation - Pseudomonas aeruginosa UCBPP-PA14	0	6	40	2055	1	1	
pau00623	Toluene degradation - Pseudomonas aeruginosa UCBPP-PA14	0	2	40	2055	1	1	
pau00625	Chloroalkane and chloroalkene degradation - Pseudomonas aeruginosa UCBPP-PA14	0	7	40	2055	1	1	
pau00626	Naphthalene degradation - Pseudomonas aeruginosa UCBPP-PA14	0	2	40	2055	1	1	
pau00627	Aminobenzoate degradation - Pseudomonas aeruginosa UCBPP-PA14	0	15	40	2055	1	1	
pau00630	Glyoxylate and dicarboxylate metabolism - Pseudomonas aeruginosa UCBPP-PA14	0	63	40	2055	1	1	
pau00633	Nitrotoluene degradation - Pseudomonas aeruginosa UCBPP-PA14	0	2	40	2055	1	1	
pau00643	Styrene degradation - Pseudomonas aeruginosa UCBPP-PA14	0	11	40	2055	1	1	
pau00670	One carbon pool by folate - Pseudomonas aeruginosa UCBPP-PA14	0	31	40	2055	1	1	
pau00680	Methane metabolism - Pseudomonas aeruginosa UCBPP-PA14	0	26	40	2055	1	1	
pau00710	Carbon fixation by Calvin cycle - Pseudomonas aeruginosa UCBPP-PA14	0	13	40	2055	1	1	
pau00730	Thiamine metabolism - Pseudomonas aeruginosa UCBPP-PA14	0	13	40	2055	1	1	
pau00740	Riboflavin metabolism - Pseudomonas aeruginosa UCBPP-PA14	0	14	40	2055	1	1	
pau00750	Vitamin B6 metabolism - Pseudomonas aeruginosa UCBPP-PA14	0	9	40	2055	1	1	
pau00760	Nicotinate and nicotinamide metabolism - Pseudomonas aeruginosa UCBPP-PA14	0	24	40	2055	1	1	
pau00780	Biotin metabolism - Pseudomonas aeruginosa UCBPP-PA14	0	20	40	2055	1	1	
pau00790	Folate biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	0	33	40	2055	1	1	
pau00900	Terpenoid backbone biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	0	16	40	2055	1	1	
pau00907	Pinene, camphor and geraniol degradation - Pseudomonas aeruginosa UCBPP-PA14	0	15	40	2055	1	1	
pau00910	Nitrogen metabolism - Pseudomonas aeruginosa UCBPP-PA14	0	34	40	2055	1	1	
pau00920	Sulfur metabolism - Pseudomonas aeruginosa UCBPP-PA14	0	59	40	2055	1	1	
pau00930	Caprolactam degradation - Pseudomonas aeruginosa UCBPP-PA14	0	7	40	2055	1	1	
pau00946	Degradation of flavonoids - Pseudomonas aeruginosa UCBPP-PA14	0	1	40	2055	1	1	
pau00984	Steroid degradation - Pseudomonas aeruginosa UCBPP-PA14	0	4	40	2055	1	1	
pau00997	Biosynthesis of various other secondary metabolites - Pseudomonas aeruginosa UCBPP-PA14	0	4	40	2055	1	1	
pau00999	Biosynthesis of various plant secondary metabolites - Pseudomonas aeruginosa UCBPP-PA14	0	3	40	2055	1	1	
pau01040	Biosynthesis of unsaturated fatty acids - Pseudomonas aeruginosa UCBPP-PA14	0	6	40	2055	1	1	
pau01212	Fatty acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	0	51	40	2055	1	1	
pau01220	Degradation of aromatic compounds - Pseudomonas aeruginosa UCBPP-PA14	0	29	40	2055	1	1	
pau01232	Nucleotide metabolism - Pseudomonas aeruginosa UCBPP-PA14	0	50	40	2055	1	1	
pau01240	Biosynthesis of cofactors - Pseudomonas aeruginosa UCBPP-PA14	0	184	40	2055	1	1	
pau01250	Biosynthesis of nucleotide sugars - Pseudomonas aeruginosa UCBPP-PA14	0	43	40	2055	1	1	
pau01310	Nitrogen cycle - Pseudomonas aeruginosa UCBPP-PA14	0	12	40	2055	1	1	
