catalog	label	peaks	query_bases	overlap_peaks	frac_peaks	overlap_bases	frac_bases
SCREEN_V4_all_cCRE	S1	19750	9875000	19595	0.992152	7635056	0.773170
SCREEN_V4_all_cCRE	S2	32863	16431500	32587	0.991601	11884942	0.723302
SCREEN_V4_all_cCRE	S3	39006	19503000	38615	0.989976	13255085	0.679643
SCREEN_V4_all_cCRE	S4	21137	10568500	20965	0.991863	7636841	0.722604
SCREEN_V4_all_cCRE	S5	30214	15107000	14079	0.465976	3226166	0.213554
SCREEN_V4_all_cCRE	S6	32573	16286500	31355	0.962607	9788147	0.600998
SCREEN_V4_promoter_enhancer_cCRE	S1	19750	9875000	19541	0.989418	7618290	0.771472
SCREEN_V4_promoter_enhancer_cCRE	S2	32863	16431500	31111	0.946688	11337614	0.689993
SCREEN_V4_promoter_enhancer_cCRE	S3	39006	19503000	37569	0.963160	12897250	0.661296
SCREEN_V4_promoter_enhancer_cCRE	S4	21137	10568500	20867	0.987226	7602801	0.719383
SCREEN_V4_promoter_enhancer_cCRE	S5	30214	15107000	9716	0.321573	2258883	0.149526
SCREEN_V4_promoter_enhancer_cCRE	S6	32573	16286500	26598	0.816566	8337749	0.511942
SCREEN_V3_all_cCRE	S1	19750	9875000	19540	0.989367	7567985	0.766378
SCREEN_V3_all_cCRE	S2	32863	16431500	32241	0.981073	11527745	0.701564
SCREEN_V3_all_cCRE	S3	39006	19503000	34526	0.885146	11522333	0.590798
SCREEN_V3_all_cCRE	S4	21137	10568500	20518	0.970715	7354152	0.695856
SCREEN_V3_all_cCRE	S5	30214	15107000	4484	0.148408	962653	0.063722
SCREEN_V3_all_cCRE	S6	32573	16286500	23141	0.710435	6790436	0.416936
UCSC_ENCODE_DNase_cluster	S1	19750	9875000	0	0.000000	0	0.000000
UCSC_ENCODE_DNase_cluster	S2	32863	16431500	0	0.000000	0	0.000000
UCSC_ENCODE_DNase_cluster	S3	39006	19503000	0	0.000000	0	0.000000
UCSC_ENCODE_DNase_cluster	S4	21137	10568500	0	0.000000	0	0.000000
UCSC_ENCODE_DNase_cluster	S5	30214	15107000	0	0.000000	0	0.000000
UCSC_ENCODE_DNase_cluster	S6	32573	16286500	0	0.000000	0	0.000000

# catalog_sizes
catalog	raw_rows	merged_rows	merged_bases
SCREEN_V4_all_cCRE	2348854	2341558	627448729
SCREEN_V4_promoter_enhancer_cCRE	1766201	1759867	471715803
SCREEN_V3_all_cCRE	1063878	1060118	290119782
UCSC_ENCODE_DNase_cluster	0	0	0
