sample	cells	immune	nonimmune	epith	basal_cand	squam_nonimm	adeno_nonimm	dc	dc_frac	pdc	basal_frac_nonimm	squam_frac_nonimm	adeno_frac_nonimm
Patient_001	1076	764	312	167	25	29	31	236	0.219331	169	0.080128	0.092949	0.099359
Patient_002	3838	2902	936	1564	20	50	166	448	0.116727	214	0.021368	0.053419	0.177350
Patient_003	4672	3751	921	1860	64	82	85	472	0.101027	200	0.069490	0.089034	0.092291
Patient_004	4060	3312	748	120	10	13	17	333	0.082020	93	0.013369	0.017380	0.022727
Patient_005	1454	1245	209	171	1	2	15	829	0.570151	266	0.004785	0.009569	0.071770
Patient_006	3055	2418	637	72	0	0	11	48	0.015712	16	0.000000	0.000000	0.017268
Patient_007	529	438	91	20	0	0	6	157	0.296786	91	0.000000	0.000000	0.065934
Patient_008	3995	3300	695	184	2	7	23	297	0.074343	74	0.002878	0.010072	0.033094
Patient_009	277	191	86	268	0	2	22	60	0.216606	14	0.000000	0.023256	0.255814
Patient_010	1653	1348	305	208	21	22	12	152	0.091954	54	0.068852	0.072131	0.039344
Patient_011	4022	3435	587	240	13	13	21	645	0.160368	226	0.022147	0.022147	0.035775
Patient_012	1889	1333	556	274	23	25	226	349	0.184754	88	0.041367	0.044964	0.406475
Patient_013	3732	1076	2656	2522	1950	1730	22	114	0.030547	68	0.734187	0.651355	0.008283
Patient_014	2442	1743	699	753	314	310	28	329	0.134726	139	0.449213	0.443491	0.040057
Patient_015	2219	830	1389	282	139	82	18	214	0.096440	69	0.100072	0.059035	0.012959
Patient_016	2454	1963	491	53	0	2	9	65	0.026487	17	0.000000	0.004073	0.018330
Patient_017	5154	1821	3333	2628	60	61	3017	766	0.148622	321	0.018002	0.018302	0.905191
Patient_018	1481	853	628	644	284	290	30	179	0.120864	58	0.452229	0.461783	0.047771
Patient_019	2385	2157	228	274	1	9	57	540	0.226415	117	0.004386	0.039474	0.250000
Patient_020	2282	1115	1167	898	20	301	648	423	0.185364	136	0.017138	0.257926	0.555270
Patient_021	4938	751	4187	4013	15	650	3865	313	0.063386	191	0.003583	0.155242	0.923095
Patient_022	2545	1151	1394	1282	6	409	1135	262	0.102947	158	0.004304	0.293400	0.814204
Patient_023	424	107	317	391	7	58	235	48	0.113208	23	0.022082	0.182965	0.741325
Patient_024	344	273	71	35	0	2	35	21	0.061047	3	0.000000	0.028169	0.492958
Patient_025	1995	1344	651	150	6	9	45	180	0.090226	57	0.009217	0.013825	0.069124
Patient_026	2962	1100	1862	801	510	497	53	136	0.045915	46	0.273899	0.266917	0.028464
Patient_027	2788	1014	1774	741	504	495	48	133	0.047704	40	0.284104	0.279030	0.027057
Patient_028	4146	1704	2442	1022	600	571	59	171	0.041245	59	0.245700	0.233825	0.024161
