immune_def	immune	nonimmune	basal_strict_lusc	basal_broad_lusc	pct_strict	pct_broad	nearest20_strict	nearest20_broad
comprehensive	134622	29994	17206	17966	57.364806	59.898646	60	60
lusc_samples	23	Patient_013,Patient_014,Patient_015,Patient_018,Patient_026,Patient_027,Patient_028,Patient_029,Patient_030,Patient_031,Patient_040,Patient_045,Patient_046,Patient_047,Patient_048,Patient_054,Patient_055,Patient_056,Patient_063,Patient_064,Patient_065,Patient_066,Patient_067
marker	PTPRC	82956
marker	CD3D	62589
marker	CD3E	50737
marker	CD4	25529
marker	CD8A	22129
marker	CD8B	17941
marker	TRAC	63291
marker	TRBC1	39678
marker	TRBC2	53975
marker	NKG7	46100
marker	KLRD1	19067
marker	GNLY	27240
marker	NCAM1	924
marker	CD19	4171
marker	MS4A1	7942
marker	CD79A	12910
marker	MZB1	11236
marker	JCHAIN	16804
marker	CD68	22257
marker	CD14	25305
marker	LYZ	46837
marker	FCGR3A	28327
marker	ITGAX	13505
marker	ITGAM	12536
marker	CSF1R	17901
marker	CD163	15643
marker	CD1C	5885
marker	CLEC9A	947
marker	CLEC10A	10541
marker	FCER1A	4872
marker	LILRA4	1255
marker	IL3RA	7048
marker	CCR7	12455
marker	KIT	3280
marker	TPSAB1	6512
marker	CPA3	3540
