sample	level	label	cells	proportion
Bladder	cell_type	Acinar cell	7	0.000791139240506329
GallBladder	cell_type	Acinar cell	21	0.017004048582996
Intestine	cell_type	Acinar cell	11	0.0012035010940919
Kidney	cell_type	Acinar cell	25	0.00311487665088462
Lung	cell_type	Acinar cell	5	0.000486050354816759
Pancreas	cell_type	Acinar cell	5058	0.5455722144321
Stomach	cell_type	Acinar cell	47	0.00520833333333333
Heart	cell_type	Cardiac muscle	2890	0.282751198512866
Kidney	cell_type	Cardiac muscle	1	0.000124595066035385
Limb	cell_type	Cardiac muscle	5	0.000461467466543609
Lung	cell_type	Cardiac muscle	1	9.72100709633518e-05
Bladder	cell_type	Cholangiocyte	2	0.000226039783001808
GallBladder	cell_type	Cholangiocyte	1097	0.888259109311741
Intestine	cell_type	Cholangiocyte	26	0.00284463894967177
Kidney	cell_type	Cholangiocyte	18	0.00224271118863693
Pancreas	cell_type	Cholangiocyte	51	0.00550102470067954
Stomach	cell_type	Cholangiocyte	1	0.000110815602836879
Bladder	cell_type	Chondrocyte	1039	0.117427667269439
Brain	cell_type	Chondrocyte	224	0.0228664761126991
Cloaca	cell_type	Chondrocyte	36	0.00401248328131966
GallBladder	cell_type	Chondrocyte	8	0.00647773279352227
Gill	cell_type	Chondrocyte	150	0.0140226231653735
Heart	cell_type	Chondrocyte	5	0.000489188924762743
Intestine	cell_type	Chondrocyte	47	0.00514223194748359
Kidney	cell_type	Chondrocyte	458	0.0570645402442063
Limb	cell_type	Chondrocyte	960	0.0886017535763729
Liver	cell_type	Chondrocyte	2	0.000315258511979823
Lung	cell_type	Chondrocyte	153	0.0148731408573928
Pancreas	cell_type	Chondrocyte	82	0.0088447848128573
Prostate	cell_type	Chondrocyte	89	0.00757189042028246
Spleen	cell_type	Chondrocyte	4	0.000496154800297693
Stomach	cell_type	Chondrocyte	48	0.00531914893617021
Bladder	cell_type	Cloacal epithelial cell	1	0.000113019891500904
Cloaca	cell_type	Cloacal epithelial cell	3883	0.432790905037896
GallBladder	cell_type	Cloacal epithelial cell	1	0.000809716599190283
Intestine	cell_type	Cloacal epithelial cell	136	0.0148796498905908
Stomach	cell_type	Cloacal epithelial cell	10	0.00110815602836879
Bladder	cell_type	Endocardial cell	1	0.000113019891500904
Cloaca	cell_type	Endocardial cell	1	0.000111457868925546
Gill	cell_type	Endocardial cell	5	0.000467420772179116
Heart	cell_type	Endocardial cell	4004	0.391742490950005
Limb	cell_type	Endocardial cell	1	9.22934933087217e-05
Liver	cell_type	Endocardial cell	1	0.000157629255989912
Lung	cell_type	Endocardial cell	17	0.00165257120637698
Pancreas	cell_type	Endocardial cell	3	0.000323589688275267
Brain	cell_type	Endocrine cell	15	0.00153123723968967
Cloaca	cell_type	Endocrine cell	55	0.00613018279090504
