metric	value
cells	132512
peaks	9249107
peak_labels	50
samples	Bladder,Brain,Cloaca,GallBladder,Gill,Heart,Intestine,Kidney,Limb,Liver,Lung,Pancreas,Prostate,Spleen,Stomach
overlap_cell_type	17	Acinar cell,Cardiac muscle,Cholangiocyte,Chondrocyte,Endocrine cell,Enterocyte,Epicardial cell,Erythroid cell,Fibroblast,Foveolar cell,Hepatocyte,Parietal cell,Proximal tubule,Pulmonary epithelium,Respiratory epithelial cell,Smooth muscle cell,Urothelial cell
overlap_subanno	50	Acinar cell,Adipocyte,Astrocyte,B cell,Basal cell,Capillary endothelial cell,Cardiac muscle,Cholangiocyte,Chondrocyte,Cloaca epithelial cell,Endocardial endothelial cell,Endocrine cell,Endothelial_MAS1,Endothelial_RGS5,Enterocyte,Epicardial cell,Erythroid cell,Fibroblast,Fibroblast_GPRC6A,Foveolar cell,Goblet cell,H+ secreting cell,Hepatic stellate cell,Hepatocyte,Inhibitory neuron,Liver sinusoidal endothelial cell,Lung fibroblast,Lymphatic endothelial cell,Macrophage,Megakaryocyte,Meningeal cell,Mesothelial cell,Myoblast,Myofibroblast,Neuroendocrine,Neuron_NR4A1,Neuron_UNC5A,Oligodendrocyte,Oligodendrocyte progenitor,Osteoblast,Pancreatic ductal cell,Parietal cell,Podocyte,Proximal tubule,Pulmonary epithelium,Respiratory epithelial cell,Smooth muscle cell,T cell,Urothelial cell,vas deferens epithelial cell
overlap_lineage	1	Hepatocyte
peak_label_counts	Macrophage:765104,Smooth muscle cell:587163,Erythroid cell:567826,Megakaryocyte:526586,Endothelial_RGS5:500003,Fibroblast_GPRC6A:489892,Endothelial_MAS1:445887,T cell:435520,Fibroblast:405853,Capillary endothelial cell:392939,Lymphatic endothelial cell:300990,Meningeal cell:293572,Lung fibroblast:256219,B cell:231524,H+ secreting cell:197602,Endocrine cell:162555,Mesothelial cell:155144,Cholangiocyte:141023,Respiratory epithelial cell:138423,Myofibroblast:129101,Podocyte:125556,Adipocyte:119051,Inhibitory neuron:112339,Oligodendrocyte progenitor:109499,Neuroendocrine:104197,Astrocyte:101729,Osteoblast:94315,Neuron_UNC5A:91247,Goblet cell:89502,Neuron_NR4A1:87805,Acinar cell:87428,Basal cell:82319,Pulmonary epithelium:79182,Chondrocyte:78135,vas deferens epithelial cell:77827,Parietal cell:76560,Proximal tubule:69913,Endocardial endothelial cell:68508,Myoblast:62326,Cardiac muscle:60884,Liver sinusoidal endothelial cell:60709,Oligodendrocyte:54677,Epicardial cell:53979,Urothelial cell:53464,Pancreatic ductal cell:29091,Foveolar cell:26744,Enterocyte:26419,Hepatic stellate cell:15800,Cloaca epithelial cell:13765,Hepatocyte:13211
selected_Acinar cell	20000	of_unique_bins=81082
selected_Adipocyte	20000	of_unique_bins=113014
selected_Astrocyte	20000	of_unique_bins=97416
selected_B cell	20000	of_unique_bins=197035
selected_Basal cell	20000	of_unique_bins=79082
selected_Capillary endothelial cell	20000	of_unique_bins=339190
selected_Cardiac muscle	20000	of_unique_bins=57142
selected_Cholangiocyte	20000	of_unique_bins=132898
selected_Chondrocyte	20000	of_unique_bins=75282
selected_Cloaca epithelial cell	13360	of_unique_bins=13360
selected_Endocardial endothelial cell	20000	of_unique_bins=65938
selected_Endocrine cell	20000	of_unique_bins=148732
selected_Endothelial_MAS1	20000	of_unique_bins=376973
selected_Endothelial_RGS5	20000	of_unique_bins=419452
selected_Enterocyte	20000	of_unique_bins=25610
selected_Epicardial cell	20000	of_unique_bins=52065
selected_Erythroid cell	20000	of_unique_bins=439042
selected_Fibroblast	20000	of_unique_bins=352654
selected_Fibroblast_GPRC6A	20000	of_unique_bins=417087
selected_Foveolar cell	20000	of_unique_bins=25553
selected_Goblet cell	20000	of_unique_bins=85119
selected_H+ secreting cell	20000	of_unique_bins=180289
selected_Hepatic stellate cell	15552	of_unique_bins=15552
selected_Hepatocyte	12755	of_unique_bins=12755
selected_Inhibitory neuron	20000	of_unique_bins=103369
selected_Liver sinusoidal endothelial cell	20000	of_unique_bins=57948
selected_Lung fibroblast	20000	of_unique_bins=232399
selected_Lymphatic endothelial cell	20000	of_unique_bins=265501
selected_Macrophage	20000	of_unique_bins=543168
selected_Megakaryocyte	20000	of_unique_bins=420916
selected_Meningeal cell	20000	of_unique_bins=260273
selected_Mesothelial cell	20000	of_unique_bins=146205
selected_Myoblast	20000	of_unique_bins=58419
selected_Myofibroblast	20000	of_unique_bins=120845
selected_Neuroendocrine	20000	of_unique_bins=98922
selected_Neuron_NR4A1	20000	of_unique_bins=84196
selected_Neuron_UNC5A	20000	of_unique_bins=86042
selected_Oligodendrocyte	20000	of_unique_bins=52593
selected_Oligodendrocyte progenitor	20000	of_unique_bins=103282
selected_Osteoblast	20000	of_unique_bins=90397
selected_Pancreatic ductal cell	20000	of_unique_bins=28550
selected_Parietal cell	20000	of_unique_bins=71752
selected_Podocyte	20000	of_unique_bins=119503
selected_Proximal tubule	20000	of_unique_bins=64880
selected_Pulmonary epithelium	20000	of_unique_bins=75335
selected_Respiratory epithelial cell	20000	of_unique_bins=123937
selected_Smooth muscle cell	20000	of_unique_bins=491920
selected_T cell	20000	of_unique_bins=362394
selected_Urothelial cell	20000	of_unique_bins=51877
selected_vas deferens epithelial cell	20000	of_unique_bins=66234
selected_total	981667
